Variable:,tasmin
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1933,-1.05,-4.43,-1.42,-0.28,1.46,2.46,-2.49,-3.53,2.76,5.28,4.34,-4.50,-4.85,-4.83,4.18,-0.21,1.61
1934,-1.34,-4.41,-1.94,-0.99,1.58,1.61,-3.00,-3.66,1.98,5.48,4.18,-4.01,-4.44,-4.75,3.31,0.07,0.90
1935,-0.58,-3.50,-0.63,-0.69,2.54,1.97,-2.09,-2.43,2.97,6.21,4.99,-3.68,-3.73,-4.65,3.84,0.97,1.03
1936,-0.43,-3.48,-0.44,-0.84,2.71,2.12,-1.99,-2.30,3.28,6.24,5.09,-3.53,-3.50,-4.42,4.04,1.24,1.04
1937,-0.99,-4.67,-0.59,-1.36,2.89,1.68,-2.76,-3.26,2.83,6.43,5.17,-4.71,-4.93,-5.23,3.43,1.46,0.53
1938,-0.28,-3.98,-0.36,0.08,3.25,2.80,-2.05,-2.97,3.39,6.93,5.82,-3.79,-4.24,-4.10,4.31,1.84,2.00
1939,-0.13,-3.80,-0.44,0.54,2.57,3.22,-1.69,-2.63,3.72,6.40,5.48,-3.54,-4.00,-3.66,4.71,0.95,2.44
1940,0.37,-3.35,0.21,1.25,2.88,3.77,-0.91,-2.33,4.32,6.50,5.78,-3.27,-4.08,-3.04,5.08,0.99,3.13
1941,-0.25,-4.77,-0.81,1.58,2.19,4.00,-1.74,-3.72,4.07,6.15,5.48,-4.42,-5.53,-3.26,5.46,0.08,3.65
1942,-0.63,-3.97,-1.46,0.33,1.02,2.85,-1.91,-3.35,3.24,5.23,4.45,-3.33,-4.14,-3.45,4.39,-0.85,2.17
