Variable:,tasmax
,"Sao Tome and Principe",Principe,"Sao Tome"
1901,25.68,26.48,25.85
1902,25.90,26.73,26.07
1903,26.04,26.87,26.21
1904,25.74,26.57,25.91
1905,26.18,27.00,26.34
1906,26.12,26.94,26.28
1907,26.16,26.99,26.33
1908,25.73,26.55,25.90
1909,26.30,27.15,26.47
1910,25.66,26.48,25.83
1911,26.12,26.93,26.28
1912,26.19,27.01,26.36
1913,25.73,26.56,25.90
1914,26.20,27.03,26.36
1915,26.01,26.83,26.18
1916,26.01,26.83,26.18
1917,26.01,26.83,26.18
1918,26.01,26.83,26.18
1919,26.01,26.83,26.18
1920,26.01,26.83,26.18
1921,26.01,26.83,26.18
1922,26.01,26.83,26.18
1923,26.01,26.83,26.18
1924,26.01,26.83,26.18
1925,26.01,26.83,26.18
1926,26.01,26.83,26.18
1927,26.01,26.83,26.18
1928,26.01,26.83,26.18
1929,26.01,26.83,26.18
1930,26.01,26.83,26.18
1931,26.01,26.83,26.18
1932,26.01,26.83,26.18
1933,26.01,26.83,26.18
1934,26.01,26.83,26.18
1935,26.01,26.83,26.18
1936,26.01,26.83,26.18
1937,26.01,26.83,26.18
1938,26.01,26.83,26.18
1939,26.01,26.83,26.18
1940,26.01,26.83,26.18
1941,26.53,27.36,26.70
1942,26.40,27.23,26.57
1943,25.82,26.65,25.99
1944,26.51,27.31,26.68
1945,26.62,27.45,26.79
1946,26.23,27.04,26.40
1947,26.60,27.40,26.77
1948,26.19,27.00,26.36
1949,26.60,27.41,26.77
1950,26.48,27.32,26.65
1951,26.38,27.17,26.55
1952,26.25,27.03,26.42
1953,26.14,26.94,26.31
1954,25.75,26.53,25.91
1955,25.95,26.73,26.12
1956,25.81,26.57,25.98
1957,26.17,26.94,26.33
1958,26.03,26.85,26.20
1959,26.13,26.96,26.29
1960,26.23,27.03,26.39
1961,26.06,26.92,26.22
1962,26.06,26.87,26.22
1963,26.52,27.38,26.68
1964,26.18,27.03,26.34
1965,26.07,26.89,26.24
1966,26.40,27.21,26.56
1967,26.10,26.93,26.27
1968,26.05,26.88,26.22
1969,26.27,27.11,26.43
1970,26.17,26.99,26.33
1971,25.88,26.73,26.04
1972,25.78,26.64,25.94
1973,26.16,27.00,26.33
1974,25.73,26.58,25.90
1975,25.73,26.57,25.89
1976,25.38,26.13,25.55
1977,25.81,26.56,25.98
1978,25.92,26.77,26.08
1979,25.94,26.64,26.11
1980,26.03,26.76,26.19
1981,25.99,26.87,26.16
1982,25.78,26.56,25.94
1983,26.08,26.95,26.25
1984,26.38,27.26,26.54
1985,25.88,26.71,26.04
1986,25.73,26.49,25.90
1987,26.46,27.30,26.62
1988,26.17,26.93,26.33
1989,26.34,27.23,26.50
1990,25.98,26.69,26.14
1991,26.09,26.81,26.26
1992,25.88,26.73,26.05
1993,26.08,26.92,26.25
1994,26.03,26.82,26.20
1995,26.30,27.08,26.46
1996,26.11,26.92,26.28
1997,25.97,26.82,26.14
1998,26.64,27.46,26.80
1999,26.28,27.05,26.44
2000,26.33,27.16,26.50
2001,26.34,27.13,26.50
2002,26.55,27.28,26.71
2003,26.58,27.39,26.75
2004,26.35,27.18,26.52
2005,26.43,27.22,26.60
2006,26.48,27.29,26.65
2007,26.48,27.28,26.65
2008,26.33,27.14,26.50
2009,26.41,27.26,26.58
2010,26.60,27.47,26.77
2011,26.28,27.10,26.45
2012,26.36,27.17,26.52
2013,26.39,27.23,26.56
2014,26.48,27.31,26.65
2015,26.54,27.40,26.70
2016,26.63,27.53,26.79
2017,26.55,27.43,26.71
2018,26.71,27.51,26.87
2019,26.53,27.38,26.69
2020,26.59,27.47,26.76
