Variable:,tasmax
,"Solomon Islands","Administrative unit not available"
1901,29.87,29.90
1902,29.87,29.90
1903,29.87,29.91
1904,29.87,29.90
1905,29.87,29.90
1906,29.88,29.91
1907,29.87,29.90
1908,29.87,29.90
1909,29.88,29.91
1910,29.87,29.91
1911,29.87,29.90
1912,29.88,29.91
1913,29.87,29.90
1914,29.87,29.90
1915,29.87,29.91
1916,29.87,29.91
1917,29.87,29.91
1918,29.87,29.90
1919,29.87,29.90
1920,29.88,29.91
1921,29.88,29.91
1922,29.87,29.91
1923,29.87,29.90
1924,29.88,29.91
1925,29.87,29.90
1926,29.88,29.91
1927,29.87,29.90
1928,29.88,29.91
1929,29.87,29.90
1930,29.87,29.90
1931,29.87,29.90
1932,30.00,30.02
1933,29.92,29.95
1934,29.84,29.88
1935,29.79,29.83
1936,29.67,29.73
1937,29.72,29.77
1938,29.91,29.94
1939,29.88,29.91
1940,30.05,30.05
1941,29.95,29.97
1942,29.75,29.80
1943,29.75,29.80
1944,29.88,29.91
1945,30.34,30.31
1946,30.08,30.08
1947,30.21,30.20
1948,30.03,30.04
1949,30.15,30.14
1950,29.60,29.67
1951,29.64,29.67
1952,29.73,29.76
1953,29.28,29.33
1954,29.30,29.39
1955,29.05,29.15
1956,29.22,29.33
1957,29.05,29.14
1958,29.84,29.90
1959,29.68,29.74
1960,29.75,29.80
1961,29.81,29.85
1962,29.95,30.00
1963,29.68,29.73
1964,29.97,30.00
1965,29.19,29.22
1966,29.80,29.82
1967,29.61,29.64
1968,29.64,29.68
1969,29.82,29.86
1970,29.89,29.93
1971,29.89,29.93
1972,29.91,29.92
1973,30.00,30.02
1974,29.80,29.86
1975,29.58,29.63
1976,29.42,29.45
1977,29.67,29.71
1978,29.96,29.99
1979,29.97,29.99
1980,29.85,29.88
1981,30.16,30.17
1982,29.82,29.81
1983,29.84,29.85
1984,29.92,29.96
1985,30.03,30.06
1986,30.09,30.10
1987,30.33,30.35
1988,30.27,30.30
1989,30.16,30.20
1990,30.50,30.53
1991,29.72,29.75
1992,29.84,29.88
1993,29.68,29.72
1994,29.79,29.82
1995,29.99,30.01
1996,30.04,30.06
1997,29.83,29.86
1998,29.73,29.75
1999,29.90,29.92
2000,30.02,30.05
2001,29.87,29.91
2002,29.90,29.93
2003,29.91,29.94
2004,29.96,29.99
2005,29.94,29.97
2006,29.93,29.96
2007,29.91,29.94
2008,29.87,29.91
2009,29.94,29.97
2010,30.01,30.04
2011,29.87,29.91
2012,29.87,29.91
2013,29.87,29.91
2014,29.87,29.91
2015,29.87,29.91
2016,29.87,29.91
2017,29.87,29.91
2018,29.87,29.91
2019,29.87,29.91
2020,29.87,29.91
