Variable:,tasmin
,Tokelau,"Administrative unit not available"
1901,24.96,25.10
1902,24.92,25.08
1903,24.63,24.83
1904,24.47,24.68
1905,24.53,24.72
1906,25.02,25.14
1907,24.60,24.79
1908,24.51,24.71
1909,24.40,24.58
1910,24.44,24.63
1911,24.81,25.01
1912,25.17,25.32
1913,25.09,25.25
1914,25.33,25.45
1915,24.82,24.98
1916,24.60,24.78
1917,24.51,24.69
1918,24.63,24.81
1919,25.25,25.40
1920,25.16,25.32
1921,24.99,25.14
1922,25.19,25.28
1923,24.77,24.93
1924,25.12,25.23
1925,24.98,25.11
1926,25.31,25.44
1927,25.42,25.51
1928,25.24,25.34
1929,25.19,25.33
1930,25.28,25.40
1931,24.88,25.07
1932,25.08,25.23
1933,24.84,25.08
1934,24.93,25.16
1935,25.17,25.31
1936,25.06,25.27
1937,25.18,25.41
1938,25.09,25.30
1939,24.88,25.05
1940,25.33,25.50
1941,25.55,25.70
1942,25.28,25.43
1943,25.11,25.29
1944,25.15,25.25
1945,25.20,25.32
1946,25.09,25.29
1947,25.34,25.48
1948,25.03,25.18
1949,25.05,25.21
1950,25.10,25.26
1951,24.92,25.00
1952,25.23,25.41
1953,25.19,25.38
1954,25.19,25.33
1955,24.83,24.96
1956,24.88,25.04
1957,25.30,25.46
1958,25.14,25.34
1959,25.25,25.36
1960,24.99,25.09
1961,25.03,25.16
1962,25.15,25.33
1963,25.08,25.24
1964,24.92,25.05
1965,24.81,25.01
1966,24.86,25.04
1967,24.78,25.01
1968,24.78,24.92
1969,24.98,25.12
1970,25.11,25.28
1971,24.81,25.04
1972,25.19,25.35
1973,25.22,25.38
1974,24.73,24.93
1975,25.10,25.23
1976,24.93,25.15
1977,25.13,25.27
1978,25.23,25.40
1979,25.33,25.49
1980,25.49,25.64
1981,25.30,25.47
1982,25.48,25.61
1983,25.31,25.42
1984,25.29,25.46
1985,25.40,25.57
1986,25.37,25.53
1987,25.38,25.51
1988,25.54,25.68
1989,25.24,25.42
1990,25.88,25.97
1991,25.73,25.80
1992,25.70,25.73
1993,25.48,25.55
1994,25.53,25.64
1995,25.77,25.83
1996,25.80,25.84
1997,25.79,25.82
1998,25.88,25.89
1999,25.63,25.73
2000,25.79,25.90
2001,26.28,26.24
2002,26.32,26.28
2003,25.93,25.93
2004,25.89,25.89
2005,26.08,26.07
2006,25.83,25.87
2007,26.08,26.09
2008,25.89,25.90
2009,25.83,25.90
2010,25.81,25.95
2011,25.53,25.62
2012,25.67,25.73
2013,25.86,25.90
2014,25.73,25.78
2015,25.70,25.76
2016,26.09,26.11
2017,25.96,25.98
2018,25.84,25.87
2019,26.03,26.04
2020,25.98,25.99
