Variable:,tasmax
1901,28.54
1902,28.30
1903,28.35
1904,28.03
1905,28.25
1906,28.17
1907,27.97
1908,28.08
1909,28.03
1910,28.01
1911,28.07
1912,28.26
1913,27.85
1914,28.02
1915,28.38
1916,28.06
1917,28.08
1918,28.12
1919,28.09
1920,27.98
1921,28.09
1922,27.98
1923,28.15
1924,28.30
1925,28.15
1926,28.48
1927,28.18
1928,28.24
1929,28.04
1930,28.17
1931,28.59
1932,28.63
1933,28.33
1934,28.32
1935,27.97
1936,28.19
1937,28.54
1938,28.07
1939,28.21
1940,28.86
1941,28.92
1942,28.90
1943,28.33
1944,28.54
1945,28.15
1946,28.25
1947,28.49
1948,28.43
1949,28.17
1950,27.90
1951,28.37
1952,28.53
1953,28.33
1954,28.05
1955,28.14
1956,27.91
1957,28.26
1958,28.67
1959,28.49
1960,28.86
1961,28.52
1962,28.41
1963,28.65
1964,28.37
1965,28.43
1966,28.33
1967,28.21
1968,28.66
1969,29.33
1970,28.87
1971,28.55
1972,28.55
1973,28.89
1974,28.39
1975,28.52
1976,28.26
1977,28.85
1978,28.93
1979,28.87
1980,29.19
1981,29.03
1982,28.68
1983,29.13
1984,28.68
1985,28.60
1986,28.85
1987,29.67
1988,29.23
1989,28.74
1990,29.08
1991,29.17
1992,29.04
1993,29.46
1994,29.20
1995,29.39
1996,28.88
1997,29.12
1998,29.51
1999,29.14
2000,28.77
2001,29.28
2002,29.38
2003,29.13
2004,28.98
2005,29.59
2006,29.38
2007,29.28
2008,29.04
2009,29.45
2010,29.75
2011,29.39
2012,29.41
2013,29.49
2014,29.46
2015,29.68
2016,29.66
2017,29.50
2018,29.15
2019,29.46
2020,29.54
