Variable:,tasmin
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
1901,6.40,10.93,7.95,8.13,2.74,4.65
1902,6.47,10.96,7.87,8.32,2.87,4.72
1903,6.19,10.77,7.85,7.81,2.48,4.46
1904,6.01,10.55,7.54,7.76,2.36,4.24
1905,5.77,10.27,7.21,7.54,2.16,4.05
1906,6.13,10.69,7.75,7.83,2.44,4.37
1907,5.96,10.55,7.56,7.63,2.26,4.23
1908,6.31,10.90,7.89,7.92,2.61,4.59
1909,6.07,10.77,7.88,7.51,2.26,4.36
1910,5.86,10.43,7.49,7.48,2.14,4.14
1911,6.03,10.57,7.54,7.77,2.37,4.30
1912,6.06,10.58,7.59,7.81,2.41,4.31
1913,5.76,10.34,7.39,7.43,2.04,4.00
1914,5.96,10.52,7.49,7.70,2.29,4.22
1915,6.54,11.08,8.17,8.24,2.86,4.76
1916,6.17,10.77,7.91,7.74,2.43,4.41
1917,5.39,10.12,7.31,6.80,1.50,3.64
1918,6.03,10.56,7.59,7.76,2.37,4.29
1919,5.94,10.58,7.77,7.46,2.14,4.17
1920,6.25,10.86,7.95,7.79,2.52,4.50
1921,6.64,11.08,8.09,8.51,3.08,4.85
1922,6.29,10.90,8.04,7.91,2.54,4.51
1923,6.40,11.00,8.06,7.96,2.68,4.68
1924,6.42,11.10,8.23,7.86,2.61,4.70
1925,5.73,10.31,7.37,7.40,2.01,3.95
1926,5.85,10.54,7.66,7.30,2.03,4.13
1927,5.91,10.54,7.61,7.44,2.16,4.17
1928,6.47,11.06,8.07,8.14,2.79,4.71
1929,6.25,10.79,7.81,7.96,2.60,4.50
1930,6.07,10.67,7.70,7.66,2.36,4.35
1931,6.49,11.07,8.17,8.11,2.77,4.73
1932,6.47,11.03,8.09,8.14,2.77,4.72
1933,5.68,10.36,7.50,7.19,1.86,3.93
1934,6.02,10.63,7.75,7.64,2.26,4.26
1935,6.15,10.88,7.97,7.54,2.29,4.45
1936,5.99,10.70,7.96,7.46,2.10,4.19
1937,6.02,10.77,8.04,7.40,2.09,4.25
1938,6.33,10.95,8.11,7.89,2.56,4.57
1939,6.28,10.92,8.08,7.82,2.49,4.52
1940,6.20,10.78,7.89,7.78,2.47,4.45
1941,6.96,11.39,8.35,8.83,3.39,5.21
1942,6.60,11.20,8.23,8.21,2.88,4.88
1943,6.48,11.06,8.03,8.15,2.79,4.77
1944,6.36,11.07,8.09,7.83,2.56,4.64
1945,6.12,10.88,8.06,7.53,2.23,4.35
1946,6.57,11.17,8.12,8.32,2.86,4.83
1947,6.76,11.34,8.27,8.43,3.09,5.05
1948,6.49,11.08,8.18,8.12,2.74,4.74
