Variable:,tasmin
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1950,4.86,10.41,6.95,2.81,7.40,6.37,3.93,9.63,2.12,3.02,7.33,7.61,6.20,6.83,3.41
1951,4.70,10.10,6.66,2.70,7.14,6.11,3.72,9.30,2.12,3.08,7.09,7.34,5.95,6.64,3.23
1952,4.94,10.36,6.96,2.93,7.43,6.41,4.04,9.58,2.24,3.17,7.44,7.63,6.27,6.95,3.51
1953,4.98,10.51,7.05,2.94,7.51,6.50,4.11,9.79,2.17,3.09,7.58,7.75,6.36,7.00,3.55
1954,5.23,10.63,7.20,3.23,7.67,6.66,4.24,9.88,2.61,3.56,7.67,7.88,6.50,7.14,3.80
1955,5.54,11.12,7.67,3.44,8.11,7.10,4.57,10.37,2.73,3.66,8.12,8.34,6.94,7.51,4.06
1956,5.85,11.37,7.96,3.79,8.42,7.45,4.94,10.58,3.04,3.94,8.42,8.63,7.29,7.89,4.37
1957,5.29,10.64,7.25,3.30,7.73,6.72,4.33,9.84,2.67,3.62,7.74,7.92,6.58,7.27,3.85
1958,5.25,10.84,7.39,3.16,7.86,6.82,4.22,10.10,2.47,3.42,7.83,8.06,6.65,7.20,3.74
1959,5.00,10.49,7.05,2.96,7.51,6.49,4.00,9.72,2.33,3.27,7.48,7.72,6.32,6.94,3.51
1960,5.21,10.65,7.23,3.21,7.70,6.68,4.28,9.83,2.54,3.48,7.65,7.89,6.51,7.21,3.73
1961,5.10,10.50,7.08,3.12,7.53,6.52,4.13,9.70,2.50,3.43,7.50,7.75,6.36,7.03,3.66
1962,5.79,11.23,7.80,3.79,8.29,7.25,4.84,10.43,3.12,4.03,8.24,8.47,7.09,7.77,4.34
1963,4.84,10.33,6.89,2.81,7.37,6.32,3.88,9.57,2.15,3.07,7.30,7.56,6.15,6.79,3.38
1964,4.94,10.41,6.96,2.91,7.44,6.40,3.93,9.67,2.27,3.23,7.45,7.65,6.25,6.86,3.47
1965,4.84,10.16,6.76,2.89,7.24,6.22,3.85,9.39,2.30,3.25,7.20,7.43,6.04,6.76,3.40
1966,5.04,10.38,6.96,3.10,7.41,6.43,4.14,9.61,2.43,3.36,7.45,7.64,6.27,6.95,3.66
1967,5.07,10.56,7.09,3.04,7.54,6.52,4.11,9.83,2.37,3.31,7.57,7.78,6.38,6.99,3.64
1968,5.21,10.65,7.25,3.18,7.73,6.68,4.31,9.89,2.50,3.43,7.70,7.92,6.53,7.22,3.76
1969,5.01,10.26,6.83,3.13,7.29,6.29,4.05,9.51,2.52,3.47,7.36,7.53,6.15,6.86,3.66
1970,5.73,11.14,7.74,3.75,8.20,7.19,4.86,10.33,3.04,3.93,8.19,8.41,7.04,7.70,4.35
1971,6.04,11.46,8.07,4.05,8.50,7.54,5.14,10.66,3.34,4.26,8.49,8.72,7.37,7.99,4.61
1972,5.16,10.60,7.18,3.16,7.60,6.60,4.19,9.87,2.49,3.41,7.65,7.87,6.45,7.05,3.74
1973,5.51,11.08,7.68,3.45,8.13,7.08,4.61,10.37,2.68,3.57,8.06,8.33,6.89,7.49,4.07
1974,5.69,11.29,7.85,3.61,8.29,7.28,4.91,10.47,2.78,3.67,8.29,8.53,7.12,7.79,4.25
1975,5.64,11.17,7.74,3.57,8.20,7.18,4.67,10.42,2.88,3.80,8.20,8.43,7.03,7.63,4.14
1976,4.87,10.42,6.98,2.80,7.43,6.39,3.93,9.69,2.11,3.03,7.40,7.65,6.23,6.88,3.37
1977,4.75,10.19,6.79,2.71,7.28,6.23,3.81,9.42,2.07,3.02,7.24,7.47,6.07,6.76,3.27
1978,5.67,10.80,7.42,3.85,7.90,6.92,4.81,9.98,3.19,4.11,7.95,8.10,6.79,7.57,4.39
1979,5.68,11.25,7.83,3.57,8.32,7.24,4.72,10.51,2.88,3.80,8.24,8.51,7.06,7.68,4.17
1980,5.45,10.88,7.48,3.43,7.96,6.91,4.42,10.17,2.82,3.77,7.90,8.15,6.73,7.33,3.95
1981,6.05,11.59,8.19,3.97,8.66,7.63,5.13,10.82,3.24,4.15,8.62,8.86,7.46,8.08,4.55
1982,4.98,10.38,6.95,2.96,7.43,6.42,3.99,9.57,2.37,3.33,7.41,7.63,6.26,6.91,3.51
1983,5.23,10.72,7.28,3.20,7.74,6.68,4.26,10.04,2.51,3.44,7.74,7.97,6.53,7.17,3.76
1984,5.71,10.97,7.55,3.82,8.01,7.02,4.76,10.19,3.17,4.10,8.08,8.23,6.89,7.57,4.36
1985,5.71,10.98,7.55,3.82,8.02,7.03,4.79,10.19,3.17,4.11,8.11,8.24,6.92,7.61,4.36
1986,5.66,10.86,7.45,3.82,7.94,6.91,4.71,10.07,3.20,4.14,8.00,8.14,6.79,7.53,4.31
1987,5.69,10.82,7.42,3.88,7.89,6.88,4.72,10.09,3.27,4.21,7.98,8.12,6.77,7.50,4.37
1988,5.75,11.37,7.95,3.65,8.43,7.38,4.76,10.69,2.88,3.77,8.39,8.62,7.20,7.75,4.25
1989,5.91,11.24,7.86,3.99,8.34,7.34,5.04,10.48,3.25,4.14,8.36,8.53,7.20,7.93,4.52
1990,5.84,11.29,7.89,3.82,8.37,7.33,4.91,10.59,3.08,3.97,8.40,8.58,7.20,7.81,4.42
1991,5.21,10.57,7.16,3.25,7.66,6.59,4.25,9.87,2.60,3.52,7.68,7.85,6.46,7.15,3.80
1992,4.68,10.16,6.73,2.61,7.21,6.18,3.77,9.44,1.91,2.84,7.22,7.44,6.05,6.70,3.21
1993,4.82,9.99,6.55,2.96,7.01,6.00,3.84,9.29,2.41,3.36,7.13,7.26,5.91,6.61,3.50
1994,5.13,10.41,7.00,3.23,7.48,6.45,4.17,9.71,2.59,3.50,7.53,7.69,6.32,6.99,3.78
1995,5.69,11.39,7.96,3.56,8.46,7.39,4.82,10.61,2.72,3.59,8.36,8.62,7.20,7.82,4.19
1996,5.48,11.07,7.66,3.37,8.18,7.11,4.50,10.30,2.67,3.59,8.04,8.30,6.91,7.54,3.95
1997,5.17,10.64,7.24,3.14,7.73,6.66,4.15,9.89,2.52,3.46,7.61,7.88,6.47,7.12,3.67
1998,6.31,11.93,8.48,4.25,8.93,7.89,5.37,11.13,3.46,4.32,8.88,9.15,7.72,8.32,4.84
1999,6.12,11.51,8.10,4.16,8.57,7.56,5.14,10.73,3.47,4.38,8.55,8.77,7.40,8.06,4.70
2000,5.70,11.23,7.80,3.64,8.29,7.23,4.69,10.47,2.98,3.89,8.22,8.46,7.06,7.66,4.21
2001,5.80,11.34,7.90,3.75,8.39,7.31,4.75,10.58,3.11,4.03,8.29,8.55,7.12,7.72,4.31
2002,5.61,10.93,7.50,3.69,7.98,6.94,4.65,10.19,3.08,4.01,7.98,8.17,6.80,7.48,4.22
2003,5.37,10.77,7.34,3.40,7.81,6.77,4.44,10.05,2.72,3.63,7.83,8.03,6.63,7.28,3.97
2004,5.04,10.36,6.95,3.08,7.44,6.41,4.13,9.58,2.47,3.43,7.47,7.63,6.26,6.94,3.63
2005,6.01,11.31,7.91,4.09,8.38,7.38,5.06,10.51,3.43,4.34,8.41,8.59,7.25,7.93,4.64
2006,5.32,10.76,7.38,3.31,7.89,6.84,4.43,9.94,2.58,3.49,7.80,8.03,6.67,7.37,3.88
2007,5.65,11.06,7.60,3.70,8.03,7.02,4.71,10.31,3.02,3.92,8.10,8.30,6.89,7.52,4.27
2008,5.66,11.02,7.60,3.74,8.06,7.05,4.76,10.28,3.02,3.91,8.11,8.27,6.92,7.59,4.29
2009,5.30,10.68,7.25,3.33,7.70,6.68,4.36,9.95,2.68,3.62,7.72,7.93,6.53,7.20,3.89
2010,6.00,11.34,7.91,4.08,8.38,7.39,5.11,10.55,3.36,4.25,8.45,8.61,7.26,7.93,4.64
2011,5.89,11.30,7.87,3.92,8.33,7.33,5.03,10.54,3.18,4.07,8.39,8.56,7.21,7.86,4.49
2012,5.45,10.68,7.28,3.56,7.77,6.77,4.55,9.90,2.93,3.88,7.82,7.95,6.64,7.37,4.09
2013,6.03,11.13,7.75,4.18,8.25,7.28,5.11,10.33,3.62,4.56,8.34,8.43,7.16,7.89,4.71
2014,5.64,10.90,7.49,3.72,7.97,6.95,4.70,10.11,3.12,4.09,7.99,8.17,6.81,7.51,4.26
2015,5.53,10.88,7.42,3.60,7.89,6.87,4.55,10.14,2.99,3.93,7.91,8.10,6.73,7.39,4.12
2016,6.18,11.76,8.32,4.13,8.80,7.74,5.29,11.01,3.36,4.23,8.74,8.99,7.57,8.16,4.72
2017,5.96,11.46,8.02,3.94,8.49,7.45,5.05,10.71,3.22,4.13,8.48,8.70,7.30,7.93,4.52
2018,6.18,11.62,8.21,4.21,8.69,7.67,5.28,10.85,3.44,4.29,8.68,8.88,7.51,8.13,4.77
2019,6.05,11.54,8.14,4.07,8.61,7.55,5.08,10.76,3.34,4.18,8.54,8.80,7.38,7.97,4.61
2020,5.97,11.47,8.04,3.96,8.51,7.47,5.04,10.69,3.24,4.12,8.47,8.72,7.31,7.91,4.52
