Variable:,tasmin
,"Norfolk Island","Administrative unit not available"
1901,16.45,16.45
1902,16.13,16.13
1903,16.47,16.47
1904,16.02,16.02
1905,16.14,16.14
1906,16.28,16.28
1907,16.53,16.53
1908,16.31,16.31
1909,16.61,16.61
1910,16.90,16.90
1911,16.28,16.28
1912,16.19,16.19
1913,16.24,16.24
1914,16.29,16.29
1915,17.08,17.08
1916,17.07,17.07
1917,16.59,16.59
1918,16.16,16.16
1919,16.13,16.13
1920,16.39,16.39
1921,16.54,16.54
1922,16.52,16.52
1923,16.18,16.18
1924,16.19,16.19
1925,16.03,16.03
1926,16.21,16.21
1927,16.36,16.36
1928,16.28,16.28
1929,16.58,16.58
1930,16.14,16.14
1931,16.74,16.74
1932,16.42,16.42
1933,16.75,16.75
1934,16.22,16.22
1935,16.40,16.40
1936,16.17,16.17
1937,16.11,16.11
1938,16.80,16.80
1939,16.02,16.02
1940,15.28,15.28
1941,15.59,15.59
1942,16.38,16.38
1943,15.82,15.82
1944,16.07,16.07
1945,15.88,15.88
1946,16.16,16.16
1947,15.88,15.88
1948,16.31,16.31
1949,16.11,16.11
1950,16.80,16.80
1951,15.68,15.68
1952,16.07,16.07
1953,16.12,16.12
1954,16.49,16.49
1955,16.87,16.87
1956,16.52,16.52
1957,15.76,15.76
1958,16.40,16.40
1959,16.19,16.19
1960,15.90,15.90
1961,16.16,16.16
1962,16.54,16.54
1963,16.14,16.14
1964,16.22,16.22
1965,15.51,15.51
1966,15.80,15.80
1967,16.43,16.43
1968,15.89,15.89
1969,15.90,15.90
1970,16.56,16.56
1971,16.55,16.55
1972,16.25,16.25
1973,16.98,16.98
1974,16.68,16.68
1975,16.63,16.63
1976,15.98,15.98
1977,15.72,15.72
1978,16.20,16.20
1979,16.33,16.33
1980,16.08,16.08
1981,16.47,16.47
1982,15.68,15.68
1983,16.27,16.27
1984,16.49,16.49
1985,16.47,16.47
1986,16.35,16.35
1987,16.16,16.16
1988,16.78,16.78
1989,16.48,16.48
1990,16.63,16.63
1991,15.98,15.98
1992,15.91,15.91
1993,15.78,15.78
1994,15.94,15.94
1995,16.63,16.63
1996,16.96,16.96
1997,16.04,16.04
1998,17.36,17.36
1999,16.92,16.92
2000,16.28,16.28
2001,16.73,16.73
2002,16.22,16.22
2003,16.28,16.28
2004,16.20,16.20
2005,16.52,16.52
2006,15.92,15.92
2007,16.52,16.52
2008,16.48,16.48
2009,16.53,16.53
2010,16.77,16.77
2011,16.77,16.77
2012,16.46,16.46
2013,16.43,16.43
2014,16.54,16.54
2015,16.71,16.71
2016,17.33,17.33
2017,17.02,17.02
2018,16.88,16.88
2019,16.87,16.87
2020,17.10,17.10
