Variable:,tasmin
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1925,9.68,5.16,17.05,4.21,3.96,9.05,9.71,7.36,2.53,8.64,17.00,10.86,10.26,15.30,9.11,2.55,12.40,5.03,5.32,8.54,11.16,14.56,7.16,3.20,9.11,2.13,4.66,10.03,4.32,10.81
1926,9.65,4.95,17.34,4.11,3.84,8.88,9.87,7.01,2.26,8.71,17.18,10.77,10.24,15.33,9.15,2.34,12.09,4.90,5.07,8.29,11.05,14.56,6.89,3.13,8.99,1.83,4.46,9.91,3.97,10.55
1927,9.84,5.02,17.50,4.29,4.14,9.34,10.02,7.55,2.59,8.74,17.29,10.82,10.31,15.46,9.30,2.53,12.71,5.04,5.59,9.02,11.60,14.48,7.65,3.36,9.20,2.22,4.87,10.40,4.61,11.27
1928,9.33,4.35,17.26,3.75,3.04,8.77,9.68,6.49,1.85,8.16,17.17,10.30,9.96,14.99,8.82,1.58,11.82,4.49,4.93,8.21,10.95,14.50,6.91,2.28,8.66,1.16,3.80,9.75,3.63,10.58
1929,9.22,4.56,17.20,3.75,3.35,8.70,9.58,6.70,2.04,7.76,17.06,10.45,9.80,15.03,8.80,1.87,11.83,4.61,5.02,8.16,10.74,14.26,6.91,2.63,8.52,1.43,3.99,9.46,3.86,10.60
1930,9.29,5.25,17.16,3.80,4.28,8.64,9.51,7.28,2.53,7.70,17.00,10.91,9.68,15.18,8.81,2.67,12.08,4.94,5.29,8.09,10.51,14.21,6.95,3.67,8.41,2.08,4.70,9.27,4.35,10.66
1931,9.19,4.54,17.15,3.68,3.50,8.69,9.52,6.71,1.97,7.97,16.87,10.43,9.67,14.97,8.74,1.86,11.89,4.57,5.02,8.17,10.76,13.86,6.94,2.83,8.49,1.38,4.07,9.55,3.79,10.61
1932,9.20,4.63,16.81,3.68,3.45,8.79,9.25,7.00,2.16,8.04,16.63,10.42,9.56,14.88,8.62,2.02,12.16,4.62,5.22,8.46,10.97,13.87,7.20,2.75,8.49,1.62,4.18,9.80,4.15,10.84
1933,9.29,4.20,16.64,3.69,3.12,8.87,9.23,6.82,1.87,8.47,16.61,10.10,9.74,14.73,8.59,1.60,12.19,4.39,5.05,8.65,11.29,14.01,7.26,2.25,8.67,1.40,4.02,10.15,3.94,10.81
1934,9.13,4.37,16.83,3.58,3.31,8.67,9.30,6.76,1.92,7.83,16.77,10.28,9.62,14.80,8.55,1.74,11.92,4.47,5.01,8.22,10.72,14.17,6.99,2.55,8.41,1.39,4.06,9.48,3.86,10.64
