Variable:,tasmin
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1998,11.23,6.36,18.68,5.61,5.47,10.55,11.33,8.69,3.76,10.41,18.68,11.99,11.80,16.69,10.54,3.88,13.74,6.16,6.48,9.88,12.72,16.18,8.42,4.60,10.68,3.48,6.16,11.67,5.59,11.96
1999,11.26,6.31,18.93,5.73,5.32,10.50,11.46,8.53,3.63,10.64,18.70,12.09,11.78,16.92,10.73,3.82,13.57,6.17,6.37,9.71,12.73,16.15,8.28,4.65,10.63,3.32,5.86,11.65,5.44,11.88
2000,10.99,6.22,18.47,5.44,5.10,10.36,10.99,8.49,3.61,10.38,18.21,11.89,11.36,16.57,10.36,3.70,13.57,6.02,6.31,9.74,12.74,15.72,8.29,4.26,10.37,3.26,5.81,11.68,5.43,11.83
2001,11.16,6.09,18.59,5.44,5.46,10.46,11.10,8.68,3.59,10.56,18.35,12.06,11.54,16.59,10.54,3.74,13.85,6.17,6.35,9.96,12.90,15.99,8.44,4.68,10.56,3.21,6.09,11.83,5.52,12.00
2002,11.02,5.59,18.47,5.12,4.77,10.22,11.06,8.28,3.15,10.42,18.52,11.52,11.71,16.34,10.33,3.15,13.51,5.72,6.07,9.73,12.70,16.25,8.23,3.92,10.43,2.73,5.47,11.64,5.20,11.77
2003,10.82,5.96,18.58,4.98,4.90,9.76,11.05,8.03,3.27,9.95,18.69,11.88,11.62,16.31,10.28,3.41,13.04,5.83,5.82,9.14,12.05,16.20,7.74,4.19,10.01,2.72,5.40,10.94,4.96,11.27
2004,10.95,5.86,18.33,4.95,4.75,9.91,11.01,8.12,3.34,10.24,18.77,11.80,11.86,16.17,10.03,3.29,13.26,5.84,5.95,9.33,12.25,16.44,7.89,3.93,10.12,2.74,5.45,11.28,5.14,11.44
2005,10.79,5.71,18.07,4.79,4.93,9.74,10.68,8.27,3.21,10.11,18.46,11.65,11.51,16.04,9.85,3.28,13.40,5.60,5.78,9.52,12.30,16.15,7.95,4.09,9.89,2.82,5.63,11.24,5.17,11.41
2006,11.14,6.12,18.59,5.21,5.13,10.02,11.00,8.43,3.67,10.53,18.68,12.20,11.80,16.56,10.27,3.57,13.57,6.13,6.24,9.72,12.57,16.65,8.25,4.34,10.05,3.03,5.80,11.51,5.46,11.76
2007,10.54,5.63,18.33,4.58,4.69,9.32,10.71,8.00,3.04,9.62,18.47,11.60,11.30,15.97,9.79,3.06,12.97,5.45,5.52,8.98,11.62,16.21,7.57,3.83,9.50,2.61,5.39,10.55,4.98,11.00
2008,10.79,5.74,18.45,4.89,4.82,9.65,10.89,7.93,2.99,10.04,18.50,11.70,11.61,16.24,10.14,3.16,13.16,5.63,5.60,9.31,12.07,16.35,7.69,4.03,10.01,2.50,5.42,10.87,4.77,11.15
2009,11.10,5.90,18.76,5.14,5.05,9.91,11.16,8.24,3.21,10.44,18.80,11.97,11.88,16.50,10.42,3.35,13.40,5.86,5.85,9.53,12.33,16.82,7.95,4.30,10.24,2.81,5.68,11.21,5.13,11.40
2010,11.56,6.93,19.25,5.86,6.37,10.69,11.56,9.39,4.31,10.71,18.83,12.84,11.80,17.17,10.97,4.48,14.51,6.71,6.86,10.59,13.14,16.43,9.07,5.68,10.69,3.93,6.90,11.96,6.22,12.42
2011,10.79,5.30,18.48,4.80,4.41,9.76,11.02,7.83,2.77,10.10,18.63,11.39,11.57,16.09,10.07,2.72,13.07,5.46,5.57,9.27,12.18,16.54,7.71,3.61,10.04,2.33,5.11,10.94,4.75,11.20
2012,10.80,6.18,18.79,5.07,5.35,9.71,11.09,8.49,3.52,9.68,18.55,12.19,11.29,16.50,10.29,3.66,13.52,6.07,6.02,9.59,12.04,16.04,8.11,4.56,9.80,3.13,5.98,10.90,5.38,11.49
2013,11.18,5.53,18.52,4.84,5.05,9.97,11.24,8.41,3.09,10.84,18.99,11.23,12.15,15.82,9.87,3.19,13.59,5.52,5.96,9.65,12.71,16.62,8.00,4.11,10.40,3.04,5.99,11.83,5.09,11.52
2014,11.15,6.45,19.15,5.88,5.40,10.56,11.49,8.59,3.79,10.02,18.48,12.30,11.77,17.07,10.99,3.90,13.61,6.49,6.70,9.73,12.49,16.00,8.47,4.69,10.54,3.45,6.03,11.28,5.55,12.24
2015,11.68,6.55,19.48,6.10,5.41,10.95,11.89,8.79,3.94,10.93,19.07,12.48,12.43,17.31,11.21,4.01,14.00,6.66,6.95,10.28,13.19,16.77,8.88,4.60,10.97,3.58,6.09,12.04,5.79,12.56
2016,11.66,6.31,19.56,6.17,4.89,10.95,12.08,8.37,3.68,10.97,19.20,12.31,12.60,17.31,11.31,3.63,13.62,6.54,6.70,9.97,13.01,16.90,8.53,4.06,11.18,3.19,5.66,11.78,5.42,12.32
2017,11.31,6.22,19.31,5.87,4.95,10.59,11.80,8.34,3.60,10.41,18.96,12.18,12.12,17.08,11.01,3.62,13.42,6.38,6.55,9.64,12.57,16.46,8.26,4.11,10.77,3.17,5.67,11.40,5.32,12.08
2018,12.05,7.57,20.06,6.89,6.47,11.45,12.40,9.40,4.80,10.95,19.27,13.45,12.57,18.17,11.95,4.99,14.38,7.59,7.69,10.51,13.26,16.84,9.27,5.71,11.37,4.41,7.01,12.01,6.39,13.14
2019,11.63,6.71,19.68,6.32,5.60,10.95,11.93,8.88,4.08,10.79,18.93,12.69,12.22,17.56,11.46,4.12,13.98,6.86,7.03,10.17,13.01,16.58,8.79,4.82,10.90,3.68,6.29,11.88,5.82,12.56
2020,11.20,6.63,19.58,6.19,5.43,10.61,11.76,8.46,3.90,9.98,18.59,12.59,11.77,17.48,11.37,3.96,13.49,6.77,6.78,9.63,12.35,16.03,8.35,4.68,10.51,3.39,5.99,11.11,5.43,12.20
