Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
1901,22.62,16.32,27.16,19.87,23.85,24.00,26.61,20.09,20.23,23.27,19.75,25.72
1902,22.54,16.33,27.11,19.43,23.23,24.14,26.42,20.23,20.33,22.68,19.77,25.83
1903,22.62,16.43,27.18,19.35,23.08,24.35,26.41,20.44,20.49,22.54,19.90,25.98
1904,22.39,16.23,27.03,19.37,23.17,24.05,26.28,20.15,19.99,22.63,19.55,25.69
1905,22.48,16.39,27.15,19.33,23.06,24.27,26.36,20.37,20.14,22.51,19.69,25.83
1906,22.51,16.40,27.19,19.55,23.36,24.22,26.40,20.31,20.06,22.80,19.67,25.79
1907,22.24,16.03,26.85,19.18,22.99,23.88,26.12,19.98,19.86,22.47,19.40,25.57
1908,22.59,16.43,27.17,19.40,23.16,24.28,26.41,20.37,20.38,22.61,19.83,25.92
1909,21.97,15.74,26.62,19.08,22.96,23.53,25.93,19.61,19.41,22.45,19.04,25.27
1910,22.60,16.58,27.39,19.48,23.10,24.58,26.21,20.68,20.10,22.67,19.79,26.00
1911,22.52,16.62,27.49,19.64,23.28,24.40,26.35,20.40,20.14,22.84,19.73,25.60
1912,21.90,16.10,26.94,19.11,22.78,23.71,25.89,19.70,19.66,22.38,19.12,24.80
1913,21.98,16.10,26.90,18.97,22.58,23.86,25.77,19.91,19.63,22.18,19.17,25.21
1914,22.33,16.20,27.02,19.40,23.22,24.00,26.25,20.11,19.84,22.70,19.43,25.63
1915,22.33,16.23,27.08,19.50,23.31,23.97,26.24,20.02,19.86,22.86,19.46,25.51
1916,22.04,16.10,26.88,18.88,22.46,23.95,25.67,20.03,19.62,22.08,19.23,25.45
1917,22.05,16.11,26.91,18.91,22.47,23.99,25.64,20.09,19.50,22.13,19.21,25.53
1918,22.13,16.15,26.94,19.05,22.70,24.00,25.81,20.08,19.61,22.30,19.26,25.55
1919,22.33,16.23,27.06,19.54,23.44,24.00,26.36,20.09,19.73,22.87,19.38,25.56
1920,22.01,16.04,26.83,18.73,22.27,24.00,25.63,20.09,19.59,21.89,19.17,25.55
1921,22.39,16.14,26.91,19.04,22.74,24.09,26.05,20.22,20.12,22.25,19.61,25.96
1922,22.55,16.18,26.90,19.09,22.83,24.23,26.17,20.41,20.15,22.27,19.74,26.33
1923,22.26,16.12,26.86,19.01,22.74,24.00,26.06,20.09,20.04,22.18,19.49,25.68
1924,22.85,16.26,27.02,19.39,23.23,24.33,26.40,20.56,20.31,22.66,20.02,26.73
1925,22.53,16.19,26.95,19.16,22.90,24.15,26.14,20.33,20.17,22.40,19.74,26.18
1926,22.51,16.19,26.98,19.28,23.07,24.08,26.26,20.21,20.26,22.54,19.71,25.96
1927,22.57,16.23,27.05,19.50,23.37,24.06,26.47,20.17,20.24,22.82,19.74,25.91
1928,22.90,16.33,27.19,19.87,23.83,24.22,26.70,20.42,20.38,23.29,20.00,26.41
1929,22.22,16.19,26.98,19.24,22.97,24.01,25.99,20.11,19.62,22.51,19.33,25.59
1930,22.02,16.12,26.94,19.09,22.75,23.84,25.85,19.87,19.65,22.35,19.21,25.16
1931,22.54,16.25,27.09,19.49,23.28,24.14,26.25,20.28,19.97,22.85,19.64,26.02
1932,22.26,16.15,26.96,19.21,22.95,24.04,26.05,20.14,19.77,22.46,19.38,25.69
1933,22.55,16.26,27.09,19.67,23.62,24.07,26.51,20.20,19.98,23.01,19.64,25.85
1934,22.36,16.19,26.98,19.27,23.07,24.03,26.17,20.13,19.94,22.53,19.52,25.75
