Variable:,pr
,Bhutan,Bumthang,Chhukha,Gasa,Lhuentse,Monggar,Paro,Punakha,Thimphu,Trashiyangtse,Trashigang,Trongsa,Tsirang,Wangduephodrang,Dagana,Haa,Pemagatshel,Samdrupjongkhar,Samtse,Sarpang,Zhemgang
1901,1922.67,1581.25,2262.71,1279.58,1685.11,2238.84,1529.04,1511.19,1520.01,1702.55,2032.37,2054.08,2373.73,1869.77,2192.90,1843.22,2348.98,2177.52,2273.00,2428.33,2343.18
1902,1856.60,1487.66,2258.68,1241.56,1638.47,2135.91,1551.75,1460.34,1485.35,1692.09,2017.98,1906.91,2199.25,1761.82,2121.06,1883.35,2218.36,2148.53,2371.82,2244.66,2162.16
1903,2013.30,1665.63,2366.51,1340.95,1785.46,2348.76,1589.40,1581.31,1585.06,1808.30,2143.66,2148.60,2476.57,1957.85,2293.16,1914.65,2448.88,2279.12,2361.66,2531.80,2442.67
1904,1916.37,1571.79,2324.85,1296.93,1676.05,2196.20,1561.85,1524.36,1533.94,1686.00,1979.14,2026.94,2344.49,1864.37,2219.03,1889.16,2292.60,2120.07,2376.09,2391.26,2291.74
1905,2181.82,1789.74,2662.26,1389.14,1888.16,2539.79,1738.10,1669.86,1707.40,1886.83,2240.22,2340.17,2734.81,2116.13,2558.25,2129.68,2679.91,2411.05,2664.47,2808.80,2697.48
1906,1823.42,1480.28,2216.16,1240.24,1587.81,2074.86,1541.55,1462.42,1486.54,1605.68,1893.07,1909.59,2197.07,1766.06,2098.00,1861.46,2156.29,2018.85,2316.02,2234.70,2147.83
1907,1674.88,1341.61,2054.28,1184.73,1457.47,1872.58,1470.36,1381.47,1397.98,1482.97,1735.57,1724.05,1976.33,1620.64,1920.60,1768.98,1928.64,1844.94,2200.28,1997.37,1910.06
1908,1903.55,1551.73,2216.94,1240.31,1693.76,2254.57,1463.88,1463.29,1464.28,1742.05,2098.79,2010.64,2344.33,1823.75,2152.37,1767.68,2371.92,2254.74,2212.21,2408.67,2319.29
1909,1817.65,1458.60,2225.70,1217.24,1585.05,2084.54,1515.62,1428.48,1454.41,1623.07,1935.58,1880.58,2182.92,1732.52,2095.46,1838.96,2179.24,2069.49,2333.04,2232.31,2142.14
1910,2075.14,1688.14,2451.35,1304.87,1832.49,2474.79,1592.83,1556.41,1579.45,1877.22,2278.06,2201.21,2564.82,1976.57,2368.65,1943.55,2612.45,2446.90,2449.61,2645.62,2564.08
1911,2450.96,2016.07,2889.85,1497.06,2158.15,2950.57,1802.28,1809.00,1830.24,2183.54,2648.09,2650.43,3121.81,2358.51,2838.60,2212.91,3134.46,2872.20,2756.99,3226.28,3109.02
1912,1924.05,1576.38,2261.40,1304.66,1709.08,2238.26,1542.69,1527.77,1527.43,1744.46,2073.72,2029.15,2330.41,1862.10,2178.27,1854.61,2323.13,2207.08,2288.77,2376.01,2293.88
1913,2168.73,1743.24,2641.45,1359.93,1881.86,2554.28,1722.26,1633.36,1678.60,1920.11,2337.84,2283.64,2670.73,2063.47,2522.25,2113.22,2693.00,2522.97,2663.85,2747.36,2650.14
1914,1900.91,1546.28,2337.30,1278.11,1651.50,2170.55,1584.14,1505.24,1529.56,1662.47,1952.14,1994.64,2310.37,1835.72,2209.98,1922.26,2273.53,2093.98,2420.55,2362.07,2266.03
1915,2261.23,1828.55,2689.60,1414.47,1995.48,2695.08,1760.63,1695.16,1728.86,2042.76,2470.55,2386.99,2787.53,2147.42,2589.28,2150.82,2844.80,2665.65,2681.72,2878.92,2787.25
1916,1871.82,1493.05,2285.95,1214.71,1621.31,2181.59,1528.36,1435.22,1470.20,1661.50,2014.95,1941.65,2266.41,1767.74,2160.14,1863.01,2308.05,2179.28,2370.15,2333.64,2251.32
