Variable:,tasmax
,"American Samoa","Administrative unit not available"
1901,28.88,28.88
1902,28.98,28.98
1903,28.87,28.87
1904,28.49,28.49
1905,28.58,28.58
1906,28.82,28.82
1907,28.45,28.45
1908,28.73,28.73
1909,28.26,28.26
1910,28.66,28.66
1911,29.45,29.45
1912,29.71,29.71
1913,29.42,29.42
1914,29.54,29.54
1915,28.93,28.93
1916,28.63,28.63
1917,28.55,28.55
1918,28.90,28.90
1919,29.65,29.65
1920,29.83,29.83
1921,29.50,29.50
1922,29.59,29.59
1923,29.38,29.38
1924,29.78,29.78
1925,29.36,29.36
1926,29.53,29.53
1927,29.51,29.51
1928,29.38,29.38
1929,29.09,29.09
1930,29.08,29.08
1931,29.33,29.33
1932,29.54,29.54
1933,29.43,29.43
1934,29.31,29.31
1935,29.49,29.49
1936,29.43,29.43
1937,29.40,29.40
1938,29.66,29.66
1939,29.27,29.27
1940,29.47,29.47
1941,29.63,29.63
1942,29.31,29.31
1943,29.48,29.48
1944,29.20,29.20
1945,29.18,29.18
1946,29.54,29.54
1947,29.69,29.69
1948,29.39,29.39
1949,29.64,29.64
1950,29.43,29.43
1951,29.42,29.42
1952,29.87,29.87
1953,29.57,29.57
1954,29.46,29.46
1955,29.48,29.48
1956,29.39,29.39
1957,29.51,29.51
1958,29.65,29.65
1959,29.63,29.63
1960,29.53,29.53
1961,29.37,29.37
1962,29.28,29.28
1963,29.42,29.42
1964,29.37,29.37
1965,29.15,29.15
1966,29.62,29.62
1967,29.30,29.30
1968,29.64,29.64
1969,29.58,29.58
1970,29.59,29.59
1971,29.23,29.23
1972,29.34,29.34
1973,29.54,29.54
1974,29.28,29.28
1975,29.30,29.30
1976,29.39,29.39
1977,29.59,29.59
1978,29.48,29.48
1979,29.83,29.83
1980,29.70,29.70
1981,29.51,29.51
1982,29.63,29.63
1983,29.73,29.73
1984,29.66,29.66
1985,29.64,29.64
1986,29.62,29.62
1987,29.35,29.35
1988,29.66,29.66
1989,29.46,29.46
1990,29.71,29.71
1991,29.75,29.75
1992,29.62,29.62
1993,29.33,29.33
1994,29.69,29.69
1995,30.14,30.14
1996,30.37,30.37
1997,30.01,30.01
1998,29.98,29.98
1999,30.24,30.24
2000,30.55,30.55
2001,30.97,30.97
2002,30.73,30.73
2003,30.13,30.13
2004,29.90,29.90
2005,30.10,30.10
2006,29.93,29.93
2007,30.31,30.31
2008,30.07,30.07
2009,30.06,30.06
2010,30.24,30.24
2011,29.94,29.94
2012,29.71,29.71
2013,30.04,30.04
2014,29.92,29.92
2015,29.58,29.58
2016,30.10,30.10
2017,30.01,30.01
2018,29.91,29.91
2019,30.04,30.04
2020,30.13,30.13
