Variable:,tasmax
,Kiribati,"Administrative unit not available"
1901,30.78,30.83
1902,30.78,30.83
1903,30.78,30.83
1904,30.78,30.83
1905,30.78,30.83
1906,30.78,30.83
1907,30.78,30.83
1908,30.78,30.83
1909,30.78,30.83
1910,30.78,30.83
1911,30.78,30.83
1912,30.78,30.83
1913,30.78,30.83
1914,30.78,30.83
1915,30.78,30.83
1916,30.78,30.83
1917,30.78,30.83
1918,30.78,30.83
1919,30.78,30.83
1920,30.78,30.83
1921,30.78,30.78
1922,31.37,31.20
1923,31.63,31.33
1924,31.36,31.15
1925,31.38,31.31
1926,30.78,30.83
1927,30.78,31.06
1928,30.78,31.04
1929,31.31,31.35
1930,31.50,31.37
1931,30.78,30.94
1932,30.78,30.97
1933,30.78,30.95
1934,30.78,30.97
1935,30.78,30.97
1936,30.78,30.85
1937,30.78,30.90
1938,30.78,30.81
1939,30.78,30.82
1940,30.78,30.79
1941,30.73,30.78
1942,30.77,30.85
1943,30.47,30.64
1944,30.59,30.67
1945,30.61,30.63
1946,30.68,30.73
1947,30.62,30.70
1948,30.45,30.42
1949,30.78,30.68
1950,30.78,30.73
1951,30.83,30.93
1952,30.60,30.79
1953,30.31,30.58
1954,30.55,30.72
1955,30.83,30.76
1956,30.63,30.72
1957,30.53,30.69
1958,30.96,30.99
1959,31.22,31.15
1960,30.78,30.79
1961,30.78,30.76
1962,30.78,30.75
1963,31.08,31.02
1964,30.78,30.69
1965,30.78,30.72
1966,30.78,30.85
1967,30.83,30.81
1968,30.94,30.97
1969,31.43,31.37
1970,30.51,30.61
1971,29.87,30.08
1972,30.94,30.89
1973,30.22,30.46
1974,30.50,30.55
1975,30.13,30.22
1976,30.47,30.53
1977,31.19,31.15
1978,30.88,30.97
1979,31.09,31.14
1980,31.39,31.38
1981,30.93,31.01
1982,31.40,31.31
1983,31.21,31.21
1984,30.51,30.71
1985,30.60,30.80
1986,30.89,31.01
1987,31.53,31.37
1988,30.48,30.58
1989,30.08,30.33
1990,30.62,30.85
1991,30.91,31.04
1992,30.78,30.94
1993,30.78,30.87
1994,30.78,30.86
1995,30.78,30.87
1996,30.78,30.85
1997,30.78,30.86
1998,30.78,30.85
1999,30.78,30.72
2000,30.78,30.80
2001,30.78,30.89
2002,30.78,30.94
2003,30.78,30.92
2004,30.78,30.95
2005,30.78,30.95
2006,30.78,30.94
2007,30.78,30.90
2008,30.78,30.87
2009,30.78,30.89
2010,30.78,30.83
2011,30.78,30.86
2012,30.78,30.92
2013,30.78,30.91
2014,30.78,30.92
2015,30.78,30.94
2016,30.78,30.94
2017,30.78,30.93
2018,30.78,30.92
2019,30.78,30.99
2020,30.78,31.02
