Variable:,tasmax
,"St. Kitts and Nevis","Christ Church Nichola Town","Saint Anne Sandy Point","Saint George Basseterre","Saint George Gingerland","Saint James Windward","Saint John Capisterre","Saint John Figtree","Saint Mary Cayon","Saint Paul Capisterre","Saint Paul Charlestown","Saint Peter Basseterre","Saint Thomas Lowland","Saint Thomas Middle Island","Trinity Palmetto Point"
1901,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89
1902,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49
1903,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58
1904,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09
1905,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48
1906,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26
1907,26.92,26.92,26.92,26.92,26.92,26.92,26.92,26.92,26.92,26.92,26.92,26.92,26.92,26.92,26.92
1908,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14
1909,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89
1910,26.87,26.87,26.87,26.87,26.87,26.87,26.87,26.87,26.87,26.87,26.87,26.87,26.87,26.87,26.87
1911,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11
1912,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43
1913,26.76,26.76,26.76,26.76,26.76,26.76,26.76,26.76,26.76,26.76,26.76,26.76,26.76,26.76,26.76
1914,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21
1915,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64
1916,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19
1917,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1918,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27
1919,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.33,27.33
1920,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27
1921,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06
1922,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86
1923,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48
1924,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69
1925,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39
1926,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84
1927,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49
1928,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53
1929,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12,27.12
1930,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47
1931,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88
1932,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08
1933,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72
1934,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66
1935,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48
1936,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71
1937,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93
1938,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39
1939,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79
1940,28.19,28.19,28.19,28.19,28.19,28.19,28.19,28.19,28.19,28.19,28.19,28.19,28.19,28.19,28.19
1941,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31
1942,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36
1943,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68
1944,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11
1945,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55,27.55
1946,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66
1947,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82
1948,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85
1949,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53
1950,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15
1951,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95
1952,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03
1953,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93
1954,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68
1955,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60
1956,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27
1957,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68
1958,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12
1959,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92
1960,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26
1961,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78
1962,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.91
1963,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01
1964,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98
1965,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89
1966,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01
1967,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01
1968,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14
1969,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56
1970,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23
1971,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00
1972,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99
1973,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23
