Variable:,tasmin
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1924,3.03,2.52,2.16,2.90,3.26,3.35,1.06,2.46,3.85,3.89,2.64,6.00,2.82,2.44,2.71,3.42,4.95,2.57,2.47,1.64,2.80,3.17,2.48,1.38,4.07,2.45
1925,4.54,4.18,4.28,4.06,4.69,4.77,2.20,4.35,4.90,5.35,4.08,6.76,4.63,3.67,4.49,4.66,6.10,4.49,4.05,3.89,4.19,4.57,4.03,2.44,5.21,4.11
1926,3.78,3.31,2.98,3.96,3.78,3.79,2.29,3.04,4.28,4.85,3.31,6.35,3.67,3.70,3.21,3.99,5.67,3.31,3.48,2.43,3.93,4.02,3.58,2.73,4.46,3.36
1927,3.45,3.02,2.56,3.74,3.51,3.41,1.98,2.60,4.08,4.57,3.07,6.16,3.31,3.28,2.73,3.78,5.49,2.99,2.99,2.00,3.55,3.80,3.05,2.37,4.19,2.95
1928,2.79,2.25,1.95,2.94,2.77,2.81,1.41,1.91,3.38,3.88,2.28,5.46,2.62,2.86,2.10,3.00,4.63,2.23,2.58,1.35,2.96,3.01,2.73,1.89,3.53,2.40
1929,2.50,2.03,1.66,2.34,2.71,2.79,0.54,1.89,3.34,3.29,2.11,5.53,2.28,1.94,2.10,2.93,4.48,2.11,1.78,1.25,2.19,2.62,1.80,1.07,3.54,1.85
1930,4.23,3.81,3.58,4.18,4.30,4.33,2.45,3.65,4.76,5.23,3.80,6.72,4.20,3.88,3.79,4.45,5.93,3.90,3.84,3.11,4.17,4.41,3.87,2.86,4.99,3.81
1931,2.99,2.44,2.05,2.91,3.20,3.37,1.23,2.44,3.68,3.88,2.55,5.79,2.76,2.62,2.70,3.26,4.88,2.53,2.38,1.58,2.88,3.07,2.44,1.62,4.04,2.37
1932,3.85,3.50,3.60,3.35,3.94,3.94,1.60,3.61,4.21,4.69,3.45,5.98,3.99,3.13,3.66,4.02,5.32,3.79,3.50,3.23,3.58,3.89,3.47,1.89,4.45,3.54
1933,2.25,1.76,1.53,1.97,2.47,2.54,0.27,1.71,2.99,3.07,1.85,5.17,2.10,1.69,1.91,2.55,4.01,1.91,1.69,1.04,1.99,2.29,1.72,0.62,3.22,1.68
