Variable:,tasmin
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1901,5.15,5.07,4.48,5.56,5.88,4.61,5.29,5.18,6.03,5.05,4.87,4.70,4.20,5.49,4.65,5.13,5.08,5.03,4.54,4.54,4.82,4.67,4.51,4.93,5.22,4.77,5.90,5.43
1902,5.44,5.42,4.70,5.91,6.25,4.64,5.56,5.44,6.38,5.37,5.23,5.04,4.40,5.86,4.94,5.30,5.30,5.29,4.65,4.65,5.13,4.91,4.69,5.30,5.59,5.06,6.27,5.76
1903,5.49,5.50,4.77,5.92,6.25,4.77,5.65,5.47,6.37,5.43,5.32,5.10,4.48,5.87,4.97,5.42,5.34,5.36,4.78,4.78,5.17,4.96,4.76,5.34,5.66,5.10,6.36,5.85
1904,5.32,5.31,4.61,5.74,6.08,4.69,5.45,5.31,6.21,5.23,5.11,4.90,4.33,5.69,4.81,5.25,5.22,5.16,4.62,4.62,4.97,4.80,4.63,5.15,5.44,4.92,6.15,5.64
1905,5.51,5.45,4.86,5.88,6.21,4.94,5.68,5.52,6.33,5.45,5.27,5.09,4.58,5.82,5.04,5.49,5.43,5.40,4.89,4.89,5.19,5.03,4.88,5.30,5.61,5.16,6.30,5.82
1906,5.33,5.29,4.65,5.74,6.07,4.71,5.48,5.34,6.22,5.24,5.10,4.90,4.36,5.68,4.85,5.27,5.24,5.19,4.66,4.66,4.99,4.84,4.67,5.14,5.43,4.95,6.13,5.64
1907,5.22,5.16,4.53,5.64,5.95,4.65,5.35,5.24,6.10,5.13,4.98,4.79,4.26,5.57,4.72,5.16,5.15,5.07,4.54,4.54,4.88,4.73,4.57,5.03,5.31,4.83,5.99,5.52
1908,5.85,5.80,5.19,6.24,6.57,5.28,6.00,5.85,6.70,5.77,5.61,5.42,4.92,6.18,5.39,5.79,5.78,5.72,5.19,5.19,5.52,5.37,5.22,5.65,5.94,5.48,6.64,6.16
1909,5.10,5.05,4.44,5.51,5.82,4.54,5.23,5.13,5.95,5.01,4.86,4.67,4.16,5.44,4.62,5.03,5.05,4.96,4.44,4.44,4.76,4.62,4.47,4.90,5.19,4.73,5.88,5.39
1910,5.43,5.44,4.76,5.81,6.16,4.85,5.60,5.42,6.27,5.38,5.22,5.03,4.48,5.77,4.94,5.40,5.32,5.33,4.78,4.78,5.11,4.93,4.77,5.25,5.56,5.07,6.27,5.78
1911,5.65,5.65,4.98,6.04,6.39,5.16,5.81,5.64,6.52,5.54,5.43,5.22,4.69,5.99,5.15,5.61,5.57,5.51,5.04,5.04,5.30,5.16,5.00,5.45,5.76,5.26,6.48,5.97
1912,5.48,5.47,4.80,5.86,6.21,4.90,5.63,5.47,6.32,5.41,5.29,5.08,4.52,5.82,4.99,5.42,5.38,5.34,4.82,4.82,5.15,4.98,4.82,5.30,5.59,5.09,6.32,5.81
1913,5.74,5.74,5.09,6.13,6.45,5.22,5.90,5.73,6.56,5.67,5.53,5.32,4.81,6.07,5.26,5.72,5.66,5.60,5.13,5.13,5.41,5.26,5.10,5.55,5.85,5.37,6.57,6.07
1914,5.70,5.64,5.08,6.06,6.38,5.25,5.87,5.70,6.51,5.61,5.44,5.26,4.80,5.99,5.24,5.74,5.65,5.59,5.16,5.16,5.37,5.22,5.09,5.46,5.76,5.34,6.46,5.99
1915,5.04,4.99,4.36,5.46,5.78,4.46,5.16,5.05,5.93,4.93,4.80,4.61,4.11,5.39,4.56,4.92,4.99,4.87,4.35,4.35,4.69,4.56,4.44,4.84,5.13,4.65,5.82,5.33
1916,5.50,5.45,4.86,5.88,6.21,5.01,5.67,5.50,6.34,5.43,5.25,5.08,4.58,5.82,5.05,5.48,5.44,5.39,4.90,4.90,5.18,5.01,4.87,5.29,5.56,5.14,6.28,5.81
1917,4.93,4.86,4.29,5.30,5.63,4.40,5.10,4.95,5.77,4.85,4.66,4.50,4.01,5.24,4.46,4.94,4.88,4.83,4.33,4.33,4.61,4.46,4.31,4.70,4.98,4.58,5.70,5.23
1918,5.64,5.60,4.98,6.03,6.36,5.12,5.79,5.65,6.49,5.56,5.39,5.21,4.70,5.97,5.16,5.59,5.58,5.51,5.00,5.00,5.31,5.16,5.01,5.44,5.72,5.26,6.43,5.95
1919,4.80,4.77,4.16,5.18,5.50,4.30,4.93,4.80,5.64,4.70,4.55,4.35,3.89,5.12,4.33,4.76,4.75,4.68,4.18,4.18,4.44,4.33,4.21,4.58,4.87,4.42,5.59,5.11
1920,5.82,5.80,5.16,6.20,6.53,5.26,5.98,5.80,6.65,5.72,5.58,5.39,4.87,6.15,5.34,5.81,5.73,5.71,5.21,5.21,5.48,5.31,5.17,5.63,5.93,5.44,6.64,6.14
1921,6.46,6.40,5.76,6.88,7.22,5.92,6.52,6.44,7.39,6.29,6.21,6.00,5.51,6.82,5.94,6.32,6.41,6.24,5.76,5.76,6.07,5.94,5.83,6.26,6.55,6.03,7.25,6.73
1922,5.22,5.18,4.51,5.64,5.97,4.60,5.34,5.22,6.11,5.11,5.00,4.80,4.25,5.59,4.71,5.11,5.13,5.06,4.52,4.52,4.88,4.71,4.56,5.05,5.33,4.83,6.01,5.52
1923,5.58,5.58,4.89,6.00,6.32,4.96,5.70,5.57,6.46,5.49,5.37,5.17,4.61,5.95,5.08,5.50,5.48,5.43,4.87,4.87,5.23,5.05,4.91,5.41,5.69,5.19,6.40,5.90
1924,5.76,5.73,5.08,6.17,6.47,5.13,5.92,5.78,6.60,5.68,5.53,5.35,4.78,6.10,5.26,5.70,5.67,5.62,5.09,5.09,5.45,5.27,5.09,5.57,5.86,5.40,6.56,6.08
1925,5.36,5.30,4.70,5.75,6.08,4.81,5.49,5.36,6.22,5.27,5.11,4.93,4.43,5.69,4.88,5.31,5.29,5.22,4.71,4.71,5.02,4.88,4.72,5.16,5.46,4.99,6.14,5.65
1926,6.03,6.02,5.34,6.45,6.77,5.40,6.16,6.03,6.91,5.96,5.82,5.63,5.06,6.40,5.54,5.95,5.92,5.89,5.35,5.35,5.72,5.53,5.35,5.87,6.14,5.65,6.85,6.36
1927,5.68,5.71,4.98,6.10,6.44,4.94,5.84,5.67,6.54,5.61,5.51,5.29,4.68,6.06,5.19,5.59,5.53,5.54,4.98,4.98,5.36,5.17,4.97,5.54,5.83,5.31,6.55,6.04
1928,5.74,5.75,5.01,6.19,6.54,5.05,5.83,5.72,6.68,5.62,5.55,5.32,4.73,6.14,5.22,5.60,5.63,5.54,5.00,5.00,5.37,5.21,5.04,5.59,5.90,5.32,6.59,6.05
1929,5.50,5.43,4.82,5.92,6.23,4.92,5.59,5.51,6.39,5.38,5.24,5.05,4.56,5.85,5.01,5.37,5.45,5.32,4.80,4.80,5.14,5.01,4.89,5.29,5.58,5.11,6.24,5.76
1930,5.56,5.57,4.87,5.97,6.31,4.94,5.72,5.54,6.41,5.46,5.37,5.14,4.58,5.92,5.05,5.54,5.43,5.42,4.91,4.91,5.21,5.05,4.87,5.39,5.71,5.16,6.44,5.91
1931,5.94,5.90,5.25,6.39,6.64,5.25,6.02,5.99,6.80,5.89,5.69,5.53,5.01,6.32,5.49,5.79,5.90,5.78,5.20,5.20,5.64,5.49,5.32,5.75,5.99,5.58,6.71,6.23
1932,6.07,6.03,5.42,6.49,6.76,5.45,6.22,6.11,6.91,6.00,5.83,5.66,5.16,6.42,5.62,5.99,6.01,5.94,5.40,5.40,5.76,5.61,5.44,5.88,6.12,5.72,6.83,6.38
1933,6.23,6.12,5.62,6.62,6.87,5.78,6.37,6.27,7.06,6.11,5.92,5.77,5.38,6.54,5.79,6.19,6.24,6.11,5.64,5.64,5.89,5.79,5.70,5.98,6.22,5.87,6.93,6.50
1934,6.33,6.22,5.74,6.72,7.01,5.87,6.48,6.37,7.16,6.24,6.04,5.88,5.44,6.63,5.87,6.31,6.31,6.23,5.75,5.75,5.99,5.87,5.74,6.09,6.37,5.99,7.05,6.59
1935,5.98,5.88,5.36,6.36,6.67,5.46,6.10,6.01,6.80,5.90,5.70,5.53,5.10,6.28,5.53,5.91,5.96,5.86,5.35,5.35,5.65,5.53,5.40,5.75,6.03,5.62,6.72,6.24
1936,5.94,5.85,5.28,6.36,6.64,5.36,6.04,5.98,6.79,5.85,5.68,5.50,5.03,6.29,5.48,5.83,5.91,5.80,5.26,5.26,5.61,5.49,5.36,5.73,6.01,5.57,6.70,6.21
1937,5.82,5.72,5.20,6.21,6.50,5.32,5.97,5.86,6.63,5.71,5.54,5.36,4.95,6.12,5.37,5.77,5.79,5.71,5.19,5.19,5.49,5.37,5.24,5.59,5.91,5.47,6.59,6.09
1938,6.28,6.16,5.68,6.66,6.95,5.81,6.43,6.32,7.10,6.18,5.98,5.82,5.38,6.58,5.81,6.26,6.26,6.19,5.71,5.71,5.96,5.83,5.69,6.04,6.32,5.95,7.00,6.55
1939,6.13,6.05,5.50,6.51,6.82,5.60,6.26,6.15,6.94,6.02,5.87,5.68,5.26,6.44,5.66,6.07,6.10,6.00,5.50,5.50,5.79,5.67,5.57,5.91,6.21,5.77,6.90,6.41
