Variable:,tasmin
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1901,-10.27,-6.04,-4.70,-8.11,-1.69,-5.70,-14.19,1.32,-18.10,-5.56,1.25,-7.89,-6.63,-13.27
1902,-10.55,-6.73,-4.96,-8.38,-1.63,-5.89,-14.60,1.33,-18.43,-5.38,1.17,-7.91,-7.50,-13.44
1903,-10.68,-6.61,-4.89,-8.99,-2.11,-6.95,-14.16,0.46,-18.36,-6.12,0.12,-8.29,-7.71,-13.12
1904,-10.98,-6.54,-4.91,-9.08,-3.70,-7.58,-14.19,-0.84,-18.43,-7.08,-1.10,-9.11,-7.72,-13.34
1905,-10.23,-5.86,-4.19,-8.21,-3.23,-7.09,-13.11,-0.36,-18.02,-6.19,-0.62,-8.70,-6.62,-11.39
1906,-10.33,-6.03,-4.40,-7.99,-2.13,-6.51,-14.05,0.83,-18.27,-5.47,0.69,-8.24,-6.55,-13.18
1907,-11.37,-7.44,-5.57,-9.47,-3.04,-7.38,-15.19,-0.29,-18.76,-7.05,-0.47,-8.95,-8.47,-13.85
1908,-10.47,-6.22,-4.97,-8.28,-2.29,-6.10,-14.55,0.50,-18.15,-5.48,0.28,-8.25,-6.92,-13.16
1909,-11.05,-7.71,-6.12,-8.85,-1.74,-5.99,-15.30,0.99,-18.59,-5.82,0.89,-8.07,-7.90,-14.71
1910,-10.32,-5.96,-4.73,-8.09,-1.33,-6.14,-14.15,1.48,-18.11,-5.58,1.27,-7.98,-6.66,-13.75
1911,-10.93,-7.29,-5.81,-9.00,-2.59,-6.83,-14.61,0.20,-18.58,-5.71,-0.12,-8.31,-8.01,-13.64
1912,-10.54,-5.97,-4.45,-8.58,-2.62,-7.18,-13.61,0.01,-18.11,-6.96,-0.39,-8.93,-7.08,-11.92
