Variable:,tasmax
1901,29.21
1902,28.88
1903,28.97
1904,28.56
1905,28.85
1906,28.71
1907,28.43
1908,28.62
1909,28.49
1910,28.47
1911,28.53
1912,28.81
1913,28.23
1914,28.57
1915,29.04
1916,28.62
1917,28.55
1918,28.63
1919,28.63
1920,28.53
1921,28.57
1922,28.43
1923,28.77
1924,29.01
1925,28.71
1926,29.14
1927,28.82
1928,28.85
1929,28.59
1930,28.77
1931,29.25
1932,29.39
1933,29.04
1934,28.98
1935,28.70
1936,28.95
1937,29.24
1938,28.73
1939,28.98
1940,29.54
1941,29.61
1942,29.63
1943,29.02
1944,29.31
1945,28.82
1946,28.93
1947,29.15
1948,29.18
1949,28.87
1950,28.54
1951,29.20
1952,29.25
1953,29.12
1954,28.83
1955,28.88
1956,28.56
1957,28.89
1958,29.31
1959,29.16
1960,29.49
1961,29.17
1962,29.12
1963,29.33
1964,29.22
1965,29.17
1966,29.20
1967,29.18
1968,29.40
1969,29.85
1970,29.50
1971,29.34
1972,29.32
1973,29.56
1974,29.09
1975,29.21
1976,29.02
1977,29.59
1978,29.71
1979,29.53
1980,30.04
1981,29.87
1982,29.60
1983,30.08
1984,29.60
1985,29.57
1986,29.76
1987,30.30
1988,29.91
1989,29.67
1990,29.96
1991,30.02
1992,29.88
1993,30.28
1994,30.06
1995,30.29
1996,29.71
1997,29.94
1998,30.28
1999,29.81
2000,29.65
2001,30.14
2002,30.13
2003,29.94
2004,29.72
2005,30.34
2006,30.14
2007,30.07
2008,29.79
2009,30.23
2010,30.51
2011,30.11
2012,30.22
2013,30.26
2014,30.25
2015,30.47
2016,30.45
2017,30.29
2018,29.96
2019,30.30
2020,30.37
