Variable:,tasmax
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1980,27.78,29.12,24.55,27.17,19.92,32.13,34.20,19.61,6.38
1981,27.72,29.35,24.46,26.90,19.72,31.88,34.05,19.30,5.93
1982,26.88,28.32,23.60,26.23,18.86,31.07,33.52,18.60,5.34
1983,27.18,28.94,23.96,26.41,19.32,31.03,33.45,18.72,5.61
1984,27.35,28.66,24.42,26.95,19.66,31.81,33.58,19.36,5.86
1985,27.58,28.56,24.98,27.59,20.32,32.18,33.95,19.91,6.52
1986,26.85,27.92,23.95,26.35,19.28,31.23,33.59,18.77,5.68
1987,27.76,28.91,24.94,27.35,20.06,32.24,34.42,19.65,6.16
1988,28.19,29.38,25.55,27.78,20.68,32.59,34.73,20.06,6.57
1989,26.98,28.13,24.11,26.57,19.36,31.39,33.69,18.82,5.43
1990,27.71,28.92,25.09,27.43,20.34,32.05,34.01,19.80,6.57
1991,27.17,28.40,24.12,26.49,19.24,31.66,33.85,18.88,5.48
1992,26.96,28.16,23.94,26.38,19.14,31.39,33.69,18.76,5.43
1993,27.72,29.01,24.57,27.01,19.68,32.10,34.54,19.39,5.92
1994,27.40,28.62,24.38,26.84,19.63,31.77,34.02,19.21,5.99
1995,27.20,28.47,24.27,26.54,19.38,31.55,34.06,18.78,5.22
1996,27.16,28.40,24.25,26.61,19.35,31.58,33.90,18.89,5.38
1997,26.72,28.01,23.53,26.01,19.01,30.75,33.38,18.53,5.94
1998,27.76,29.20,24.38,26.74,19.56,31.98,34.54,19.20,6.06
1999,28.21,29.36,25.40,27.90,20.65,32.74,34.58,20.26,6.92
2000,28.03,29.24,25.10,27.59,20.33,32.53,34.50,19.91,6.53
2001,28.16,29.58,25.17,27.55,20.37,32.42,34.52,19.87,6.65
2002,28.13,29.39,25.09,27.51,20.28,32.58,34.73,19.83,6.46
2003,27.60,29.08,24.36,26.83,19.51,31.79,34.37,19.09,5.66
2004,28.37,29.80,25.22,27.60,20.35,32.65,35.00,19.90,6.61
2005,27.41,28.80,24.29,26.68,19.50,31.64,34.06,18.97,5.76
2006,28.13,29.60,25.02,27.41,20.19,32.36,34.68,19.67,6.42
2007,28.15,29.42,24.97,27.40,20.28,32.39,34.79,19.87,7.03
2008,28.03,29.48,25.11,27.42,20.24,32.22,34.48,19.70,6.34
2009,28.40,29.82,25.08,27.53,20.24,32.60,35.24,19.87,6.68
2010,28.53,30.07,25.21,27.60,20.31,32.77,35.21,19.92,6.47
2011,28.13,29.61,24.89,27.39,20.06,32.37,34.74,19.68,6.28
2012,27.53,28.93,24.27,26.84,19.44,31.89,34.25,19.12,5.59
2013,28.23,29.69,25.09,27.59,20.31,32.46,34.65,19.95,6.69
2014,27.87,29.34,24.77,27.24,19.90,32.07,34.49,19.48,6.04
2015,28.04,29.68,24.52,26.99,19.74,32.07,34.84,19.31,6.10
2016,28.77,30.38,25.37,27.80,20.51,32.98,35.30,20.13,6.80
2017,28.51,30.15,25.21,27.60,20.31,32.75,35.01,19.88,6.32
2018,28.82,30.48,25.58,27.96,20.70,32.98,35.36,20.17,6.63
2019,27.84,29.35,24.40,26.80,19.65,32.00,34.67,19.15,5.98
2020,27.73,29.16,24.21,26.80,19.47,31.97,34.62,19.12,5.87
