Variable:,pr
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1932,249.07,313.40,261.83,164.35,526.47,576.87,328.78,150.83,161.66,221.29,126.08,329.02,132.81,419.05,118.60,622.01,216.04,605.66,214.84,374.47,400.40,290.16,244.84
1933,225.63,309.58,210.96,164.35,419.88,399.90,274.68,163.76,161.44,220.76,126.08,281.81,130.92,384.51,118.88,450.99,215.39,424.44,211.85,293.44,294.90,274.49,242.84
1934,220.26,305.16,236.28,165.18,347.23,314.90,301.41,168.77,161.29,220.38,126.34,281.27,131.36,360.16,119.29,344.95,215.00,334.70,213.30,248.76,229.15,277.18,244.21
1935,217.80,307.05,235.83,164.05,388.92,340.27,231.09,147.28,161.43,220.73,126.01,276.06,132.37,364.04,118.42,405.13,215.36,367.12,212.14,283.38,285.98,289.17,246.90
1936,226.09,306.12,262.89,164.63,401.88,390.58,277.89,149.09,160.45,216.08,126.16,291.39,133.50,371.98,118.54,425.35,215.33,414.77,210.27,283.26,279.98,307.05,245.08
1937,234.72,322.23,308.12,175.32,396.42,352.87,278.64,151.30,154.65,185.93,151.88,233.62,173.14,423.79,118.72,413.42,201.34,374.54,198.03,258.11,253.93,345.87,312.67
1938,231.17,312.37,265.95,172.53,430.93,419.71,309.50,140.51,138.56,169.32,141.11,273.69,134.89,417.52,101.43,474.51,180.28,450.40,200.10,276.15,273.59,308.47,286.10
1939,216.82,241.31,217.80,137.41,371.62,342.05,307.87,183.65,173.41,263.46,98.52,329.76,93.33,365.02,131.97,399.63,186.93,373.88,248.84,296.75,309.48,232.27,171.82
1940,246.31,374.40,248.73,189.68,486.53,439.65,307.79,96.17,158.90,186.28,146.73,306.64,138.77,422.39,125.38,521.92,250.50,473.07,207.15,330.84,334.29,301.93,306.11
1941,206.16,269.40,222.10,132.46,425.30,419.98,325.76,92.13,124.01,171.50,95.72,297.49,103.59,394.37,78.36,455.68,181.21,448.31,192.12,299.47,310.01,254.74,166.56
1942,200.83,288.73,236.84,142.29,419.08,373.78,221.50,116.59,121.84,170.13,124.30,223.63,115.63,417.58,76.01,446.94,160.41,402.32,158.50,261.53,271.60,269.38,246.37
1943,247.92,371.29,241.03,213.18,414.25,346.53,283.66,131.71,191.53,197.84,152.09,282.02,141.76,372.50,179.72,417.72,299.76,373.74,216.44,297.87,290.45,310.77,308.55
1944,162.53,197.12,216.64,119.93,293.23,269.54,234.09,93.31,81.28,119.65,101.17,191.08,99.60,327.36,64.46,304.46,122.44,297.13,158.88,173.39,174.43,237.66,169.92
1945,227.86,327.73,186.56,161.46,463.89,419.61,321.07,132.89,160.30,210.31,112.96,303.68,103.94,389.01,110.72,496.12,225.29,449.68,243.27,326.94,337.64,232.23,224.70
1946,203.71,260.64,322.50,149.10,327.94,258.74,206.11,144.99,126.69,170.68,144.12,196.89,177.49,386.77,110.00,333.54,160.44,286.73,167.62,200.90,201.54,317.01,275.60
1947,211.75,285.57,214.83,152.25,420.53,358.89,265.57,129.06,156.57,167.47,122.84,236.18,108.67,404.66,147.61,446.02,212.16,393.48,163.13,267.63,270.24,217.06,208.08
1948,230.44,306.53,210.92,164.16,421.00,358.63,371.17,117.84,146.77,191.37,118.94,334.04,116.94,417.98,117.36,426.24,216.25,397.92,239.68,285.82,287.08,246.40,221.44
1949,209.37,321.59,177.50,165.91,454.90,409.77,245.98,133.93,143.60,204.67,118.23,275.59,92.47,375.18,84.80,488.27,211.79,440.55,186.13,320.82,327.32,205.97,207.35
1950,229.73,338.62,234.57,174.73,430.72,373.04,228.47,179.05,170.56,240.84,123.54,278.40,112.35,435.31,122.15,430.17,226.05,403.02,215.45,291.94,295.04,279.28,259.58
1951,192.98,254.83,252.57,138.56,359.33,313.54,238.81,115.38,97.60,140.58,121.24,233.60,138.68,364.00,89.54,378.89,152.41,340.27,169.53,222.13,227.36,287.91,216.39
1952,232.40,291.11,287.41,159.98,408.12,379.21,285.22,150.35,164.90,222.88,127.12,291.51,144.34,391.99,125.63,436.05,208.64,415.86,204.61,295.75,304.77,349.65,258.63
1953,231.83,326.66,249.75,168.64,422.40,345.80,322.13,145.09,191.74,235.35,108.31,294.76,128.64,366.27,135.89,425.62,254.85,376.44,215.22,317.61,320.75,276.92,221.25
1954,227.84,269.95,300.01,164.42,318.48,275.14,321.85,169.39,146.97,228.61,145.79,315.15,152.27,344.84,111.82,314.68,185.00,302.78,249.56,254.06,260.47,334.38,273.29
1955,253.61,354.70,228.50,200.28,421.97,337.57,307.35,199.01,224.00,287.21,139.92,333.95,132.16,381.21,167.34,415.67,287.11,370.59,241.57,325.37,322.28,283.16,264.03
1956,220.57,291.53,256.98,163.43,344.61,276.67,326.43,176.61,159.84,222.32,119.97,297.06,122.59,351.15,110.66,335.81,211.93,307.44,258.54,252.19,245.53,251.44,226.50
