Variable:,tasmax
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1962,8.58,8.69,8.57,8.56,8.56,8.56,8.56,8.67,8.56,8.56,8.56,8.56
1963,8.56,8.67,8.55,8.54,8.54,8.54,8.54,8.64,8.54,8.54,8.54,8.54
1964,9.41,9.52,9.40,9.39,9.39,9.39,9.39,9.50,9.39,9.39,9.39,9.39
1965,8.21,8.32,8.20,8.19,8.19,8.19,8.19,8.30,8.19,8.19,8.19,8.19
1966,9.10,9.21,9.09,9.08,9.08,9.08,9.08,9.19,9.08,9.08,9.08,9.08
1967,9.50,9.61,9.49,9.48,9.48,9.48,9.48,9.59,9.48,9.48,9.48,9.48
1968,8.89,9.00,8.88,8.87,8.87,8.87,8.87,8.97,8.87,8.87,8.87,8.87
1969,8.82,8.92,8.81,8.80,8.80,8.80,8.80,8.90,8.80,8.80,8.80,8.80
1970,8.58,8.69,8.57,8.56,8.56,8.56,8.56,8.66,8.56,8.56,8.56,8.56
1971,9.31,9.42,9.30,9.29,9.29,9.29,9.29,9.39,9.29,9.29,9.29,9.29
1972,8.75,8.85,8.74,8.73,8.73,8.73,8.73,8.83,8.73,8.73,8.73,8.73
1973,8.70,8.80,8.69,8.68,8.68,8.68,8.68,8.78,8.68,8.68,8.68,8.68
1974,9.24,9.34,9.23,9.22,9.22,9.22,9.22,9.32,9.22,9.22,9.22,9.22
1975,9.29,9.39,9.28,9.27,9.27,9.27,9.27,9.36,9.27,9.27,9.27,9.27
1976,9.21,9.32,9.20,9.19,9.19,9.19,9.19,9.29,9.19,9.19,9.19,9.19
1977,9.20,9.30,9.19,9.18,9.18,9.18,9.18,9.28,9.18,9.18,9.18,9.18
1978,8.41,8.51,8.40,8.39,8.39,8.39,8.39,8.49,8.39,8.39,8.39,8.39
1979,8.79,8.89,8.78,8.77,8.77,8.77,8.77,8.87,8.77,8.77,8.77,8.77
1980,8.15,8.25,8.14,8.13,8.13,8.13,8.13,8.23,8.13,8.13,8.13,8.13
1981,8.92,9.03,8.91,8.90,8.90,8.90,8.90,9.00,8.90,8.90,8.90,8.90
1982,9.77,9.87,9.76,9.75,9.75,9.75,9.75,9.85,9.75,9.75,9.75,9.75
1983,10.01,10.11,10.00,9.99,9.99,9.99,9.99,10.09,9.99,9.99,9.99,9.99
