Variable:,tasmin
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
1901,5.87,5.27,8.38,5.71,4.96,6.76,6.95,2.09,6.45,6.06,8.22,1.45,6.03,6.67,7.15
1902,6.27,5.98,8.86,6.30,5.05,7.21,7.32,2.78,7.03,6.48,8.79,2.12,6.64,7.32,7.85
1903,4.97,4.35,7.43,4.77,4.10,5.75,6.00,1.21,5.52,5.03,7.34,0.59,5.15,5.80,6.36
1904,5.47,5.47,8.04,5.79,4.32,6.44,6.56,2.23,6.19,5.74,8.05,1.46,5.85,6.36,7.11
1905,5.24,4.85,7.82,5.25,4.25,6.13,6.40,1.67,5.87,5.40,7.53,0.94,5.41,6.10,6.53
1906,5.74,5.76,8.34,6.06,4.62,6.72,6.77,2.52,6.46,6.01,8.21,1.70,6.03,6.59,7.27
1907,5.09,5.10,7.57,5.40,4.00,5.95,6.24,1.86,5.68,5.25,7.50,1.01,5.30,6.02,6.53
1908,5.37,5.53,8.23,5.87,3.89,6.59,6.58,2.33,6.32,5.90,8.11,1.61,5.90,6.39,7.23
1909,6.31,6.31,8.85,6.58,5.15,7.17,7.43,3.06,6.95,6.51,8.81,2.28,6.60,7.31,7.89
1910,5.70,5.64,8.10,5.99,4.63,6.45,6.58,2.46,6.30,5.81,8.22,1.71,6.00,6.65,7.31
1911,4.98,5.44,7.51,5.75,3.68,5.94,6.14,2.20,5.70,5.33,7.67,1.32,5.41,5.92,6.78
1912,5.68,5.86,8.03,6.25,4.61,6.47,6.61,2.69,6.28,5.88,8.23,1.85,6.01,6.54,7.31
1913,6.32,5.68,8.92,6.16,5.11,7.27,7.26,2.60,7.13,6.49,8.92,2.11,6.78,7.37,7.88
1914,6.88,6.87,9.47,7.34,5.56,7.80,7.87,3.79,7.70,7.05,9.66,3.13,7.44,7.93,8.73
1915,7.37,7.36,9.86,7.73,6.00,8.24,8.25,4.24,8.23,7.56,10.17,3.60,7.98,8.52,9.25
1916,5.35,5.69,7.80,5.94,4.19,6.29,6.28,2.38,6.01,5.68,8.00,1.56,5.70,6.23,7.14
1917,6.41,6.81,8.81,7.11,5.16,7.34,7.21,3.57,7.22,6.76,9.22,2.76,6.97,7.35,8.35
1918,4.94,5.09,7.46,5.32,3.90,5.82,6.03,1.77,5.48,5.24,7.27,0.83,5.06,5.78,6.33
1919,5.12,4.64,7.38,4.91,4.60,5.50,6.31,1.39,5.17,4.88,6.93,0.52,4.75,5.86,6.06
1920,4.70,4.71,7.17,5.08,3.57,5.42,5.73,1.55,5.28,4.70,7.30,0.81,5.06,5.69,6.44
1921,5.55,5.34,8.02,5.69,4.55,6.22,6.61,2.16,6.06,5.47,7.87,1.40,5.67,6.51,7.00
1922,6.36,6.33,8.90,6.60,5.29,7.16,7.45,3.09,6.93,6.40,8.76,2.29,6.55,7.29,7.86
1923,5.37,5.33,7.60,5.55,4.59,5.86,6.30,2.05,5.70,5.19,7.69,1.23,5.44,6.22,6.78
1924,5.49,5.61,7.85,5.88,4.51,6.13,6.44,2.39,5.95,5.43,7.92,1.54,5.66,6.39,7.07
1925,6.17,5.84,8.55,6.15,5.40,6.64,7.17,2.65,6.39,5.89,8.24,1.84,6.02,7.07,7.38
1926,5.91,6.12,8.45,6.42,4.67,6.84,6.90,2.90,6.65,6.11,8.60,2.12,6.35,6.89,7.70
1927,5.68,6.02,8.23,6.27,4.36,6.72,6.55,2.78,6.54,6.04,8.54,2.02,6.31,6.60,7.65
1928,4.90,5.41,7.61,5.74,3.38,6.14,5.87,2.24,5.87,5.39,7.94,1.44,5.65,5.87,7.04
1929,4.50,4.67,7.09,5.06,3.20,5.59,5.36,1.47,5.41,4.96,7.33,0.82,5.12,5.39,6.50
1930,5.19,5.10,7.62,5.50,4.03,6.03,5.93,1.96,5.89,5.43,7.91,1.28,5.66,6.16,6.90
1931,5.02,5.35,7.71,5.82,3.50,6.23,5.73,2.25,6.08,5.68,8.15,1.56,5.89,5.98,7.16
1932,5.54,5.58,7.86,5.96,4.44,6.24,6.28,2.44,6.16,5.71,8.17,1.68,5.96,6.50,7.32
1933,5.50,5.63,8.11,6.06,4.16,6.57,6.38,2.50,6.41,5.94,8.34,1.79,6.13,6.45,7.38
1934,4.67,4.64,7.15,5.10,3.46,5.63,5.43,1.57,5.50,4.99,7.47,0.85,5.21,5.58,6.40
1935,5.27,4.86,7.79,5.35,4.22,6.10,6.23,1.80,5.96,5.34,7.84,1.22,5.63,6.15,6.84
1936,5.54,5.15,7.99,5.69,4.54,6.29,6.42,2.18,6.14,5.62,8.00,1.48,5.80,6.44,7.04
1937,5.06,4.69,7.25,5.13,4.33,5.58,5.96,1.64,5.37,4.94,7.32,0.86,5.06,5.87,6.43
