Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1930,8.08,8.83,11.99,3.03,15.54,4.08,10.63,15.08,12.18,16.74,2.13,7.68,8.64,4.94,14.71,3.25,5.36,9.38,4.01,9.39,2.77,12.67,14.14,1.38,10.88
1931,7.33,8.16,11.32,1.75,14.78,3.69,9.39,14.42,11.31,16.05,1.36,6.87,7.46,4.12,14.29,2.74,4.85,8.55,3.00,8.28,2.71,11.68,12.97,1.32,9.62
1932,8.30,9.29,12.53,2.98,15.80,4.66,10.74,15.48,12.58,16.98,2.17,7.83,8.75,5.06,15.17,3.35,5.56,9.45,4.12,9.48,2.98,12.97,14.18,0.93,10.77
1933,7.89,8.63,11.84,2.74,15.64,3.82,10.45,15.54,12.24,16.90,1.81,7.26,8.69,4.76,15.06,2.79,4.89,9.07,4.04,9.15,2.48,12.77,13.84,0.91,10.45
1934,7.55,8.29,11.36,2.39,15.36,3.61,9.74,15.00,11.72,16.70,1.82,6.87,7.97,4.13,14.84,2.65,4.75,9.05,3.40,8.47,2.47,12.14,13.52,1.02,10.24
1935,7.99,8.65,11.67,2.88,15.89,4.02,10.56,15.30,12.13,17.14,2.29,7.48,8.47,4.58,14.96,3.13,5.26,9.56,3.67,9.14,2.38,12.77,14.19,0.53,10.76
1936,7.73,8.54,11.75,2.51,15.87,3.46,10.23,15.21,12.00,17.16,2.11,7.12,7.97,4.27,15.02,2.85,4.91,9.48,3.05,8.72,2.10,12.48,14.12,0.75,10.66
1937,7.79,8.37,11.50,2.79,15.87,3.46,10.69,15.08,11.83,17.02,2.12,7.27,8.25,4.60,14.70,2.91,4.88,9.50,3.26,9.20,1.96,12.67,14.35,0.38,10.87
1938,7.58,8.52,11.68,2.38,15.12,3.37,10.37,14.67,11.79,16.48,1.93,7.23,8.03,4.31,14.48,2.56,4.70,9.12,3.20,8.97,2.14,12.26,13.50,0.72,10.29
1939,7.72,8.42,11.63,2.52,15.34,3.77,10.22,15.00,11.94,16.68,1.84,7.24,8.18,4.76,14.79,2.99,4.90,9.09,3.64,9.09,2.27,12.39,13.62,0.47,10.44
1940,7.72,8.97,12.23,1.99,15.32,3.80,10.24,14.99,12.20,16.70,1.95,7.30,7.47,4.28,14.87,2.97,5.03,9.14,2.78,8.80,2.47,12.49,13.45,1.02,10.04
1941,7.39,8.04,11.04,2.11,14.58,3.58,9.78,14.41,11.31,15.98,1.64,7.04,7.74,4.40,14.35,2.92,4.87,8.73,3.28,8.71,2.44,11.74,12.96,1.23,9.85
1942,7.28,7.73,10.62,1.84,14.32,4.06,9.22,14.06,10.89,15.74,1.14,7.10,7.49,4.32,13.85,3.21,5.19,8.32,3.11,8.37,2.85,11.25,12.64,1.52,9.56
1943,7.82,8.68,11.69,2.19,14.81,4.54,9.89,14.87,11.83,16.17,1.59,7.70,7.86,4.65,14.54,3.69,5.72,8.65,3.42,8.80,3.12,12.06,13.09,1.47,9.83
1944,8.27,8.69,11.58,3.12,15.84,4.20,10.80,15.75,12.27,17.13,2.26,7.93,8.83,5.49,15.38,3.81,5.73,9.42,4.45,9.77,2.76,12.90,14.12,1.44,10.76
1945,8.37,8.90,11.91,3.04,15.79,4.59,11.03,15.63,12.31,17.02,2.32,8.02,8.66,5.51,15.20,3.87,5.80,9.47,4.07,9.93,3.10,13.02,14.26,1.50,10.85
1946,7.81,8.43,11.55,2.56,15.37,3.63,10.35,15.00,11.81,16.78,2.43,7.28,8.38,5.03,14.83,3.10,4.92,9.53,3.99,9.34,2.31,12.33,13.73,1.01,10.44
