Variable:,tasmax
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1919,3.34,4.04,4.01,3.61,2.33,3.62,4.16,2.69,5.58,4.92,4.18,4.18,3.79,2.48,3.06,4.14,3.03,4.29,3.42,3.15,2.38,3.58,3.72,3.53,4.45
1920,4.18,4.82,4.70,4.40,3.27,4.38,4.89,3.51,6.28,5.68,4.91,4.91,4.45,3.42,3.96,4.96,3.84,4.97,4.15,4.11,3.27,4.21,4.48,4.17,5.34
1921,3.90,4.56,4.49,4.15,2.94,4.13,4.62,3.26,6.05,5.42,4.66,4.66,4.27,3.10,3.68,4.69,3.59,4.75,3.91,3.78,2.98,4.02,4.21,3.97,5.04
1922,4.40,5.05,5.10,4.66,3.36,4.64,5.17,3.77,6.57,5.93,5.19,5.19,4.90,3.57,4.19,5.13,4.10,5.31,4.52,4.23,3.45,4.67,4.75,4.63,5.43
1923,4.18,4.85,4.90,4.43,3.14,4.45,4.98,3.56,6.41,5.75,5.00,5.00,4.68,3.33,3.95,4.95,3.87,5.13,4.30,4.01,3.23,4.47,4.54,4.42,5.24
1924,4.18,4.86,4.74,4.43,3.22,4.42,4.90,3.57,6.37,5.73,4.95,4.95,4.50,3.37,4.01,5.00,3.89,5.03,4.17,4.09,3.24,4.26,4.48,4.20,5.33
1925,4.45,5.09,5.18,4.75,3.37,4.70,5.28,3.90,6.64,6.00,5.27,5.27,4.98,3.59,4.33,5.18,4.21,5.40,4.60,4.25,3.49,4.76,4.83,4.72,5.46
1926,4.98,5.63,5.72,5.23,3.94,5.26,5.85,4.34,7.26,6.59,5.86,5.86,5.52,4.12,4.76,5.73,4.66,6.01,5.14,4.78,4.01,5.32,5.33,5.27,6.04
1927,4.79,5.45,5.58,5.06,3.71,5.10,5.72,4.17,7.15,6.46,5.70,5.70,5.37,3.86,4.54,5.53,4.50,5.88,4.99,4.52,3.79,5.17,5.18,5.13,5.84
1928,5.50,6.15,6.38,5.78,4.37,5.82,6.46,4.90,7.84,7.17,6.43,6.43,6.18,4.56,5.29,6.21,5.23,6.62,5.78,5.17,4.49,5.98,5.91,5.92,6.48
1929,5.41,6.07,6.24,5.69,4.30,5.73,6.35,4.81,7.75,7.08,6.34,6.34,6.04,4.49,5.21,6.15,5.14,6.52,5.64,5.12,4.41,5.84,5.81,5.78,6.43
1930,4.81,5.44,5.54,5.09,3.74,5.05,5.63,4.26,7.00,6.36,5.61,5.61,5.35,3.95,4.71,5.53,4.56,5.77,4.95,4.61,3.85,5.12,5.18,5.08,5.84
1931,4.65,5.30,5.36,4.93,3.59,4.89,5.43,4.04,6.83,6.19,5.44,5.44,5.16,3.81,4.47,5.38,4.37,5.57,4.78,4.45,3.70,4.93,5.01,4.88,5.68
1932,5.34,6.01,6.18,5.61,4.22,5.67,6.27,4.69,7.67,6.99,6.27,6.27,5.97,4.42,5.09,6.08,5.05,6.44,5.57,5.05,4.33,5.78,5.74,5.73,6.35
1933,6.04,6.66,6.80,6.36,4.93,6.29,6.89,5.48,8.16,7.57,6.86,6.86,6.61,5.18,5.89,6.73,5.81,6.98,6.22,5.78,5.10,6.36,6.45,6.32,7.00
1934,5.31,5.95,6.04,5.61,4.24,5.56,6.16,4.73,7.48,6.85,6.14,6.14,5.84,4.45,5.16,6.03,5.06,6.26,5.46,5.09,4.36,5.59,5.70,5.56,6.34
1935,4.95,5.60,5.69,5.25,3.88,5.23,5.80,4.34,7.14,6.51,5.80,5.80,5.49,4.08,4.78,5.68,4.68,5.93,5.10,4.71,3.99,5.25,5.35,5.20,5.98
1936,5.15,5.83,5.81,5.42,4.14,5.42,5.95,4.50,7.37,6.72,5.98,5.98,5.57,4.30,4.89,5.94,4.86,6.09,5.23,4.97,4.19,5.35,5.51,5.30,6.25
1937,5.11,5.80,5.76,5.40,4.10,5.39,5.91,4.49,7.29,6.67,5.94,5.94,5.53,4.24,4.88,5.87,4.84,6.03,5.19,4.92,4.16,5.29,5.50,5.23,6.20
1938,5.35,6.03,6.01,5.66,4.32,5.62,6.16,4.77,7.52,6.94,6.18,6.18,5.78,4.46,5.22,6.09,5.13,6.28,5.44,5.14,4.40,5.54,5.73,5.49,6.42
1939,6.05,6.78,6.71,6.36,4.99,6.38,6.89,5.43,8.29,7.67,6.95,6.95,6.46,5.12,5.80,6.82,5.80,7.02,6.14,5.78,5.09,6.22,6.46,6.17,7.13
1940,5.04,5.76,5.67,5.32,4.03,5.34,5.82,4.40,7.25,6.63,5.87,5.87,5.43,4.18,4.78,5.85,4.74,5.95,5.09,4.84,4.09,5.21,5.40,5.16,6.16
1941,5.47,6.18,6.18,5.75,4.44,5.78,6.31,4.81,7.72,7.09,6.33,6.33,5.95,4.57,5.15,6.26,5.18,6.46,5.58,5.25,4.48,5.75,5.87,5.69,6.57
1942,5.28,5.99,5.91,5.55,4.29,5.58,6.08,4.63,7.49,6.87,6.12,6.12,5.66,4.43,4.97,6.10,4.98,6.21,5.33,5.11,4.32,5.43,5.66,5.38,6.42
1943,4.17,4.88,4.81,4.41,3.20,4.44,4.96,3.48,6.41,5.76,4.99,4.99,4.59,3.31,3.85,5.00,3.83,5.12,4.22,3.99,3.20,4.39,4.52,4.34,5.31
1944,4.43,5.14,5.07,4.69,3.41,4.74,5.24,3.76,6.68,6.04,5.29,5.29,4.84,3.55,4.12,5.24,4.12,5.40,4.49,4.23,3.45,4.63,4.80,4.58,5.55
1945,6.00,6.70,6.58,6.25,5.04,6.27,6.76,5.32,8.18,7.57,6.80,6.80,6.31,5.18,5.72,6.82,5.67,6.86,5.99,5.86,5.06,6.07,6.34,6.01,7.14
1946,6.08,6.81,6.69,6.35,5.09,6.39,6.86,5.42,8.29,7.68,6.92,6.92,6.43,5.23,5.81,6.90,5.78,7.00,6.11,5.89,5.13,6.20,6.46,6.14,7.20
1947,4.97,5.66,5.75,5.31,3.85,5.29,5.84,4.43,7.19,6.57,5.84,5.84,5.55,4.01,4.85,5.64,4.74,5.95,5.16,4.66,4.02,5.31,5.41,5.27,5.96
1948,4.87,5.57,5.54,5.16,3.83,5.16,5.68,4.24,7.09,6.44,5.71,5.71,5.33,3.99,4.64,5.64,4.58,5.80,4.96,4.66,3.92,5.12,5.26,5.07,5.96
1949,4.10,4.75,4.62,4.32,3.18,4.29,4.76,3.44,6.26,5.61,4.82,4.82,4.40,3.34,3.89,4.87,3.76,4.89,4.07,4.03,3.19,4.14,4.40,4.10,5.25
1950,4.63,5.39,5.24,4.88,3.67,4.94,5.38,3.93,6.95,6.28,5.46,5.46,5.02,3.74,4.28,5.49,4.28,5.57,4.65,4.42,3.60,4.78,4.98,4.74,5.89
1951,4.30,4.98,4.86,4.47,3.42,4.51,4.98,3.60,6.51,5.87,5.03,5.03,4.63,3.52,4.06,5.12,3.93,5.12,4.25,4.21,3.37,4.38,4.55,4.34,5.54
1952,4.37,5.04,4.95,4.55,3.49,4.58,5.08,3.66,6.58,5.96,5.11,5.11,4.72,3.56,4.10,5.19,3.99,5.25,4.34,4.26,3.41,4.50,4.64,4.44,5.62
1953,5.50,6.08,5.93,5.69,4.65,5.58,6.06,4.91,7.52,6.92,6.10,6.10,5.70,4.84,5.41,6.23,5.18,6.23,5.38,5.52,4.68,5.45,5.73,5.40,6.65
1954,4.82,5.52,5.32,5.00,3.94,5.03,5.51,4.14,7.03,6.42,5.54,5.54,5.06,4.03,4.58,5.67,4.46,5.71,4.66,4.72,3.89,4.90,5.05,4.84,6.05
1955,4.59,5.08,5.30,4.87,3.55,4.71,5.33,4.14,6.54,5.96,5.28,5.28,5.10,3.83,4.52,5.18,4.44,5.44,4.66,4.49,3.72,4.85,4.91,4.81,5.49
1956,5.28,5.92,5.85,5.50,4.39,5.53,6.03,4.59,7.40,6.82,6.10,6.10,5.60,4.55,5.03,6.02,4.94,6.20,5.24,5.24,4.35,5.41,5.60,5.36,6.37
1957,5.00,5.63,5.80,5.36,3.90,5.26,5.91,4.45,7.13,6.52,5.86,5.86,5.57,4.13,4.75,5.70,4.81,6.00,5.19,4.78,4.02,5.33,5.47,5.28,5.97
1958,4.73,5.61,5.36,4.92,3.77,5.18,5.59,3.91,7.21,6.59,5.74,5.74,5.10,3.80,4.29,5.65,4.30,5.87,4.74,4.51,3.62,4.95,5.06,4.89,5.98
1959,5.23,5.63,5.76,5.43,4.38,5.19,5.84,4.73,7.02,6.47,5.74,5.74,5.53,4.70,5.27,5.77,4.99,5.86,5.19,5.36,4.48,5.27,5.46,5.23,6.15
1960,5.56,6.27,6.26,5.83,4.57,5.84,6.38,4.88,7.77,7.17,6.40,6.40,6.02,4.69,5.26,6.35,5.25,6.54,5.64,5.35,4.55,5.80,5.92,5.75,6.68
1961,5.00,5.53,5.74,5.16,4.26,5.11,5.75,4.25,7.03,6.44,5.71,5.71,5.53,4.30,4.72,5.72,4.57,5.89,5.08,5.14,3.96,5.32,5.25,5.29,6.16
1962,4.54,5.19,5.24,4.79,3.63,4.81,5.35,3.83,6.73,6.13,5.40,5.40,5.02,3.73,4.29,5.26,4.17,5.52,4.67,4.50,3.51,4.72,4.87,4.69,5.62
1963,4.47,5.31,5.00,4.46,3.72,4.76,5.13,3.51,6.90,6.25,5.28,5.28,4.81,3.68,4.04,5.54,3.80,5.44,4.32,4.42,3.37,4.68,4.61,4.62,5.92
1964,5.47,6.22,6.21,5.74,4.47,5.82,6.37,4.74,7.75,7.21,6.39,6.39,5.98,4.59,5.10,6.21,5.11,6.56,5.59,5.36,4.45,5.79,5.87,5.74,6.54
1965,4.38,5.48,5.11,4.52,3.32,4.96,5.32,3.50,7.02,6.48,5.47,5.47,4.89,3.13,3.69,5.58,3.87,5.70,4.38,3.80,3.28,4.96,4.73,4.88,5.83
1966,3.68,4.50,4.46,3.78,2.92,4.00,4.55,2.70,6.27,5.54,4.59,4.59,4.27,2.75,3.06,4.72,3.09,4.89,3.82,3.60,2.44,4.13,3.93,4.08,5.11
1967,3.86,4.75,4.51,3.93,3.11,4.25,4.68,2.89,6.45,5.77,4.79,4.79,4.26,2.87,3.25,4.94,3.29,4.99,3.85,3.69,2.72,4.11,4.08,4.05,5.33
1968,3.95,4.95,4.69,4.21,2.87,4.49,4.93,3.06,6.59,5.91,5.04,5.04,4.44,2.81,3.30,5.06,3.49,5.20,4.03,3.44,2.79,4.36,4.34,4.30,5.34
1969,3.58,4.33,4.19,3.63,2.64,3.85,4.34,2.80,6.03,5.30,4.41,4.41,3.96,2.74,3.28,4.52,3.08,4.65,3.52,3.41,2.60,3.92,3.77,3.84,4.86
1970,3.85,4.58,4.53,3.99,3.00,4.13,4.66,3.00,6.18,5.50,4.69,4.69,4.32,2.98,3.39,4.77,3.37,4.88,3.90,3.73,2.78,4.17,4.13,4.11,5.16
1971,4.30,5.20,4.61,4.33,3.57,4.64,4.95,3.31,6.80,6.08,5.12,5.12,4.30,3.59,3.85,5.43,3.70,5.18,4.00,4.34,3.24,4.16,4.45,4.08,5.77
1972,5.25,5.73,5.78,5.41,4.48,5.32,5.92,4.62,7.23,6.56,5.91,5.91,5.55,4.68,5.16,5.86,4.91,5.99,5.21,5.47,4.40,5.30,5.44,5.25,6.24
1973,4.04,4.73,4.53,4.20,3.19,4.31,4.77,3.26,6.34,5.63,4.82,4.82,4.24,3.35,3.77,4.89,3.61,4.88,3.98,4.06,3.05,3.98,4.33,3.92,5.23
1974,5.05,5.76,5.75,5.39,3.99,5.37,5.93,4.42,7.20,6.58,5.94,5.94,5.50,4.18,4.82,5.79,4.78,6.01,5.18,4.90,4.06,5.30,5.50,5.25,6.08
1975,4.39,5.09,4.79,4.59,3.51,4.62,5.02,3.64,6.50,5.90,5.13,5.13,4.53,3.75,4.14,5.24,4.02,5.14,4.25,4.44,3.45,4.29,4.64,4.23,5.58
1976,5.08,5.47,5.69,5.39,3.87,5.08,5.74,4.86,6.81,6.22,5.66,5.66,5.50,4.46,5.32,5.48,5.03,5.75,5.11,4.99,4.51,5.21,5.41,5.18,5.72
1977,4.36,5.20,5.00,4.63,3.51,4.72,5.17,3.51,6.64,6.02,5.24,5.24,4.76,3.43,3.86,5.37,3.93,5.27,4.41,4.15,3.26,4.56,4.73,4.50,5.71
1978,4.53,5.22,5.34,4.91,3.48,4.81,5.45,3.97,6.66,6.01,5.40,5.40,5.11,3.52,4.17,5.32,4.33,5.51,4.74,4.20,3.55,4.89,4.99,4.84,5.62
1979,2.74,3.64,3.61,2.96,1.89,3.20,3.69,1.77,5.26,4.58,3.75,3.75,3.41,1.64,1.95,3.84,2.24,3.92,2.96,2.45,1.44,3.25,3.18,3.19,4.20
1980,4.56,5.25,5.28,4.92,3.41,4.83,5.36,4.05,6.69,6.06,5.38,5.38,5.05,3.61,4.39,5.35,4.39,5.44,4.69,4.22,3.67,4.71,4.99,4.66,5.63
1981,3.43,4.22,3.86,3.61,2.54,3.74,4.09,2.67,5.79,5.13,4.24,4.24,3.62,2.64,3.17,4.35,3.03,4.31,3.27,3.31,2.47,3.41,3.71,3.35,4.68
1982,4.10,4.80,4.58,4.27,3.16,4.37,4.82,3.38,6.27,5.70,4.91,4.91,4.30,3.37,3.96,4.88,3.71,5.03,3.98,4.02,3.20,4.19,4.42,4.12,5.20
1983,3.59,4.13,4.05,3.81,2.73,3.69,4.20,3.00,5.65,4.94,4.26,4.26,3.82,2.97,3.48,4.29,3.34,4.32,3.50,3.68,2.72,3.52,3.83,3.47,4.67
1984,4.86,4.92,5.25,5.00,3.95,4.50,5.16,4.58,6.15,5.59,5.08,5.08,5.10,4.76,5.41,5.09,4.74,5.12,4.67,5.25,4.39,4.68,4.91,4.67,5.46
1985,4.14,5.00,5.12,4.48,3.02,4.59,5.15,3.32,6.58,5.94,5.17,5.17,4.93,3.02,3.64,5.09,3.78,5.31,4.46,3.68,2.94,4.72,4.67,4.68,5.39
1986,4.32,4.88,4.90,4.56,3.49,4.46,5.02,3.63,6.43,5.73,5.02,5.02,4.67,3.66,4.14,5.04,4.00,5.09,4.34,4.36,3.36,4.34,4.66,4.30,5.42
1987,5.25,5.90,5.93,5.57,4.08,5.55,6.07,4.72,7.30,6.77,6.10,6.10,5.70,4.39,5.21,5.92,5.02,6.17,5.33,4.92,4.42,5.48,5.68,5.42,6.19
1988,4.04,4.85,4.50,4.24,3.09,4.37,4.74,3.36,6.36,5.70,4.91,4.91,4.25,3.12,3.73,5.01,3.69,4.97,3.89,3.74,3.12,4.13,4.35,4.06,5.31
1989,4.14,4.51,4.55,4.33,3.48,4.09,4.70,3.53,6.00,5.34,4.68,4.68,4.31,3.75,4.07,4.69,3.83,4.80,4.00,4.52,3.31,4.07,4.33,4.02,5.10
1990,4.44,4.94,5.10,4.71,3.48,4.56,5.24,3.90,6.45,5.80,5.19,5.19,4.85,3.74,4.35,5.05,4.21,5.30,4.52,4.43,3.59,4.59,4.81,4.54,5.41
1991,5.38,5.84,5.83,5.65,4.46,5.44,6.05,4.89,7.20,6.63,6.01,6.01,5.56,4.79,5.41,5.94,5.17,6.05,5.34,5.39,4.65,5.27,5.70,5.23,6.29
1992,4.62,5.01,5.12,4.83,3.65,4.61,5.25,4.20,6.53,5.88,5.19,5.19,4.87,4.08,4.76,5.12,4.40,5.32,4.56,4.73,3.92,4.59,4.88,4.53,5.46
1993,4.53,5.25,5.09,4.79,3.47,4.85,5.35,3.98,6.82,6.18,5.41,5.41,4.82,3.63,4.31,5.29,4.29,5.53,4.49,4.29,3.68,4.67,4.91,4.60,5.59
1994,4.34,4.92,4.71,4.54,3.52,4.48,4.99,3.68,6.48,5.77,5.04,5.04,4.47,3.75,4.17,5.07,4.02,5.12,4.21,4.49,3.47,4.22,4.61,4.17,5.43
1995,3.83,4.44,4.22,4.00,3.08,3.98,4.47,3.16,6.05,5.33,4.52,4.52,4.00,3.15,3.56,4.61,3.49,4.65,3.69,3.93,2.92,3.77,4.08,3.72,4.99
1996,5.11,5.70,5.80,5.47,4.00,5.33,5.96,4.67,7.19,6.58,5.91,5.91,5.57,4.20,4.98,5.77,4.97,6.06,5.26,4.80,4.27,5.33,5.58,5.28,6.09
1997,4.99,5.72,5.50,5.29,4.00,5.28,5.73,4.34,7.27,6.62,5.81,5.81,5.26,4.16,4.76,5.77,4.71,5.93,4.94,4.84,4.10,5.03,5.34,4.98,6.10
1998,4.48,5.49,5.11,4.77,3.51,5.01,5.36,3.55,7.07,6.39,5.54,5.54,4.86,3.34,3.81,5.60,4.07,5.64,4.55,4.08,3.31,4.67,4.92,4.60,5.91
1999,4.62,5.17,5.20,4.91,3.57,4.78,5.35,4.14,6.64,6.02,5.32,5.32,4.98,3.92,4.57,5.21,4.42,5.43,4.64,4.54,3.81,4.73,4.97,4.69,5.50
2000,5.04,5.50,5.75,5.44,3.87,5.15,5.84,4.70,6.91,6.33,5.70,5.70,5.53,4.27,5.07,5.53,4.97,5.81,5.19,4.84,4.35,5.22,5.47,5.20,5.81
2001,5.28,6.09,6.00,5.64,4.18,5.67,6.14,4.60,7.60,6.99,6.21,6.21,5.78,4.28,4.86,6.15,5.02,6.31,5.42,4.95,4.27,5.53,5.77,5.48,6.44
2002,5.46,6.15,6.00,5.71,4.47,5.67,6.15,4.84,7.63,6.99,6.21,6.21,5.77,4.62,5.20,6.28,5.14,6.29,5.41,5.29,4.59,5.54,5.76,5.49,6.60
2003,6.26,6.89,7.03,6.73,4.94,6.57,7.15,5.89,8.40,7.79,7.12,7.12,6.80,5.37,6.12,6.83,6.19,7.21,6.44,5.99,5.44,6.55,6.77,6.52,7.01
2004,6.01,6.63,6.65,6.38,4.89,6.25,6.78,5.56,8.12,7.51,6.79,6.79,6.42,5.17,5.80,6.70,5.85,6.85,6.08,5.82,5.15,6.15,6.42,6.12,6.96
2005,5.13,5.81,5.83,5.41,4.16,5.45,6.00,4.44,7.33,6.71,6.01,6.01,5.60,4.26,4.80,5.91,4.80,6.09,5.26,4.96,4.16,5.39,5.56,5.34,6.25
2006,5.69,6.32,6.17,5.91,4.80,5.91,6.37,4.99,7.83,7.18,6.44,6.44,5.94,4.96,5.49,6.48,5.35,6.50,5.62,5.64,4.82,5.71,5.98,5.66,6.85
2007,5.61,6.26,6.30,5.92,4.54,5.94,6.47,4.97,7.84,7.21,6.52,6.52,6.06,4.79,5.33,6.34,5.33,6.63,5.71,5.47,4.67,5.84,6.04,5.79,6.63
2008,5.34,6.00,6.15,5.70,4.18,5.72,6.31,4.70,7.58,7.00,6.31,6.31,5.92,4.43,5.07,6.00,5.07,6.43,5.55,5.11,4.36,5.73,5.86,5.68,6.29
2009,5.40,6.19,5.98,5.56,4.40,5.77,6.25,4.58,7.79,7.11,6.34,6.34,5.74,4.52,5.05,6.32,4.94,6.42,5.41,5.20,4.37,5.63,5.76,5.57,6.65
2010,5.69,6.47,6.57,6.06,4.53,6.23,6.78,4.98,8.08,7.50,6.85,6.85,6.31,4.63,5.18,6.51,5.41,6.96,5.97,5.31,4.60,6.17,6.28,6.12,6.76
2011,5.32,6.05,5.99,5.57,4.29,5.73,6.21,4.59,7.64,7.03,6.31,6.31,5.75,4.43,4.96,6.13,4.98,6.39,5.39,5.08,4.31,5.58,5.73,5.52,6.45
2012,5.53,6.26,6.33,5.91,4.42,5.93,6.49,4.91,7.80,7.20,6.51,6.51,6.10,4.52,5.16,6.33,5.31,6.62,5.74,5.20,4.49,5.88,6.07,5.84,6.64
2013,5.06,5.73,5.69,5.30,4.04,5.35,5.86,4.45,7.21,6.64,5.91,5.91,5.44,4.22,4.84,5.81,4.74,5.99,5.09,4.89,4.12,5.24,5.43,5.19,6.15
2014,6.00,6.67,6.63,6.27,5.02,6.27,6.78,5.38,8.13,7.54,6.81,6.81,6.39,5.17,5.74,6.78,5.71,6.89,6.05,5.84,5.08,6.16,6.37,6.11,7.10
2015,4.85,5.51,5.41,5.07,3.88,5.07,5.56,4.23,6.97,6.35,5.61,5.61,5.18,4.07,4.63,5.62,4.53,5.69,4.83,4.75,3.95,4.95,5.16,4.90,5.96
2016,6.08,6.75,6.72,6.36,5.04,6.35,6.87,5.48,8.22,7.63,6.91,6.91,6.50,5.23,5.85,6.83,5.80,7.00,6.15,5.89,5.14,6.27,6.45,6.23,7.13
2017,5.92,6.57,6.62,6.20,4.88,6.16,6.72,5.32,8.03,7.44,6.71,6.71,6.39,5.09,5.70,6.67,5.64,6.82,6.03,5.74,5.00,6.15,6.30,6.11,6.96
2018,5.69,6.28,6.42,5.98,4.61,5.87,6.44,5.14,7.75,7.11,6.42,6.42,6.25,4.89,5.53,6.36,5.44,6.55,5.83,5.54,4.80,5.98,6.02,5.94,6.63
2019,5.85,6.55,6.59,6.16,4.77,6.15,6.70,5.23,8.07,7.43,6.71,6.71,6.38,4.94,5.55,6.61,5.59,6.85,5.99,5.57,4.89,6.16,6.26,6.12,6.89
2020,5.50,6.17,6.22,5.80,4.44,5.78,6.33,4.88,7.67,7.04,6.32,6.32,6.02,4.64,5.26,6.25,5.23,6.44,5.64,5.28,4.57,5.79,5.91,5.75,6.54
