Variable:,pr
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
1901,448.29,434.00,440.09,441.99,484.82,459.65,479.83
1902,774.75,736.51,760.91,805.86,814.77,813.07,794.51
1903,598.26,567.47,587.15,626.32,622.00,631.92,607.32
1904,871.71,827.31,864.36,886.49,936.09,917.82,912.38
1905,815.18,778.48,820.71,810.32,871.12,864.80,855.66
1906,860.55,837.86,848.31,898.44,849.57,907.23,827.69
1907,830.73,790.33,814.17,866.10,864.27,875.24,846.14
1908,847.24,805.42,845.32,867.96,895.30,898.12,870.84
1909,741.84,712.22,716.71,800.04,731.00,783.69,707.40
1910,716.90,688.61,697.94,766.70,708.22,758.10,691.89
1911,1146.26,1100.48,1130.35,1168.23,1197.67,1199.77,1177.66
1912,776.26,744.95,762.95,808.88,793.84,818.85,773.97
1913,849.02,810.24,825.66,897.22,865.95,894.60,842.23
1914,769.80,739.68,755.63,802.32,793.55,806.96,769.73
1915,448.04,433.50,433.56,471.86,451.05,464.60,444.30
1916,781.45,751.49,762.08,824.34,791.52,819.75,770.39
1917,681.32,642.83,663.48,717.72,720.32,715.25,699.45
1918,935.08,892.26,913.06,979.93,967.60,981.41,941.16
1919,768.49,733.96,777.63,767.42,815.21,817.36,802.02
1920,734.13,694.26,722.36,740.50,802.52,766.62,789.28
1921,768.70,733.03,745.76,813.43,790.53,803.94,768.96
1922,685.13,645.66,679.42,704.28,736.24,724.46,718.92
1923,652.41,627.29,637.46,694.58,652.00,688.42,631.21
1924,825.97,780.79,802.45,881.10,851.19,873.54,826.04
1925,477.64,462.80,458.21,501.86,486.60,491.57,472.80
1926,757.94,722.58,750.14,797.64,772.19,805.12,753.07
1927,660.02,637.79,655.28,660.65,690.55,693.51,680.70
1928,657.51,616.93,654.53,689.43,692.48,702.83,672.03
1929,741.50,710.05,722.65,768.54,765.86,782.71,747.19
1930,561.86,532.48,541.76,588.73,587.99,593.00,573.05
1931,691.70,653.75,675.00,708.08,751.63,716.43,743.40
1932,442.67,427.64,437.30,466.91,436.68,470.47,422.80
1933,400.82,393.32,385.69,430.76,382.57,419.39,369.59
1934,667.30,634.70,710.18,640.67,729.69,723.95,704.95
1935,819.42,788.66,791.90,896.44,792.93,872.37,764.61
1936,698.80,650.83,689.12,697.35,795.72,729.96,784.74
1937,576.40,550.04,566.24,600.35,594.17,615.25,575.62
1938,891.01,833.32,870.25,860.19,1035.23,916.35,1041.92
1939,724.63,700.73,715.38,730.33,752.05,762.93,739.74
1940,863.63,822.22,855.15,897.12,897.54,919.70,869.23
1941,645.05,601.90,673.06,614.80,742.29,687.16,731.70
1942,778.88,746.26,766.61,807.82,796.63,823.15,777.15
1943,739.01,715.47,742.94,725.90,778.33,778.74,773.19
1944,1069.67,1013.77,1103.52,1015.89,1198.46,1145.32,1169.72
1945,704.18,678.04,708.29,694.29,756.83,736.72,741.30
1946,520.20,497.79,492.46,568.59,513.48,542.80,504.93
1947,563.35,539.82,501.93,646.36,538.89,575.53,524.43
1948,823.27,797.90,798.18,860.87,833.52,856.23,815.08
1949,843.58,794.94,925.19,763.96,957.99,924.37,944.87
1950,662.77,646.77,648.98,717.22,627.02,701.63,603.39
1951,686.37,651.08,671.94,716.25,731.89,716.42,708.63
1952,632.41,613.03,617.21,678.13,605.12,674.83,588.55
1953,969.90,936.53,962.66,980.38,1001.57,1023.54,983.85
1954,808.44,789.00,800.30,822.91,815.84,850.68,797.73
1955,532.26,501.81,547.28,523.08,597.36,559.60,581.23
1956,562.68,547.44,527.66,611.85,542.96,581.77,530.24
1957,613.75,576.76,633.70,599.54,691.94,648.04,679.08
1958,389.13,370.35,392.40,414.88,389.75,416.31,373.32
1959,490.41,472.62,483.13,505.29,500.49,516.09,492.27
1960,404.10,380.53,423.23,405.18,439.40,434.06,425.58
1961,688.44,651.28,716.42,676.48,757.96,738.00,732.56
1962,528.97,503.69,518.45,572.99,534.75,559.90,512.40
1963,744.49,729.34,720.36,823.47,686.90,786.68,651.10
1964,716.34,677.72,725.77,707.24,793.20,753.37,778.02
1965,737.44,710.36,713.76,785.63,732.43,779.46,709.97
1966,620.19,581.33,619.98,633.65,672.89,659.57,657.77
1967,930.92,904.25,884.63,1007.91,894.43,977.47,869.33
1968,847.96,812.74,843.19,909.10,835.70,910.74,793.86
1969,928.98,901.10,922.50,956.23,925.65,994.85,899.32
1970,657.24,625.36,650.21,671.88,692.45,697.27,678.54
1971,815.07,785.10,799.97,840.51,844.74,849.50,828.16
1972,470.79,453.81,445.77,484.58,499.73,475.86,498.84
1973,492.84,470.75,477.67,513.87,515.01,510.92,505.22
1974,711.93,663.83,708.59,703.22,809.27,742.85,804.31
1975,631.98,602.34,619.37,660.99,654.86,663.04,637.41
1976,696.46,672.34,702.98,741.86,679.66,748.16,651.92
1977,764.89,729.85,770.26,788.99,799.16,813.75,768.89
1978,670.67,646.43,668.84,734.92,630.16,726.17,599.81
1979,669.69,631.29,642.34,699.40,722.75,695.18,702.45
1980,787.52,758.95,782.84,804.42,804.46,838.93,784.65
1981,742.61,721.17,728.66,796.22,710.78,791.65,685.49
1982,618.61,590.56,609.28,621.87,663.65,647.30,654.56
1983,675.78,646.30,652.04,693.70,719.00,694.00,715.20
1984,652.95,625.57,646.52,669.04,684.74,682.51,677.29
1985,507.58,470.42,508.55,530.07,555.07,539.02,543.26
1986,659.40,602.24,656.90,650.53,793.30,683.57,781.76
1987,731.58,701.44,730.56,775.55,724.38,785.19,697.48
1988,847.80,811.85,790.87,900.67,868.56,871.17,870.68
1989,370.10,339.01,367.05,371.19,433.89,385.19,427.74
1990,415.89,391.47,409.63,402.51,478.64,430.14,478.44
1991,863.08,799.50,849.50,860.65,998.90,893.84,988.13
1992,839.57,788.16,843.81,800.25,981.27,874.82,965.78
1993,475.07,465.45,470.12,473.44,506.87,483.40,499.91
1994,900.06,848.46,882.31,916.85,988.33,944.64,962.27
1995,442.30,428.67,438.70,460.18,450.43,466.98,427.32
1996,638.36,611.74,618.39,688.11,635.34,675.31,615.05
1997,618.45,581.63,622.82,606.66,703.06,641.29,696.46
1998,569.70,548.62,575.35,607.51,551.92,614.17,531.95
1999,351.82,330.43,349.89,371.34,361.60,377.53,352.96
2000,646.73,599.95,643.77,666.92,718.26,684.82,699.48
2001,645.48,616.08,635.52,672.60,672.67,673.91,658.68
2002,725.14,693.26,712.59,733.59,773.23,759.75,757.79
2003,910.28,873.38,916.59,920.87,955.85,965.82,942.87
2004,647.63,620.14,622.87,701.19,653.34,681.35,623.11
2005,595.67,571.69,577.51,613.98,628.52,619.11,617.06
2006,574.81,551.33,555.86,603.57,585.44,601.39,573.37
2007,544.21,525.08,541.49,571.64,549.75,575.41,531.43
2008,411.32,389.97,404.63,427.44,432.04,432.39,424.66
2009,627.82,592.55,606.06,698.15,638.21,663.07,596.58
2010,475.96,443.76,450.76,500.62,517.91,487.13,515.41
2011,716.53,683.42,690.89,767.26,731.53,749.25,704.62
2012,800.10,750.60,801.14,862.95,835.94,856.43,788.11
2013,643.51,630.76,609.72,652.50,658.69,660.03,660.65
2014,534.31,510.53,517.44,561.93,553.01,555.26,540.73
2015,653.07,611.83,639.44,685.54,700.82,690.31,676.70
2016,626.02,603.81,612.72,663.20,623.42,658.93,607.99
2017,360.59,349.15,338.13,427.51,317.11,379.70,297.39
2018,735.44,696.68,720.84,777.06,770.66,773.39,742.90
2019,796.09,758.90,786.16,854.10,798.07,849.60,766.01
2020,783.54,739.43,788.71,773.82,869.06,827.39,851.97
