Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
1901,14.82,12.82,15.77,15.48,17.73,15.84,17.29
1902,14.35,12.34,15.30,15.00,17.25,15.37,16.80
1903,13.27,11.25,14.20,13.97,16.15,14.28,15.70
1904,13.87,11.85,14.83,14.52,16.81,14.90,16.35
1905,14.08,12.05,15.06,14.72,17.04,15.12,16.59
1906,14.29,12.27,15.27,14.92,17.27,15.32,16.82
1907,13.69,11.67,14.64,14.33,16.63,14.71,16.18
1908,13.80,11.78,14.77,14.43,16.77,14.83,16.33
1909,14.99,12.97,15.97,15.62,17.96,16.02,17.52
1910,14.00,12.00,14.93,14.69,16.89,15.01,16.44
1911,13.73,11.69,14.72,14.32,16.74,14.77,16.29
1912,14.18,12.18,15.12,14.85,17.06,15.20,16.61
1913,14.10,12.07,15.10,14.70,17.10,15.14,16.66
1914,14.55,12.52,15.53,15.16,17.52,15.58,17.08
1915,15.18,13.15,16.17,15.76,18.18,16.21,17.74
1916,15.48,13.46,16.47,16.09,18.45,16.52,18.01
1917,14.98,12.98,15.94,15.62,17.90,16.01,17.45
1918,14.88,12.87,15.85,15.50,17.81,15.90,17.37
1919,15.15,13.13,16.11,15.78,18.10,16.18,17.66
1920,14.49,12.45,15.48,15.05,17.52,15.52,17.08
1921,14.10,12.07,15.07,14.71,17.08,15.12,16.64
1922,15.06,13.05,16.02,15.69,18.00,16.08,17.55
1923,15.22,13.20,16.20,15.84,18.18,16.26,17.72
1924,15.01,13.00,15.96,15.61,17.97,16.01,17.53
1925,15.12,13.10,16.12,15.72,18.10,16.16,17.66
1926,15.12,13.10,16.12,15.75,18.07,16.17,17.61
1927,15.36,13.33,16.37,15.96,18.37,16.41,17.92
1928,15.27,13.23,16.31,15.80,18.36,16.33,17.91
1929,14.79,12.76,15.78,15.39,17.76,15.83,17.31
1930,15.52,13.51,16.47,16.14,18.45,16.52,18.02
1931,15.09,13.05,16.10,15.68,18.09,16.14,17.63
1932,15.09,13.07,16.09,15.69,18.06,16.14,17.62
1933,14.21,12.18,15.22,14.80,17.22,15.26,16.76
1934,14.99,12.95,16.02,15.58,18.01,16.07,17.55
1935,15.50,13.48,16.47,16.10,18.46,16.53,18.01
1936,15.22,13.18,16.24,15.81,18.21,16.29,17.75
1937,15.58,13.56,16.58,16.21,18.54,16.64,18.08
1938,14.83,12.80,15.82,15.45,17.78,15.88,17.32
1939,15.48,13.45,16.49,16.08,18.48,16.53,18.02
1940,15.27,13.27,16.21,15.90,18.20,16.27,17.77
1941,15.22,13.19,16.21,15.81,18.22,16.26,17.77
1942,15.09,13.05,16.07,15.69,18.09,16.12,17.64
1943,14.68,12.66,15.66,15.28,17.67,15.71,17.22
1944,15.01,12.99,15.98,15.64,17.96,16.04,17.52
1945,14.58,12.56,15.57,15.20,17.54,15.62,17.08
1946,15.22,13.20,16.23,15.83,18.20,16.27,17.74
1947,15.81,13.80,16.79,16.43,18.74,16.85,18.28
1948,14.35,12.32,15.33,14.97,17.33,15.39,16.87
1949,14.19,12.16,15.17,14.80,17.20,15.22,16.76
1950,14.55,12.51,15.57,15.16,17.53,15.62,17.07
