Variable:,tasmin
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1970,1.72,4.91,0.36,4.03,2.90,-0.44,1.55,-1.22,0.51,5.65
1971,1.94,4.82,0.86,3.96,3.05,-0.01,1.70,-0.74,0.94,5.52
1972,1.98,4.96,0.94,4.04,3.02,0.03,1.73,-0.70,0.97,5.63
1973,1.84,4.86,0.62,3.99,2.97,-0.17,1.58,-0.93,0.88,5.55
1974,2.65,5.93,1.27,4.98,3.82,0.56,2.39,-0.27,1.47,6.68
1975,2.64,5.72,1.50,4.79,3.73,0.62,2.43,-0.21,1.48,6.40
1976,1.95,4.95,0.69,4.10,3.08,-0.07,1.67,-0.80,1.11,5.71
1977,2.70,5.59,1.50,4.80,3.89,0.74,2.50,-0.08,1.57,6.29
1978,1.59,4.48,0.28,3.74,2.84,-0.34,1.26,-1.15,0.65,5.26
1979,2.13,5.25,0.95,4.23,3.21,0.13,1.93,-0.62,1.12,5.83
1980,1.51,4.48,0.29,3.59,2.60,-0.48,1.27,-1.17,0.62,5.22
1981,2.16,5.43,0.75,4.52,3.31,-0.05,1.98,-0.82,1.01,6.17
1982,2.60,5.44,1.50,4.57,3.67,0.69,2.36,0.02,1.84,6.14
1983,2.61,5.60,1.36,4.74,3.66,0.55,2.35,-0.05,1.76,6.28
1984,1.85,5.01,0.55,4.13,2.91,-0.32,1.62,-0.99,0.86,5.76
1985,1.49,4.31,0.41,3.47,2.52,-0.48,1.28,-1.11,0.69,5.01
1986,1.93,4.68,0.74,3.97,3.06,0.02,1.60,-0.61,1.17,5.47
1987,2.03,4.81,0.90,4.02,3.11,0.14,1.78,-0.56,1.25,5.55
1988,2.86,5.88,1.48,5.11,4.03,0.81,2.59,0.06,1.93,6.74
1989,2.97,5.87,1.66,5.14,4.10,0.99,2.69,0.27,2.09,6.74
1990,2.76,5.76,1.47,4.92,3.83,0.72,2.47,0.06,1.98,6.49
1991,2.12,5.02,0.92,4.20,3.21,0.17,1.82,-0.50,1.31,5.79
1992,3.29,6.17,2.10,5.35,4.42,1.35,3.12,0.60,2.17,6.88
1993,2.73,5.54,1.56,4.75,3.87,0.80,2.53,0.06,1.66,6.29
1994,3.94,6.86,2.73,6.06,5.10,1.90,3.77,1.16,2.85,7.64
1995,2.81,5.83,1.52,5.01,3.96,0.69,2.63,-0.04,1.76,6.58
1996,1.86,4.61,0.90,3.70,2.83,-0.01,1.69,-0.64,1.17,5.22
1997,2.76,5.44,1.82,4.59,3.72,0.90,2.59,0.31,2.18,6.11
1998,3.05,6.09,1.89,5.24,4.08,0.91,2.97,0.18,1.93,6.82
1999,3.16,6.21,2.01,5.34,4.18,1.03,3.06,0.27,2.01,6.95
2000,3.80,6.86,2.63,6.00,4.84,1.68,3.74,0.87,2.55,7.60
2001,2.76,5.80,1.71,4.83,3.82,0.72,2.64,-0.06,1.69,6.41
2002,3.51,6.47,2.45,5.49,4.58,1.55,3.36,0.80,2.49,7.04
2003,2.55,5.47,1.47,4.54,3.57,0.59,2.34,-0.07,1.72,6.06
2004,2.61,5.65,1.47,4.72,3.68,0.60,2.41,-0.18,1.59,6.34
2005,2.19,5.15,1.00,4.28,3.28,0.17,2.01,-0.59,1.30,5.83
2006,2.80,5.59,1.69,4.69,3.91,0.92,2.59,0.25,2.04,6.17
2007,3.48,6.66,2.33,5.68,4.58,1.39,3.35,0.50,2.15,7.25
2008,3.41,6.73,2.24,5.71,4.49,1.28,3.31,0.30,1.87,7.38
2009,3.27,6.51,2.14,5.46,4.35,1.15,3.14,0.29,2.01,7.14
2010,2.42,5.60,1.31,4.55,3.51,0.32,2.34,-0.54,1.13,6.24
2011,3.39,6.15,2.32,5.26,4.52,1.58,3.20,0.81,2.55,6.80
2012,3.38,6.52,2.29,5.45,4.46,1.38,3.31,0.46,2.12,7.02
2013,3.33,6.48,2.23,5.43,4.44,1.29,3.27,0.32,2.05,7.11
2014,4.17,7.36,2.94,6.43,5.27,2.07,3.98,1.22,3.08,8.11
2015,3.86,6.98,2.60,6.07,5.02,1.79,3.65,0.97,2.82,7.67
2016,3.56,6.65,2.34,5.73,4.69,1.50,3.40,0.68,2.50,7.30
2017,3.29,6.47,2.04,5.44,4.39,1.17,3.15,0.42,2.32,6.98
2018,4.07,7.21,2.94,6.24,5.14,1.95,3.96,1.13,3.00,7.88
2019,3.91,7.14,2.73,6.11,4.98,1.76,3.82,0.91,2.73,7.76
2020,3.82,6.84,2.65,5.91,4.94,1.82,3.61,1.05,2.84,7.51
