Variable:,tasmin
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1901,2.17,3.21,3.89,4.99,4.90,4.48,3.20,-0.39,-1.78,2.33,-1.98,0.86,5.72
1902,1.13,2.06,2.81,3.91,3.81,3.57,2.23,-1.38,-2.89,1.21,-2.99,-0.18,4.73
1903,1.62,2.80,3.53,4.62,4.36,3.83,2.56,-1.01,-2.34,1.85,-2.49,0.23,5.07
1904,1.14,2.26,3.05,4.13,3.87,3.36,2.18,-1.53,-2.88,1.34,-2.92,-0.26,4.69
1905,1.68,2.89,3.64,4.72,4.40,3.87,2.71,-1.05,-2.37,1.90,-2.37,0.26,5.15
1906,1.84,2.94,3.70,4.79,4.60,4.06,2.81,-0.77,-2.11,2.07,-2.29,0.48,5.34
1907,0.86,1.84,2.75,3.83,3.59,3.18,1.93,-1.78,-3.17,1.00,-3.17,-0.52,4.41
1908,0.87,1.93,2.71,3.80,3.63,3.11,1.94,-1.78,-3.10,1.07,-3.21,-0.47,4.45
1909,2.25,3.34,4.13,5.21,4.96,4.56,3.32,-0.43,-1.82,2.43,-1.84,0.86,5.78
1910,2.09,3.12,3.83,4.93,4.77,4.48,3.23,-0.52,-1.99,2.20,-2.01,0.71,5.75
1911,0.10,1.12,1.91,2.99,2.81,2.41,1.23,-2.50,-3.93,0.23,-4.00,-1.26,3.72
1912,1.40,2.14,3.10,4.20,4.04,3.96,2.59,-1.08,-2.66,1.46,-2.77,0.06,5.14
1913,0.81,1.95,2.54,3.64,3.44,3.23,1.83,-1.74,-3.21,0.95,-3.43,-0.59,4.35
1914,1.67,2.61,3.54,4.61,4.37,4.06,2.77,-0.93,-2.36,1.80,-2.44,0.28,5.28
1915,2.08,3.11,3.95,5.03,4.78,4.42,3.14,-0.56,-1.95,2.26,-2.04,0.69,5.62
1916,1.92,2.91,3.85,4.92,4.65,4.20,3.02,-0.74,-2.13,2.06,-2.09,0.55,5.48
1917,1.81,2.65,3.65,4.72,4.47,4.27,2.96,-0.75,-2.27,1.91,-2.27,0.42,5.45
1918,1.82,2.99,3.87,4.93,4.61,3.98,2.82,-0.90,-2.21,2.06,-2.21,0.38,5.31
