Variable:,tasmax
,Comoros,Anjouan,Moheli,Ngazidja
1901,28.06,29.46,29.93,28.14
1902,28.30,29.63,30.14,28.38
1903,28.16,29.49,30.01,28.24
1904,28.00,29.43,29.91,28.08
1905,28.20,29.52,30.03,28.28
1906,28.01,29.45,29.93,28.09
1907,28.05,29.45,29.93,28.14
1908,28.27,29.61,30.12,28.36
1909,28.11,29.49,29.98,28.19
1910,28.01,29.42,29.92,28.10
1911,28.14,29.51,29.99,28.22
1912,28.28,29.66,30.15,28.36
1913,28.37,29.75,30.25,28.46
1914,28.42,29.84,30.32,28.50
1915,28.43,29.84,30.32,28.51
1916,28.27,29.58,30.11,28.36
1917,28.25,29.52,30.04,28.34
1918,28.33,29.68,30.18,28.41
1919,28.39,29.78,30.28,28.47
1920,28.30,29.65,30.16,28.39
1921,28.31,29.61,30.12,28.39
1922,28.24,29.50,30.03,28.32
1923,28.46,29.91,30.38,28.55
1924,28.40,29.80,30.30,28.48
1925,28.38,29.77,30.27,28.46
1926,28.48,30.05,30.46,28.56
1927,28.32,29.73,30.20,28.40
1928,28.36,29.80,30.27,28.44
1929,28.41,29.87,30.33,28.49
1930,28.28,29.67,30.14,28.37
1931,28.28,29.49,30.06,28.37
1932,28.26,29.55,30.07,28.34
1933,28.24,29.55,30.07,28.33
1934,28.22,29.49,30.02,28.31
1935,28.20,29.55,30.03,28.29
1936,28.29,29.70,30.15,28.37
1937,28.30,29.72,30.18,28.38
1938,28.31,29.72,30.18,28.39
1939,28.26,29.67,30.11,28.34
1940,28.19,29.44,29.98,28.28
1941,28.45,29.77,30.28,28.53
1942,28.41,29.68,30.19,28.50
1943,28.09,29.27,29.83,28.17
1944,28.43,29.75,30.23,28.52
1945,28.34,29.74,30.17,28.43
1946,28.25,29.58,30.05,28.34
1947,28.37,29.73,30.20,28.46
1948,28.61,29.87,30.42,28.70
1949,28.47,29.68,30.24,28.56
1950,28.34,29.60,30.13,28.43
1951,28.48,29.68,30.23,28.57
1952,28.56,29.72,30.28,28.65
1953,28.48,29.71,30.26,28.57
1954,28.37,29.62,30.17,28.46
1955,28.21,29.48,30.01,28.30
1956,28.00,29.30,29.83,28.09
1957,28.18,29.46,29.99,28.27
1958,28.48,29.68,30.23,28.57
1959,28.30,29.49,30.05,28.39
1960,28.16,29.39,29.93,28.25
1961,28.89,30.14,30.67,28.97
1962,28.33,29.57,30.08,28.41
1963,28.02,29.32,29.83,28.11
1964,27.97,29.24,29.77,28.06
1965,27.80,29.09,29.60,27.89
1966,28.62,29.88,30.41,28.70
1967,28.10,29.55,30.00,28.18
1968,27.76,29.13,29.57,27.85
1969,28.43,29.85,30.30,28.52
1970,28.32,29.67,30.15,28.41
1971,28.01,29.19,29.75,28.10
1972,28.30,29.48,30.05,28.38
1973,28.10,29.30,29.83,28.19
1974,27.71,28.92,29.46,27.80
1975,27.89,29.10,29.66,27.98
1976,27.99,29.22,29.76,28.08
1977,28.27,29.58,30.08,28.36
1978,28.10,29.40,29.88,28.19
1979,28.22,29.48,29.98,28.31
1980,28.24,29.48,29.98,28.33
1981,28.24,29.42,29.97,28.34
1982,28.10,29.42,29.88,28.20
1983,28.32,29.53,30.03,28.41
1984,27.70,28.90,29.42,27.79
1985,28.05,29.18,29.75,28.14
1986,28.18,29.32,29.88,28.27
1987,28.70,29.87,30.42,28.79
1988,28.81,29.86,30.48,28.90
1989,27.80,29.09,29.58,27.88
1990,28.74,29.79,30.39,28.83
1991,28.41,29.55,30.13,28.50
1992,28.35,29.57,30.09,28.44
1993,28.45,29.57,30.16,28.54
1994,28.70,29.86,30.43,28.78
1995,28.55,29.72,30.28,28.64
1996,28.27,29.47,30.01,28.36
1997,28.45,29.72,30.22,28.53
1998,28.70,29.94,30.47,28.79
1999,28.32,29.56,30.08,28.40
2000,28.35,29.57,30.10,28.43
2001,28.31,29.62,30.11,28.40
2002,28.23,29.58,30.06,28.31
2003,28.41,29.72,30.23,28.50
2004,28.15,29.48,29.96,28.24
2005,28.53,29.84,30.36,28.62
2006,28.20,29.57,30.03,28.29
2007,28.70,30.02,30.49,28.78
2008,28.30,29.63,30.13,28.39
2009,28.85,30.05,30.61,28.94
2010,28.82,30.13,30.64,28.90
2011,28.65,29.99,30.48,28.74
2012,28.71,29.96,30.48,28.80
2013,28.93,30.06,30.63,29.02
2014,28.76,30.00,30.54,28.85
2015,29.07,30.25,30.80,29.15
2016,28.76,29.95,30.52,28.85
2017,29.01,30.23,30.76,29.10
2018,28.80,30.07,30.57,28.89
2019,29.04,30.32,30.83,29.13
2020,29.00,30.28,30.78,29.08
