Variable:,tasmin
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1901,-2.31,0.32,0.68,-1.14,-6.65,-3.14,1.23,-0.50,-1.07,-2.48,1.63,-3.55,0.50,2.23,-1.14,0.42,-1.28,-5.47,1.87,2.05
1902,-3.99,-1.29,-0.64,-2.55,-8.87,-4.75,-0.06,-1.87,-2.74,-4.50,0.08,-5.01,-1.06,0.97,-2.66,-0.90,-2.64,-7.65,0.59,0.58
1903,-2.48,0.36,0.82,-1.16,-7.00,-3.24,1.18,-0.72,-1.18,-2.81,1.75,-3.67,0.54,2.34,-1.31,0.22,-1.21,-5.91,2.01,2.20
1904,-3.12,-0.17,0.35,-1.62,-7.59,-3.88,0.76,-1.27,-2.19,-3.81,1.26,-4.21,0.06,1.88,-2.06,-0.17,-1.68,-6.66,1.56,1.71
1905,-2.55,0.32,0.77,-1.13,-7.00,-3.26,1.24,-0.72,-1.51,-3.16,1.67,-3.66,0.52,2.33,-1.43,0.31,-1.23,-6.04,1.96,2.15
1906,-2.18,0.88,1.24,-0.66,-6.91,-2.72,1.71,-0.30,-1.06,-2.86,2.26,-3.16,1.06,2.78,-0.97,0.74,-0.74,-5.94,2.44,2.70
1907,-2.43,0.03,0.44,-1.41,-6.39,-3.41,1.01,-0.84,-1.18,-2.51,1.30,-3.81,0.21,2.02,-1.42,0.13,-1.53,-5.30,1.62,1.78
1908,-2.42,0.55,1.05,-0.85,-7.27,-3.04,1.56,-0.51,-1.22,-3.03,1.90,-3.39,0.75,2.63,-1.22,0.58,-0.94,-6.21,2.24,2.36
1909,-3.30,-0.55,0.03,-1.93,-7.75,-4.13,0.53,-1.52,-2.13,-3.77,0.79,-4.45,-0.36,1.63,-2.25,-0.42,-1.99,-6.84,1.25,1.26
1910,-1.92,0.95,1.44,-0.56,-6.48,-2.63,1.81,-0.17,-0.69,-2.40,2.33,-3.05,1.14,2.99,-0.78,0.83,-0.60,-5.40,2.66,2.78
1911,-2.05,0.90,1.39,-0.64,-6.59,-2.72,1.70,-0.28,-0.89,-2.60,2.36,-3.17,1.09,2.88,-0.91,0.73,-0.69,-5.56,2.59,2.77
1912,-2.86,0.21,0.66,-1.17,-8.38,-3.20,1.29,-0.52,-1.35,-3.66,1.43,-3.52,0.39,2.31,-1.23,0.45,-1.29,-7.19,1.89,1.93
