Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1901,-0.81,-4.38,-6.89,-0.28,-2.42,-1.53,-0.62,3.38,1.99,-1.35,0.35,-2.33,-1.15,-6.29,4.87,-2.34,1.10,-2.04,0.49,-2.46,-2.98,-4.20,-5.55
1902,-0.73,-4.26,-6.76,-0.24,-2.27,-1.37,-0.75,3.43,2.04,-1.26,0.43,-2.22,-0.99,-6.09,4.89,-2.19,1.13,-1.87,0.54,-2.35,-2.84,-4.09,-5.38
1903,-0.98,-4.58,-7.65,-0.39,-2.54,-1.59,-0.71,3.32,1.85,-1.50,0.22,-2.46,-1.62,-6.47,4.83,-2.42,0.97,-2.10,0.42,-2.60,-3.10,-4.77,-5.85
1904,-1.02,-4.60,-6.26,-0.39,-2.78,-2.08,-1.49,3.06,1.58,-1.93,0.39,-3.02,-0.81,-6.31,4.78,-2.77,0.80,-2.57,-0.20,-3.04,-3.58,-3.67,-5.42
1905,-0.91,-4.45,-7.45,-0.36,-2.42,-1.50,-0.75,3.35,1.92,-1.41,0.28,-2.36,-1.47,-6.32,4.84,-2.32,1.02,-2.01,0.44,-2.49,-3.00,-4.63,-5.72
1906,-0.93,-4.49,-7.35,-0.32,-2.50,-1.60,-0.89,3.41,1.99,-1.37,0.25,-2.43,-1.48,-6.43,4.90,-2.41,1.07,-2.11,0.37,-2.53,-3.04,-4.58,-5.75
1907,-0.96,-4.56,-7.55,-0.36,-2.55,-1.60,-0.71,3.39,1.95,-1.38,0.22,-2.35,-1.56,-6.61,4.87,-2.46,1.05,-2.11,0.49,-2.51,-3.01,-4.79,-5.88
1908,-0.83,-4.45,-7.04,-0.34,-2.39,-1.44,-0.78,3.36,1.93,-1.39,0.35,-2.32,-1.10,-6.25,4.84,-2.28,1.04,-1.95,0.41,-2.46,-2.96,-4.11,-5.58
1909,-1.25,-4.94,-7.44,-0.56,-3.00,-2.14,-1.43,3.15,1.62,-1.84,0.14,-2.91,-1.58,-6.94,4.77,-2.93,0.73,-2.65,-0.09,-3.01,-3.54,-4.87,-6.09
1910,-1.36,-5.11,-7.78,-0.65,-3.16,-2.21,-1.27,2.85,1.53,-1.89,0.09,-2.85,-1.75,-7.15,4.67,-3.05,0.61,-2.72,-0.02,-3.09,-3.61,-5.24,-6.27
1911,-0.64,-3.91,-6.97,-0.09,-1.84,-0.96,-0.64,3.13,2.21,-1.11,0.44,-1.99,-1.12,-5.77,4.86,-1.74,1.43,-1.47,0.43,-1.99,-2.47,-4.09,-5.26
1912,-1.45,-5.16,-8.13,-0.59,-3.33,-2.50,-1.63,3.05,1.49,-2.09,0.10,-3.22,-1.85,-7.30,4.76,-3.28,0.64,-3.00,-0.24,-3.29,-3.84,-5.38,-6.28
1913,-0.75,-4.23,-6.84,-0.24,-2.19,-1.30,-0.80,3.43,2.09,-1.26,0.36,-2.23,-1.15,-6.08,4.90,-2.11,1.20,-1.80,0.41,-2.29,-2.80,-4.05,-5.46
1914,-0.32,-3.62,-6.42,0.06,-1.54,-0.63,-0.11,3.63,2.49,-0.75,0.55,-1.63,-0.80,-5.42,5.02,-1.43,1.63,-1.14,0.95,-1.68,-2.15,-3.54,-4.95
1915,-1.16,-4.79,-6.65,-0.49,-2.93,-2.15,-1.72,2.97,1.60,-1.88,0.31,-2.96,-1.01,-6.73,4.74,-2.87,0.75,-2.64,-0.32,-3.01,-3.55,-4.16,-5.73
1916,-1.22,-4.91,-7.63,-0.46,-3.02,-2.10,-1.11,3.05,1.73,-1.71,0.15,-2.73,-1.68,-7.00,4.71,-2.95,0.79,-2.61,0.13,-2.94,-3.47,-5.05,-6.13
1917,-0.89,-4.38,-7.11,-0.30,-2.31,-1.39,-0.93,3.19,2.04,-1.33,0.28,-2.33,-1.33,-6.32,4.79,-2.20,1.16,-1.90,0.28,-2.36,-2.86,-4.47,-5.69
1918,-0.60,-3.88,-7.15,-0.15,-1.66,-0.69,-0.35,3.26,2.28,-0.96,0.37,-1.78,-1.29,-5.71,4.75,-1.52,1.43,-1.21,0.65,-1.79,-2.26,-4.22,-5.38
1919,-0.87,-4.43,-7.31,-0.30,-2.44,-1.54,-0.71,3.35,2.00,-1.34,0.33,-2.30,-1.35,-6.35,4.85,-2.36,1.07,-2.03,0.51,-2.48,-2.98,-4.50,-5.62
1920,-0.71,-4.20,-7.07,-0.17,-2.31,-1.48,-0.59,3.50,2.11,-1.24,0.44,-2.23,-1.11,-6.04,4.96,-2.28,1.20,-1.98,0.66,-2.42,-2.93,-4.17,-5.31
1921,-0.40,-3.61,-6.42,0.08,-1.60,-0.84,-0.45,3.48,2.36,-0.97,0.59,-1.95,-0.78,-5.35,4.94,-1.54,1.58,-1.35,0.68,-1.90,-2.42,-3.39,-4.84
1922,-1.12,-4.83,-6.95,-0.47,-2.98,-2.26,-1.48,3.27,1.79,-1.73,0.25,-2.98,-1.30,-6.73,4.90,-2.94,0.79,-2.75,0.09,-3.09,-3.67,-4.32,-5.78
1923,-0.89,-4.49,-6.29,-0.32,-2.63,-1.89,-1.25,3.27,1.87,-1.61,0.42,-2.72,-0.82,-6.29,4.90,-2.60,0.94,-2.38,0.12,-2.82,-3.37,-3.74,-5.40
