Variable:,tasmin
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1928,1.86,1.62,0.84,0.85,2.32,1.28,1.14,2.56,1.01,1.35,2.52,0.96,3.26,3.60,1.99,0.85,1.18,1.85,1.21,1.05,2.30,2.89,2.83,2.55,1.24,1.62,3.36
1929,0.86,0.58,-0.13,-0.13,1.24,0.33,0.12,1.48,0.02,0.29,1.42,-0.05,2.30,2.60,1.08,-0.13,0.13,0.81,0.13,0.01,1.26,1.85,1.93,1.51,0.28,0.71,2.57
1930,3.11,2.80,2.11,2.07,3.46,2.57,2.31,3.81,2.24,2.51,3.66,2.14,4.62,4.91,3.34,2.04,2.43,3.03,2.35,2.22,3.51,4.13,4.29,3.81,2.53,3.03,4.92
1931,1.25,0.99,0.20,0.23,1.68,0.64,0.63,2.00,0.38,0.75,1.88,0.44,2.69,3.04,1.27,0.29,0.55,1.22,0.65,0.49,1.61,2.31,2.25,1.97,0.58,0.96,2.79
1932,2.67,2.47,1.73,1.78,3.08,2.12,2.13,3.23,1.87,2.24,3.19,1.98,3.90,4.24,2.68,1.87,2.05,2.72,2.16,2.02,2.99,3.53,3.47,3.21,2.11,2.47,4.01
1933,1.20,0.79,0.13,0.08,1.55,0.56,0.29,2.02,0.26,0.48,1.81,0.12,2.94,3.26,1.41,0.05,0.38,1.05,0.33,0.23,1.58,2.36,2.56,2.03,0.56,1.09,3.31
1934,3.75,3.48,2.77,2.77,4.16,3.18,3.06,4.44,2.92,3.22,4.36,2.84,5.17,5.51,3.89,2.76,3.08,3.71,3.09,2.94,4.13,4.76,4.74,4.42,3.18,3.58,5.32
1935,2.43,2.10,1.40,1.45,2.79,1.82,1.67,3.15,1.51,1.88,3.01,1.48,3.94,4.26,2.60,1.42,1.72,2.32,1.77,1.61,2.81,3.47,3.53,3.13,1.82,2.28,4.18
1936,3.28,3.09,2.29,2.35,3.72,2.84,2.70,3.85,2.54,2.89,3.88,2.50,4.47,4.81,3.39,2.36,2.74,3.34,2.79,2.58,3.69,4.11,4.09,3.83,2.72,3.13,4.59
1937,2.89,2.64,1.90,1.91,3.31,2.42,2.29,3.55,2.13,2.41,3.50,2.10,4.20,4.56,2.97,1.89,2.25,2.91,2.33,2.12,3.30,3.81,3.81,3.52,2.31,2.70,4.38
