Variable:,tasmin
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1947,3.80,3.07,3.17,3.91,4.30,3.17,4.17,4.20,3.93,4.93,3.15,4.91,3.59,3.62,3.80,4.29
1948,5.11,4.42,4.41,5.20,5.67,4.40,5.52,5.52,5.24,6.26,4.52,6.26,4.87,4.93,5.11,5.61
1949,5.77,5.09,5.13,5.99,6.23,5.25,6.05,6.14,5.71,6.71,5.10,6.89,5.59,5.68,5.87,6.31
1950,4.96,4.28,4.51,5.24,5.52,4.31,5.29,5.29,5.07,6.13,4.31,6.15,4.72,4.91,5.12,5.56
1951,4.91,4.27,4.44,5.23,5.42,4.35,5.13,5.23,4.82,6.12,4.21,6.12,4.74,4.93,5.14,5.57
1952,3.95,3.28,3.50,4.22,4.49,3.34,4.24,4.28,3.96,5.20,3.29,5.16,3.74,3.88,4.10,4.56
1953,5.51,4.87,4.87,5.68,5.90,5.08,5.73,5.91,5.35,6.48,4.80,6.58,5.41,5.39,5.56,5.97
1954,4.29,3.68,3.57,4.39,4.68,3.88,4.53,4.69,4.15,5.23,3.60,5.33,4.19,4.13,4.29,4.70
1955,3.92,3.25,3.24,3.93,4.39,3.38,4.23,4.34,3.93,4.99,3.23,4.97,3.79,3.67,3.83,4.32
1956,3.44,2.75,2.63,3.41,3.93,2.93,3.78,3.87,3.46,4.43,2.75,4.43,3.33,3.15,3.31,3.77
1957,4.81,4.13,4.23,5.02,5.35,4.24,5.10,5.17,4.84,5.96,4.11,5.98,4.63,4.72,4.90,5.35
1958,4.13,3.40,3.64,4.34,4.77,3.43,4.50,4.47,4.29,5.43,3.49,5.35,3.87,4.03,4.24,4.72
1959,5.18,4.59,4.65,5.42,5.61,4.73,5.36,5.55,5.00,6.22,4.48,6.30,5.07,5.16,5.31,5.71
1960,4.55,3.87,4.00,4.80,5.14,3.91,4.90,4.89,4.62,5.78,3.93,5.72,4.31,4.49,4.70,5.13
1961,5.28,4.63,4.77,5.54,5.72,4.80,5.50,5.63,5.16,6.39,4.57,6.44,5.15,5.27,5.44,5.87
1962,3.87,3.21,3.25,4.04,4.36,3.32,4.12,4.24,3.83,5.00,3.21,5.00,3.71,3.76,3.94,4.40
1963,3.43,2.82,2.77,3.65,3.90,2.92,3.66,3.78,3.30,4.49,2.76,4.55,3.28,3.38,3.55,3.97
1964,4.23,3.58,3.67,4.46,4.73,3.73,4.46,4.56,4.18,5.39,3.55,5.38,4.07,4.15,4.34,4.78
1965,3.77,3.09,3.04,3.92,4.32,3.17,4.09,4.12,3.82,4.91,3.13,4.88,3.59,3.60,3.78,4.25
1966,3.96,3.19,3.55,4.33,4.72,3.13,4.41,4.23,4.26,5.44,3.39,5.28,3.59,3.94,4.21,4.67
1967,5.26,4.56,4.71,5.55,5.89,4.58,5.62,5.59,5.36,6.52,4.64,6.47,5.00,5.19,5.41,5.85
1968,4.59,3.90,4.03,4.85,5.21,3.90,4.94,4.91,4.66,5.89,4.00,5.82,4.34,4.52,4.75,5.21
1969,4.06,3.42,3.34,4.23,4.61,3.45,4.37,4.40,4.03,5.18,3.44,5.21,3.87,3.96,4.12,4.57
1970,3.70,2.98,3.07,3.88,4.35,2.95,4.08,4.04,3.83,4.97,3.13,4.92,3.43,3.58,3.77,4.27
1971,4.88,4.21,4.28,5.09,5.41,4.30,5.19,5.23,4.86,6.02,4.24,6.01,4.71,4.77,4.96,5.39
1972,4.70,4.07,4.26,5.06,5.13,4.27,4.88,5.03,4.52,5.76,3.98,5.82,4.56,4.75,4.91,5.28
1973,4.85,4.18,4.24,5.02,5.35,4.26,5.13,5.21,4.81,6.03,4.18,6.01,4.69,4.76,4.94,5.42
1974,5.37,4.70,4.77,5.53,5.82,4.88,5.65,5.74,5.29,6.42,4.71,6.45,5.23,5.21,5.39,5.83
1975,5.70,5.08,5.09,5.82,6.15,5.22,5.93,6.06,5.56,6.73,5.00,6.80,5.59,5.58,5.73,6.18
1976,4.40,3.70,3.54,4.46,4.97,3.76,4.76,4.79,4.45,5.56,3.77,5.54,4.20,4.18,4.34,4.86
1977,4.83,4.11,4.32,5.10,5.47,4.11,5.18,5.16,4.93,6.15,4.22,6.07,4.55,4.75,4.98,5.46
1978,4.52,3.87,3.72,4.55,5.07,3.93,4.84,4.88,4.52,5.60,3.92,5.64,4.34,4.30,4.47,4.97
1979,3.66,2.98,3.18,3.98,4.21,3.05,3.96,3.97,3.65,4.87,3.02,4.90,3.43,3.66,3.89,4.32
1980,4.21,3.62,3.31,4.20,4.66,3.65,4.51,4.63,4.13,5.15,3.57,5.29,4.10,3.96,4.11,4.59
1981,4.26,3.59,3.74,4.53,4.84,3.63,4.56,4.58,4.29,5.50,3.63,5.48,4.04,4.19,4.42,4.86
1982,4.84,4.18,4.19,4.93,5.35,4.26,5.15,5.24,4.81,5.96,4.18,5.95,4.69,4.66,4.85,5.31
1983,5.34,4.68,4.85,5.50,5.87,4.78,5.61,5.71,5.31,6.50,4.67,6.46,5.19,5.20,5.40,5.85
1984,5.07,4.44,4.52,5.25,5.52,4.68,5.28,5.43,4.92,6.10,4.37,6.13,4.96,4.96,5.11,5.55
1985,3.34,2.58,2.79,3.52,3.98,2.66,3.73,3.70,3.50,4.65,2.70,4.49,3.09,3.13,3.38,3.87
1986,3.84,3.13,3.35,4.04,4.44,3.23,4.16,4.18,3.91,5.10,3.18,5.00,3.62,3.70,3.93,4.40
1987,3.52,2.77,2.71,3.54,4.13,2.86,3.91,3.90,3.67,4.74,2.90,4.63,3.31,3.28,3.47,4.00
1988,5.44,4.74,4.68,5.48,6.00,4.90,5.76,5.84,5.48,6.57,4.78,6.49,5.30,5.18,5.36,5.85
1989,5.99,5.34,5.52,6.27,6.48,5.49,6.23,6.37,5.89,7.16,5.29,7.11,5.86,5.92,6.13,6.55
1990,6.33,5.67,5.82,6.58,6.84,5.77,6.62,6.71,6.27,7.52,5.68,7.49,6.13,6.27,6.46,6.91
1991,5.08,4.43,4.63,5.33,5.52,4.64,5.29,5.44,4.93,6.16,4.36,6.16,4.96,4.99,5.18,5.60
1992,5.76,5.07,5.15,5.93,6.35,5.16,6.07,6.12,5.77,6.98,5.11,6.90,5.56,5.62,5.82,6.30
1993,4.61,3.90,4.18,4.92,5.20,4.02,4.91,4.95,4.61,5.86,3.96,5.80,4.40,4.58,4.80,5.22
1994,5.52,4.86,5.01,5.81,6.19,4.82,5.84,5.82,5.61,6.81,4.93,6.75,5.25,5.47,5.70,6.15
1995,5.04,4.37,4.50,5.36,5.61,4.47,5.34,5.38,5.03,6.24,4.38,6.21,4.84,4.98,5.21,5.63
1996,3.65,3.03,3.05,3.94,4.12,3.19,3.84,3.98,3.49,4.76,2.95,4.77,3.54,3.62,3.84,4.23
1997,5.14,4.46,4.40,5.31,5.64,4.63,5.37,5.53,5.09,6.26,4.42,6.23,5.04,4.97,5.20,5.64
1998,5.25,4.51,4.67,5.58,5.87,4.64,5.57,5.57,5.36,6.50,4.60,6.41,5.04,5.15,5.43,5.83
