Variable:,tasmax
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1901,12.66,19.20,15.28,19.07,21.49,11.76,24.29,23.99,19.16,27.67,14.54,7.52,18.89,19.25,20.07,18.55,21.19,10.49,12.88,10.19,13.31,4.75,15.29,17.26,18.98,13.97,14.44,17.22,12.21,4.65,20.60,19.22
1902,12.75,20.12,16.01,19.12,22.12,11.76,24.86,24.47,19.33,28.19,15.27,6.51,19.56,19.58,20.50,19.60,21.78,9.98,13.11,10.05,13.31,4.61,15.38,18.27,19.92,14.45,14.22,18.09,12.50,4.54,20.32,20.07
1903,12.56,19.34,15.58,19.05,21.43,11.76,24.14,23.79,19.07,27.44,14.83,7.45,19.10,19.29,19.96,18.82,21.14,10.53,13.09,10.20,13.31,4.69,15.33,17.63,19.18,14.16,14.36,17.56,11.73,4.49,20.49,19.26
1904,12.58,19.34,15.68,19.05,21.37,11.76,24.07,23.79,19.07,27.45,14.92,6.70,19.16,19.30,19.96,18.80,21.12,10.06,12.98,9.83,13.31,4.65,15.33,17.74,19.12,14.22,14.27,17.69,12.46,4.41,20.36,19.24
1905,12.43,19.21,15.48,18.43,21.66,11.70,24.46,23.86,18.92,27.50,14.80,7.02,18.77,18.66,19.71,18.75,21.10,10.17,12.89,10.05,13.23,4.61,14.91,17.73,19.13,14.11,14.14,17.49,11.91,4.10,20.29,19.30
1906,12.54,19.17,15.25,18.58,21.86,11.71,24.51,23.88,18.94,27.59,14.60,6.72,18.74,18.91,19.96,18.50,21.32,9.87,12.53,9.94,13.24,4.67,14.94,17.49,19.01,14.01,14.21,17.27,12.34,4.48,20.48,19.42
1907,12.54,19.37,15.40,18.81,21.69,11.73,24.51,24.01,19.06,27.71,14.72,7.00,19.01,19.10,20.06,18.79,21.34,10.15,12.79,10.09,13.27,4.64,15.15,17.71,19.13,14.10,14.23,17.45,12.03,4.34,20.38,19.40
1908,12.63,19.64,15.03,19.00,21.81,11.75,24.44,23.94,19.10,27.55,14.41,6.86,19.19,19.39,20.20,18.95,21.58,9.85,12.38,9.97,13.29,4.74,15.25,17.62,19.37,13.98,14.42,17.10,12.24,4.66,20.57,19.73
1909,12.66,19.80,15.27,19.04,22.12,11.75,24.75,24.17,19.17,27.90,14.66,6.27,19.36,19.62,20.48,19.07,21.84,9.44,12.21,9.59,13.29,4.79,15.26,17.82,19.53,14.18,14.48,17.36,12.55,4.62,20.68,19.93
1910,12.33,19.10,14.82,18.48,21.64,11.68,24.36,23.85,18.91,27.63,14.17,6.09,18.58,18.80,19.85,18.50,21.23,9.06,11.87,9.41,12.99,4.68,14.65,17.26,19.03,13.50,14.23,16.88,12.25,4.33,20.42,19.37
