Variable:,tasmax
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
1967,29.91,29.02,29.25,29.30,34.35,29.88,32.35,27.73,27.30,28.76,29.35
1968,30.03,29.22,29.28,29.48,34.59,29.76,32.62,27.76,27.28,28.71,29.23
1969,30.44,29.60,29.67,29.81,35.39,30.11,33.15,28.18,27.71,29.02,29.59
1970,30.47,29.83,29.67,29.84,35.17,30.09,33.26,28.21,27.73,28.92,29.57
1971,29.83,29.00,29.10,29.07,34.57,29.70,32.47,27.71,27.23,28.50,29.23
1972,30.10,29.33,29.34,29.39,34.90,29.86,32.80,27.94,27.46,28.67,29.36
1973,30.32,29.47,29.56,29.55,35.29,30.13,33.04,28.20,27.70,28.91,29.66
1974,29.57,28.63,28.91,28.89,34.25,29.54,32.04,27.44,27.02,28.37,29.03
1975,29.53,28.54,28.84,28.88,34.38,29.45,31.97,27.41,26.93,28.34,28.93
1976,29.44,28.47,28.60,28.79,34.78,29.07,32.21,27.00,26.53,28.10,28.49
1977,29.91,29.07,29.28,29.30,34.32,29.76,32.36,27.76,27.33,28.63,29.28
1978,29.91,29.06,29.22,29.11,34.70,29.81,32.51,27.88,27.38,28.61,29.34
1979,30.20,29.37,29.50,29.61,35.01,29.90,32.78,27.98,27.51,28.85,29.32
1980,30.09,29.20,29.36,29.45,35.00,29.84,32.69,27.91,27.44,28.78,29.30
1981,30.01,29.12,29.27,29.31,34.80,29.87,32.61,27.89,27.43,28.66,29.43
1982,29.87,28.92,29.09,29.23,34.92,29.58,32.56,27.62,27.16,28.49,29.06
1983,30.30,29.55,29.50,29.69,35.08,29.92,32.97,28.07,27.60,28.84,29.50
1984,30.07,29.08,29.31,29.26,35.14,29.99,32.72,27.98,27.48,28.83,29.52
1985,29.78,28.79,29.09,29.24,34.41,29.63,32.23,27.61,27.17,28.57,29.13
1986,29.93,29.12,29.04,29.27,35.13,29.47,32.80,27.64,27.15,28.40,29.00
1987,30.65,29.88,29.85,29.87,35.65,30.40,33.42,28.56,28.05,29.16,29.96
1988,30.08,29.16,29.41,29.54,34.61,29.91,32.53,27.92,27.50,28.83,29.36
1989,29.99,29.09,29.40,29.32,34.27,30.10,32.31,28.00,27.60,28.89,29.62
1990,30.22,29.34,29.47,29.65,35.12,29.81,32.88,27.85,27.44,28.90,29.20
1991,30.16,29.35,29.37,29.45,35.29,29.84,32.89,27.94,27.43,28.78,29.21
1992,29.87,29.01,29.16,29.21,34.47,29.72,32.42,27.77,27.29,28.56,29.30
1993,30.05,29.22,29.25,29.22,35.20,29.81,32.80,28.04,27.45,28.63,29.46
1994,30.01,29.14,29.30,29.33,34.83,29.83,32.59,27.85,27.41,28.69,29.28
1995,30.28,29.39,29.52,29.57,35.27,30.06,32.92,28.11,27.62,28.94,29.57
1996,30.12,29.26,29.29,29.32,35.48,29.85,32.89,28.00,27.43,28.70,29.36
1997,30.22,29.42,29.40,29.45,35.52,29.82,33.04,28.00,27.50,28.73,29.34
1998,30.78,29.90,30.03,30.14,35.66,30.55,33.36,28.59,28.12,29.45,30.05
1999,30.20,29.30,29.41,29.39,35.49,30.00,32.92,28.10,27.60,28.84,29.51
2000,30.19,29.23,29.43,29.48,35.18,30.05,32.79,28.00,27.56,28.86,29.63
2001,30.23,29.29,29.47,29.58,35.27,30.04,32.84,27.97,27.54,28.92,29.52
2002,30.41,29.52,29.65,29.68,35.53,30.21,33.08,28.19,27.74,29.07,29.64
2003,30.45,29.54,29.69,29.72,35.57,30.28,33.08,28.26,27.82,29.12,29.77
2004,30.53,29.67,29.73,29.80,35.78,30.24,33.26,28.30,27.80,29.14,29.69
2005,30.56,29.69,29.79,29.88,35.68,30.30,33.21,28.35,27.90,29.15,29.79
2006,30.49,29.55,29.68,29.77,35.75,30.26,33.17,28.27,27.78,29.14,29.74
