Variable:,tasmin
1901,21.98
1902,22.05
1903,22.03
1904,21.62
1905,21.83
1906,21.62
1907,21.46
1908,21.67
1909,21.79
1910,21.71
1911,20.93
1912,21.38
1913,20.91
1914,21.03
1915,21.44
1916,21.11
1917,20.87
1918,21.05
1919,21.27
1920,21.19
1921,21.08
1922,21.07
1923,21.12
1924,21.12
1925,21.18
1926,21.53
1927,21.24
1928,21.25
1929,21.09
1930,21.23
1931,21.63
1932,21.53
1933,21.30
1934,21.20
1935,21.38
1936,21.43
1937,21.49
1938,21.42
1939,21.47
1940,21.77
1941,21.73
1942,21.74
1943,21.47
1944,21.60
1945,21.60
1946,21.47
1947,21.59
1948,21.41
1949,21.22
1950,21.28
1951,21.31
1952,21.45
1953,21.39
1954,21.06
1955,21.06
1956,20.94
1957,21.36
1958,21.66
1959,21.20
1960,21.21
1961,21.25
1962,21.33
1963,21.43
1964,21.57
1965,21.33
1966,21.59
1967,21.21
1968,21.24
1969,21.72
1970,21.39
1971,21.23
1972,21.71
1973,21.81
1974,21.38
1975,21.38
1976,21.45
1977,21.76
1978,21.78
1979,21.94
1980,21.93
1981,21.51
1982,21.36
1983,21.56
1984,21.00
1985,21.14
1986,21.46
1987,22.03
1988,21.58
1989,21.26
1990,21.55
1991,21.39
1992,21.27
1993,21.21
1994,21.41
1995,21.84
1996,21.80
1997,21.97
1998,22.35
1999,21.74
2000,21.64
2001,21.79
2002,21.74
2003,22.02
2004,21.95
2005,22.33
2006,21.91
2007,21.89
2008,21.72
2009,21.90
2010,22.26
2011,21.93
2012,21.83
2013,21.84
2014,21.92
2015,22.22
2016,22.24
2017,22.03
2018,21.79
2019,22.09
2020,22.15
