Variable:,tasmax
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1901,9.31,13.03,8.51,11.83,11.06,6.43,9.29,5.46,6.83,13.13
1902,9.18,12.56,8.56,11.39,10.95,6.55,9.09,5.64,7.06,12.65
1903,9.96,13.62,9.13,12.38,11.76,7.20,9.93,6.18,7.52,13.69
1904,10.18,13.74,9.37,12.55,11.93,7.40,10.13,6.51,8.01,13.85
1905,9.64,13.30,8.89,12.09,11.39,6.80,9.62,5.81,7.21,13.38
1906,9.59,13.30,8.72,12.11,11.33,6.69,9.51,5.83,7.42,13.39
1907,9.60,13.23,8.78,12.08,11.37,6.73,9.53,5.86,7.36,13.37
1908,9.17,12.79,8.40,11.59,10.89,6.30,9.11,5.47,7.01,12.88
1909,8.83,12.63,8.04,11.34,10.47,5.81,8.81,5.05,6.68,12.65
1910,9.52,13.34,8.70,12.07,11.19,6.50,9.52,5.68,7.23,13.37
1911,10.29,13.90,9.47,12.71,12.00,7.41,10.15,6.71,8.34,13.97
1912,9.00,12.54,8.27,11.34,10.69,6.16,8.92,5.43,7.06,12.63
1913,9.42,12.97,8.62,11.80,11.14,6.59,9.30,5.86,7.52,13.07
1914,9.19,12.59,8.43,11.48,10.95,6.49,9.01,5.71,7.25,12.72
1915,9.23,12.91,8.40,11.69,10.94,6.29,9.18,5.51,7.13,12.98
1916,10.09,13.86,9.34,12.59,11.82,7.16,10.14,6.20,7.61,13.88
1917,9.21,13.02,8.44,11.72,10.92,6.26,9.25,5.30,6.75,13.02
1918,9.78,13.42,8.87,12.26,11.55,6.90,9.69,6.09,7.63,13.50
1919,8.82,12.57,8.05,11.27,10.47,5.80,8.83,5.03,6.80,12.54
1920,10.29,13.68,9.66,12.52,12.00,7.63,10.19,6.81,8.17,13.77
1921,10.55,14.04,9.70,12.88,12.27,7.78,10.40,7.08,8.71,14.13
1922,8.98,12.56,8.38,11.26,10.66,6.20,8.98,5.32,6.86,12.56
1923,9.83,13.44,9.13,12.15,11.49,6.99,9.79,6.22,7.82,13.46
1924,8.98,12.48,8.41,11.20,10.60,6.20,8.92,5.50,7.08,12.47
1925,9.39,13.06,8.61,11.83,11.08,6.49,9.32,5.73,7.27,13.11
1926,10.16,13.77,9.45,12.51,11.88,7.32,10.11,6.50,8.03,13.80
1927,9.97,13.57,9.37,12.24,11.58,7.16,9.95,6.41,7.90,13.54
1928,10.23,13.72,9.44,12.54,11.96,7.46,10.11,6.74,8.32,13.83
1929,9.60,13.05,8.89,11.87,11.29,6.83,9.52,6.10,7.77,13.13
1930,10.30,13.92,9.58,12.65,11.95,7.45,10.25,6.73,8.24,13.93
1931,9.23,12.88,8.58,11.58,10.89,6.36,9.22,5.54,7.05,12.88
1932,9.94,13.42,9.27,12.29,11.67,7.17,9.88,6.32,7.69,13.56
1933,8.84,12.41,8.07,11.19,10.51,5.95,8.75,5.26,7.00,12.45
1934,11.14,14.87,10.25,13.68,12.90,8.16,11.11,7.33,8.80,14.95
1935,9.68,13.38,8.83,12.13,11.38,6.71,9.65,5.97,7.71,13.40
1936,9.89,13.55,9.17,12.26,11.55,7.03,9.89,6.22,7.74,13.58
1937,9.95,13.56,9.07,12.34,11.66,7.04,9.85,6.38,8.06,13.63
1938,9.91,13.57,9.00,12.36,11.64,7.01,9.80,6.28,7.92,13.63
1939,9.59,13.30,8.91,11.97,11.23,6.74,9.59,5.89,7.36,13.27
1940,8.41,11.69,7.80,10.52,10.11,5.80,8.30,5.06,6.70,11.77
1941,8.86,12.30,8.15,11.07,10.58,6.13,8.77,5.38,7.00,12.31
1942,9.52,12.84,8.94,11.66,11.17,6.84,9.43,6.14,7.77,12.93
1943,10.78,14.21,9.99,13.07,12.50,7.98,10.68,7.27,8.99,14.33
1944,9.34,13.12,8.48,11.82,11.03,6.32,9.34,5.56,7.33,13.14
1945,10.41,14.01,9.58,12.78,12.04,7.50,10.33,6.87,8.71,14.09
1946,10.50,14.15,9.82,12.83,12.18,7.74,10.47,6.86,8.27,14.18
1947,10.81,14.21,10.03,13.04,12.53,8.12,10.63,7.43,9.08,14.31
1948,10.62,14.07,9.83,12.91,12.34,7.86,10.45,7.16,8.81,14.19
1949,10.73,14.37,9.89,13.10,12.38,7.85,10.65,7.17,9.02,14.41
1950,10.80,14.45,10.10,13.11,12.48,8.00,10.78,7.18,8.73,14.40
1951,10.65,14.33,9.74,13.16,12.48,7.76,10.63,6.83,8.29,14.41
1952,9.74,13.46,8.79,12.18,11.51,6.84,9.67,6.03,7.75,13.49
1953,10.64,14.13,9.76,13.08,12.42,7.84,10.55,6.99,8.47,14.29
1954,9.14,12.63,8.37,11.48,10.87,6.39,9.02,5.58,7.18,12.78
1955,9.39,13.06,8.59,11.82,11.09,6.54,9.31,5.70,7.33,13.16
1956,8.95,12.69,8.12,11.42,10.69,6.11,8.89,5.17,6.68,12.82
1957,10.44,14.06,9.60,12.89,12.19,7.62,10.40,6.71,8.15,14.18
1958,10.29,13.94,9.49,12.70,12.00,7.40,10.36,6.51,8.03,13.98
1959,10.79,14.12,9.96,13.08,12.54,7.99,10.75,7.28,8.96,14.25
1960,10.07,13.70,9.26,12.47,11.84,7.22,10.10,6.31,7.82,13.71
1961,11.07,14.50,10.33,13.31,12.79,8.33,11.01,7.59,9.12,14.54
1962,9.19,12.86,8.39,11.57,10.89,6.34,9.10,5.59,7.27,12.92
1963,9.55,13.19,8.90,11.87,11.22,6.79,9.53,5.85,7.24,13.22
1964,9.94,13.34,9.34,12.13,11.57,7.26,9.87,6.49,8.08,13.43
1965,9.15,12.84,8.40,11.54,10.89,6.30,9.16,5.37,6.89,12.93
1966,10.23,14.07,9.32,12.79,11.98,7.27,10.27,6.31,7.80,14.17
1967,10.43,14.20,9.48,12.99,12.16,7.48,10.43,6.60,8.20,14.35
1968,9.90,13.78,9.02,12.44,11.61,6.97,9.87,6.08,7.58,13.86
1969,9.62,13.15,8.79,12.03,11.38,6.80,9.55,5.98,7.50,13.31
1970,9.38,13.10,8.48,11.86,11.07,6.42,9.37,5.64,7.26,13.20
1971,10.29,13.90,9.45,12.73,12.09,7.53,10.18,6.56,7.98,14.01
1972,9.80,13.41,9.04,12.18,11.59,7.05,9.73,6.13,7.43,13.40
1973,9.80,13.55,8.99,12.30,11.55,6.92,9.77,5.96,7.38,13.62
1974,10.39,13.97,9.56,12.86,12.23,7.56,10.43,6.54,7.92,14.06
1975,10.41,14.11,9.68,12.87,12.10,7.56,10.39,6.60,7.96,14.18
1976,10.09,13.65,9.30,12.54,11.87,7.22,10.09,6.29,7.86,13.77
1977,10.50,14.19,9.74,12.94,12.30,7.72,10.55,6.61,7.87,14.25
1978,9.34,12.79,8.61,11.67,11.11,6.64,9.26,5.73,7.08,12.89
1979,9.91,13.59,9.16,12.33,11.70,7.10,9.94,6.08,7.46,13.57
1980,9.12,12.63,8.39,11.45,10.89,6.35,9.15,5.39,6.84,12.71
1981,10.09,14.02,9.08,12.75,11.88,7.08,10.12,6.08,7.61,14.09
1982,10.58,14.11,9.77,12.96,12.36,7.84,10.50,6.95,8.43,14.21
1983,11.09,14.88,10.14,13.66,12.88,8.26,11.00,7.24,8.67,14.99
1984,9.69,13.39,8.85,12.16,11.46,6.81,9.74,5.84,7.36,13.44
1985,9.73,13.28,9.01,12.04,11.45,6.97,9.71,6.09,7.63,13.33
1986,10.10,13.63,9.25,12.51,11.94,7.42,9.96,6.44,7.84,13.78
1987,9.70,13.29,8.93,12.05,11.42,6.97,9.65,6.05,7.55,13.38
1988,10.68,14.16,9.79,13.12,12.50,7.87,10.63,6.99,8.50,14.39
1989,11.10,14.54,10.20,13.52,12.85,8.35,10.99,7.51,9.02,14.76
1990,11.26,14.84,10.38,13.67,13.00,8.47,11.17,7.64,9.13,14.94
1991,10.07,13.50,9.27,12.40,11.79,7.36,9.95,6.60,8.04,13.65
1992,11.29,14.94,10.38,13.78,13.09,8.49,11.23,7.54,8.76,15.12
1993,10.60,14.18,9.84,12.98,12.35,7.86,10.57,6.90,8.17,14.28
1994,11.88,15.50,11.06,14.31,13.68,9.08,11.91,8.07,9.31,15.62
1995,10.51,14.20,9.63,13.00,12.27,7.63,10.53,6.68,8.08,14.33
1996,9.48,13.03,8.86,11.67,11.09,6.80,9.46,6.02,7.36,13.02
1997,10.84,14.18,10.19,13.04,12.52,8.16,10.81,7.35,8.87,14.29
1998,10.88,14.59,10.03,13.38,12.58,7.97,10.92,7.06,8.46,14.73
1999,10.79,14.52,9.89,13.39,12.53,7.86,10.81,6.90,8.25,14.74
2000,11.85,15.71,10.94,14.49,13.59,8.87,11.94,7.81,9.14,15.84
2001,10.90,14.53,10.22,13.23,12.61,8.08,10.97,7.11,8.58,14.48
2002,11.62,15.34,10.81,14.04,13.41,8.82,11.64,7.80,9.19,15.32
2003,11.68,15.22,10.87,14.04,13.41,8.88,11.65,8.01,9.60,15.25
2004,10.58,14.15,9.74,13.01,12.33,7.72,10.53,6.92,8.46,14.28
2005,10.24,13.92,9.33,12.71,11.98,7.32,10.16,6.56,8.28,14.01
2006,11.25,14.81,10.46,13.53,12.99,8.51,11.18,7.74,9.18,14.82
2007,11.79,15.57,10.98,14.29,13.55,8.87,11.83,7.90,9.30,15.54
2008,11.58,15.44,10.75,14.14,13.36,8.63,11.65,7.59,8.86,15.47
2009,11.35,15.19,10.58,13.84,13.07,8.43,11.41,7.44,8.86,15.18
2010,10.28,14.09,9.59,12.74,12.02,7.39,10.41,6.29,7.51,14.16
2011,12.07,15.56,11.28,14.30,13.81,9.43,12.04,8.53,9.90,15.59
2012,11.61,15.51,10.79,14.10,13.36,8.74,11.66,7.71,9.02,15.43
2013,10.99,14.94,10.22,13.49,12.72,8.07,11.11,6.94,8.30,14.91
2014,12.20,16.06,11.33,14.75,13.94,9.30,12.22,8.28,9.76,16.14
2015,12.33,16.06,11.38,14.82,14.15,9.46,12.30,8.53,10.07,16.11
2016,11.64,15.37,10.81,14.10,13.40,8.80,11.67,7.81,9.27,15.41
2017,11.74,15.56,10.89,14.20,13.49,8.83,11.80,7.89,9.47,15.46
2018,12.58,16.41,11.67,15.17,14.35,9.57,12.59,8.65,10.25,16.49
2019,12.45,16.44,11.52,15.08,14.21,9.40,12.49,8.42,9.94,16.45
2020,12.37,15.86,11.49,14.71,14.16,9.54,12.27,8.79,10.51,15.97
