Variable:,tasmax
,Gibraltar,"Administrative unit not available"
1901,20.75,20.75
1902,20.68,20.68
1903,20.82,20.82
1904,21.22,21.22
1905,20.58,20.58
1906,20.79,20.79
1907,20.58,20.58
1908,20.88,20.88
1909,20.49,20.49
1910,20.50,20.50
1911,20.53,20.53
1912,20.57,20.57
1913,20.68,20.68
1914,20.48,20.48
1915,20.50,20.50
1916,20.63,20.63
1917,20.28,20.28
1918,20.51,20.51
1919,20.39,20.39
1920,20.70,20.70
1921,21.07,21.07
1922,20.88,20.88
1923,20.96,20.96
1924,21.40,21.40
1925,20.54,20.54
1926,21.93,21.93
1927,21.44,21.44
1928,21.41,21.41
1929,21.32,21.32
1930,21.18,21.18
1931,20.91,20.91
1932,20.50,20.50
1933,21.06,21.06
1934,20.99,20.99
1935,21.09,21.09
1936,20.83,20.83
1937,21.78,21.78
1938,21.49,21.49
1939,20.95,20.95
1940,21.51,21.51
1941,21.24,21.24
1942,21.58,21.58
1943,21.84,21.84
1944,21.93,21.93
1945,22.75,22.75
1946,21.68,21.68
1947,21.93,21.93
1948,22.59,22.59
1949,22.38,22.38
1950,22.20,22.20
1951,21.48,21.48
1952,21.88,21.88
1953,22.17,22.17
1954,21.61,21.61
1955,22.66,22.66
1956,20.97,20.97
1957,21.67,21.67
1958,21.94,21.94
1959,21.43,21.43
1960,21.61,21.61
1961,22.57,22.57
1962,21.86,21.86
1963,21.42,21.42
1964,22.08,22.08
1965,21.53,21.53
1966,21.83,21.83
1967,21.64,21.64
1968,21.70,21.70
1969,21.01,21.01
1970,22.14,22.14
1971,21.13,21.13
1972,20.84,20.84
1973,21.84,21.84
1974,21.88,21.88
1975,21.54,21.54
1976,21.34,21.34
1977,21.24,21.24
1978,21.56,21.56
1979,21.51,21.51
1980,21.93,21.93
1981,22.34,22.34
1982,21.74,21.74
1983,22.28,22.28
1984,21.45,21.45
1985,22.36,22.36
1986,21.70,21.70
1987,21.98,21.98
1988,22.07,22.07
1989,22.65,22.65
1990,22.50,22.50
1991,21.93,21.93
1992,22.17,22.17
1993,21.28,21.28
1994,22.33,22.33
1995,22.79,22.79
1996,21.75,21.75
1997,22.53,22.53
1998,22.27,22.27
1999,22.03,22.03
2000,22.48,22.48
2001,22.43,22.43
2002,22.23,22.23
2003,22.62,22.62
2004,22.47,22.47
2005,22.56,22.56
2006,22.68,22.68
2007,22.47,22.47
2008,22.43,22.43
2009,22.95,22.95
2010,22.57,22.57
2011,23.03,23.03
2012,22.69,22.69
2013,22.39,22.39
2014,23.03,23.03
2015,23.49,23.49
2016,23.36,23.36
2017,23.81,23.81
2018,22.55,22.55
2019,23.24,23.24
2020,23.24,23.24
