Variable:,tasmax
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1901,25.52,28.06,19.73,15.07,17.00,16.54,23.89,17.34,19.84,14.97,24.64,21.03,21.58,22.85,27.30,17.67,31.71,29.07,17.55,24.29,28.32,16.79,29.06,19.33,30.34,30.62
1902,25.51,28.06,19.73,15.06,16.98,16.53,23.89,17.31,19.82,14.95,24.63,21.01,21.57,22.85,27.30,17.66,31.71,29.05,17.50,24.29,28.32,16.76,29.06,19.25,30.34,30.61
1903,25.33,28.06,19.68,14.63,16.54,16.11,23.89,16.92,19.41,14.58,24.52,20.63,21.27,22.85,27.30,17.43,31.71,28.68,17.06,24.07,28.32,16.33,29.05,18.81,30.34,30.40
1904,25.25,28.06,19.64,14.43,16.41,15.91,23.89,16.86,19.21,14.38,24.46,20.43,21.10,22.85,27.30,17.30,31.71,28.48,17.00,23.96,28.32,16.20,29.05,18.81,30.34,30.29
1905,25.43,28.06,19.71,14.86,16.67,16.37,23.89,17.03,19.65,14.85,24.60,20.90,21.48,22.85,27.30,17.60,31.71,28.94,17.14,24.23,28.32,16.47,29.06,18.89,30.34,30.55
1906,25.33,28.06,19.69,14.61,16.42,16.12,23.89,16.85,19.41,14.64,24.53,20.68,21.31,22.85,27.30,17.46,31.71,28.72,16.91,24.11,28.32,16.23,29.05,18.72,30.34,30.43
1907,25.28,28.06,19.68,14.52,16.28,16.05,23.89,16.68,19.32,14.57,24.52,20.61,21.27,22.85,27.30,17.43,31.71,28.65,16.72,24.07,28.32,16.09,29.05,18.46,30.34,30.40
1908,25.33,28.06,19.67,14.62,16.55,16.10,23.89,16.92,19.40,14.56,24.51,20.61,21.25,22.85,27.30,17.41,31.71,28.66,17.07,24.06,28.32,16.33,29.05,18.82,30.34,30.39
1909,25.21,28.06,19.63,14.35,16.29,15.84,23.89,16.73,19.14,14.32,24.44,20.37,21.06,22.85,27.30,17.26,31.70,28.42,16.84,23.93,28.32,16.08,29.04,18.60,30.34,30.25
1910,24.85,27.46,18.56,14.34,16.20,15.81,23.03,16.53,19.11,14.16,23.55,20.25,20.71,21.74,26.54,16.69,31.38,28.45,16.78,23.31,27.86,16.03,28.07,18.56,30.14,29.80
1911,25.29,27.76,19.18,14.97,16.91,16.41,23.47,17.02,19.71,14.76,24.16,20.84,21.30,22.31,26.93,17.31,31.55,28.95,17.30,23.91,28.09,16.65,28.58,18.92,30.24,30.32
1912,25.61,28.06,19.73,15.32,17.26,16.78,23.88,17.45,20.06,15.16,24.66,21.23,21.72,22.84,27.30,17.76,31.71,29.25,17.71,24.37,28.32,17.01,29.05,19.32,30.34,30.71
1913,25.70,28.22,20.00,15.37,17.42,16.80,24.12,17.55,20.08,15.16,24.86,21.24,21.76,23.15,27.51,17.86,31.80,29.17,17.87,24.47,28.45,17.08,29.31,19.46,30.39,30.79
1914,25.62,28.05,19.73,15.35,17.33,16.81,23.88,17.49,20.10,15.17,24.67,21.25,21.74,22.84,27.30,17.77,31.71,29.27,17.81,24.38,28.32,17.09,29.05,19.39,30.34,30.72
1915,25.76,28.13,19.92,15.53,17.39,17.01,23.99,17.61,20.29,15.44,24.87,21.50,21.99,22.99,27.39,18.01,31.75,29.50,17.87,24.62,28.38,17.22,29.19,19.44,30.36,30.92
1916,25.06,27.77,19.09,14.43,16.28,15.94,23.47,16.59,19.21,14.36,23.99,20.44,20.95,22.30,26.93,17.01,31.55,28.50,16.78,23.64,28.10,16.11,28.57,18.39,30.25,30.07
1917,25.38,28.16,19.78,14.80,16.63,16.29,24.02,16.57,19.53,14.71,24.57,20.78,21.35,23.01,27.42,17.48,31.75,28.68,16.73,24.11,28.39,16.14,29.19,18.24,30.37,30.47
1918,25.71,28.11,19.84,15.55,17.39,16.99,23.96,17.34,20.30,15.34,24.78,21.41,21.89,22.95,27.37,17.89,31.74,29.49,17.60,24.51,28.36,17.06,29.14,19.10,30.35,30.86
1919,25.73,27.92,19.53,15.77,17.78,17.15,23.69,17.87,20.53,15.42,24.56,21.50,21.92,22.60,27.12,17.81,31.64,29.75,18.27,24.44,28.21,17.62,28.84,19.85,30.29,30.83
1920,25.27,27.55,18.79,15.20,17.19,16.56,23.16,17.33,19.98,14.81,23.85,20.88,21.29,21.91,26.64,17.11,31.43,29.30,17.76,23.76,27.92,17.10,28.22,19.38,30.17,30.27
1921,24.99,27.22,18.19,14.92,16.95,16.26,22.69,17.13,19.74,14.47,23.33,20.55,20.91,21.31,26.22,16.67,31.26,29.11,17.60,23.33,27.67,16.95,27.68,19.22,30.07,29.91
1922,25.73,28.06,19.76,15.67,17.56,17.10,23.89,17.54,20.39,15.41,24.73,21.49,21.93,22.85,27.30,17.89,31.71,29.58,17.85,24.50,28.32,17.26,29.06,19.40,30.34,30.86
1923,25.75,28.05,19.77,15.77,17.67,17.18,23.89,17.62,20.50,15.48,24.73,21.55,21.97,22.85,27.30,17.91,31.66,29.67,17.95,24.53,28.32,17.36,29.06,19.48,30.34,30.90
1924,25.74,28.06,19.74,15.71,17.63,17.12,23.89,17.62,20.44,15.41,24.70,21.48,21.92,22.85,27.30,17.86,31.70,29.62,17.94,24.48,28.32,17.35,29.06,19.46,30.34,30.86
1925,25.77,28.05,19.76,15.82,17.73,17.23,23.89,17.68,20.55,15.51,24.73,21.58,22.00,22.85,27.30,17.91,31.64,29.73,18.03,24.54,28.32,17.44,29.06,19.58,30.34,30.92
1926,26.06,28.06,19.78,16.48,18.45,17.74,23.89,18.22,21.21,15.84,24.77,21.90,22.22,22.85,27.30,18.02,31.76,30.41,18.77,24.65,28.32,18.22,29.06,20.28,30.34,31.11
1927,25.99,28.06,19.78,16.43,18.26,17.70,23.89,17.89,21.14,15.80,24.77,21.87,22.21,22.85,27.30,18.02,31.70,30.35,18.40,24.63,28.32,17.96,29.06,19.82,30.34,31.10
1928,26.01,28.06,19.78,16.44,18.35,17.70,23.89,18.08,21.16,15.81,24.77,21.88,22.21,22.85,27.30,18.02,31.70,30.36,18.60,24.64,28.32,18.09,29.06,20.05,30.34,31.10
1929,25.95,28.06,19.78,16.30,18.14,17.60,23.89,17.85,21.02,15.74,24.76,21.82,22.16,22.85,27.30,18.00,31.71,30.22,18.31,24.61,28.32,17.84,29.06,19.77,30.34,31.06
1930,25.84,28.06,19.78,15.90,17.90,17.27,23.89,17.87,20.64,15.52,24.76,21.60,22.01,22.85,27.30,17.95,31.73,29.80,18.30,24.56,28.32,17.65,29.06,19.84,30.34,30.93
1931,25.82,28.07,19.78,15.84,17.49,17.27,23.89,17.40,20.61,15.61,24.76,21.68,22.07,22.85,27.30,17.97,31.78,29.96,17.61,24.58,28.32,17.27,29.06,19.12,30.34,31.00
1932,25.83,28.06,19.78,15.94,17.94,17.34,23.89,17.93,20.67,15.57,24.76,21.68,22.03,22.85,27.30,17.97,31.64,29.83,18.33,24.57,28.32,17.69,29.06,19.83,30.34,30.94
1933,25.82,28.06,19.78,15.89,18.12,17.22,23.89,18.13,20.58,15.42,24.75,21.51,21.94,22.85,27.30,17.92,31.63,29.68,18.64,24.53,28.32,17.84,29.06,20.13,30.34,30.90
1934,25.80,28.05,19.78,15.87,18.01,17.22,23.89,18.03,20.58,15.45,24.75,21.55,21.96,22.85,27.30,17.93,31.60,29.69,18.47,24.54,28.32,17.76,29.06,19.93,30.34,30.90
1935,25.83,28.06,19.78,15.92,18.00,17.27,23.89,18.02,20.65,15.49,24.76,21.57,22.00,22.85,27.30,17.94,31.65,29.80,18.46,24.55,28.32,17.77,29.06,19.96,30.34,30.93
1936,25.90,28.06,19.78,16.07,18.08,17.41,23.89,18.04,20.79,15.60,24.76,21.70,22.06,22.85,27.30,17.97,31.72,29.95,18.47,24.58,28.32,17.85,29.06,20.00,30.34,30.98
1937,26.07,28.09,20.26,16.08,18.03,17.48,23.95,18.14,20.85,15.85,25.43,21.87,22.49,23.08,27.30,18.49,31.79,30.06,18.40,25.21,28.32,17.82,29.36,19.89,30.34,31.53
1938,25.98,28.09,20.25,15.86,18.02,17.22,23.95,18.25,20.63,15.56,25.39,21.59,22.28,23.07,27.30,18.35,31.74,29.80,18.55,25.09,28.32,17.83,29.35,20.05,30.34,31.40
1939,26.17,28.09,20.28,16.40,18.55,17.77,23.95,18.59,21.13,16.05,25.45,22.12,22.65,23.08,27.30,18.61,31.69,30.22,19.02,25.29,28.32,18.27,29.37,20.48,30.34,31.59
1940,26.39,28.10,20.49,16.67,18.86,18.03,23.98,18.92,21.38,16.31,25.74,22.36,22.93,23.19,27.31,18.89,31.88,30.45,19.36,25.60,28.32,18.59,29.49,20.81,30.34,31.88
1941,26.57,28.13,20.69,16.92,18.84,18.39,24.01,18.78,21.62,16.81,26.06,22.82,23.42,23.27,27.31,19.29,32.03,30.67,19.13,26.04,28.32,18.45,29.62,20.56,30.34,32.30
1942,26.37,28.12,20.74,16.46,18.62,17.84,24.01,18.70,21.20,16.23,26.08,22.22,23.00,23.30,27.31,19.05,31.87,30.31,19.07,25.87,28.32,18.32,29.65,20.46,30.34,32.11
1943,27.06,29.73,21.80,17.01,19.02,18.48,25.69,18.66,21.72,16.97,26.74,22.96,23.72,24.77,29.07,19.89,32.42,30.71,19.17,26.48,30.07,18.43,30.91,20.33,32.04,32.56
1944,26.88,29.77,21.41,16.73,18.71,18.22,25.65,18.38,21.42,16.68,26.30,22.68,23.36,24.56,29.08,19.48,32.48,30.40,18.82,26.06,30.16,18.12,30.75,20.01,32.16,32.16
1945,26.60,29.15,21.06,16.46,18.40,17.99,25.02,18.32,21.16,16.42,26.07,22.46,23.10,24.04,28.41,19.19,32.25,30.23,18.60,25.82,29.48,17.92,30.28,20.00,31.48,32.00
1946,26.15,28.77,20.60,15.88,17.87,17.38,24.64,17.72,20.60,15.76,25.53,21.81,22.42,23.64,28.04,18.50,32.03,29.71,18.13,25.18,29.05,17.40,29.85,19.57,31.07,31.42
1947,25.85,28.06,20.03,15.71,17.68,17.23,23.87,17.44,20.44,15.63,25.16,21.68,22.26,22.92,27.26,18.27,31.74,29.56,17.92,24.95,28.30,17.21,29.22,19.33,30.34,31.25
1948,25.70,28.24,19.82,15.43,17.34,16.89,24.02,17.10,20.17,15.29,24.79,21.32,21.91,22.93,27.44,17.89,31.81,29.35,17.54,24.56,28.52,16.86,29.15,19.02,30.58,30.89
