Variable:,tasmin
,"Christmas Island","Administrative unit not available"
1901,19.78,19.78
1902,19.66,19.66
1903,19.69,19.69
1904,19.73,19.73
1905,19.85,19.85
1906,19.80,19.80
1907,19.58,19.58
1908,19.84,19.84
1909,19.73,19.73
1910,19.67,19.67
1911,19.63,19.63
1912,19.85,19.85
1913,19.81,19.81
1914,19.95,19.95
1915,19.97,19.97
1916,19.58,19.58
1917,19.86,19.86
1918,19.80,19.80
1919,19.83,19.83
1920,19.87,19.87
1921,19.65,19.65
1922,19.72,19.72
1923,19.77,19.77
1924,19.95,19.95
1925,19.89,19.89
1926,20.08,20.08
1927,20.00,20.00
1928,19.98,19.98
1929,19.84,19.84
1930,20.06,20.06
1931,20.25,20.25
1932,19.95,19.95
1933,19.93,19.93
1934,19.85,19.85
1935,19.98,19.98
1936,20.07,20.07
1937,20.03,20.03
1938,20.07,20.07
1939,20.02,20.02
1940,20.02,20.02
1941,20.38,20.38
1942,20.35,20.35
1943,19.83,19.83
1944,20.13,20.13
1945,20.17,20.17
1946,20.49,20.49
1947,20.47,20.47
1948,20.29,20.29
1949,20.17,20.17
1950,19.98,19.98
1951,20.09,20.09
1952,20.13,20.13
1953,20.28,20.28
1954,20.14,20.14
1955,19.98,19.98
1956,20.02,20.02
1957,20.28,20.28
1958,20.29,20.29
1959,20.45,20.45
1960,20.45,20.45
1961,20.06,20.06
1962,20.39,20.39
1963,20.10,20.10
1964,20.57,20.57
1965,20.21,20.21
1966,20.63,20.63
1967,20.43,20.43
1968,20.68,20.68
1969,20.88,20.88
1970,20.83,20.83
1971,20.51,20.51
1972,20.49,20.49
1973,20.65,20.65
1974,19.93,19.93
1975,20.23,20.23
1976,19.80,19.80
1977,20.01,20.01
1978,20.20,20.20
1979,20.29,20.29
1980,20.36,20.36
1981,20.60,20.60
1982,19.74,19.74
1983,20.46,20.46
1984,20.29,20.29
1985,20.45,20.45
1986,20.38,20.38
1987,20.53,20.53
1988,20.63,20.63
1989,20.66,20.66
1990,20.50,20.50
1991,20.57,20.57
1992,20.72,20.72
1993,20.82,20.82
1994,20.78,20.78
1995,20.89,20.89
1996,20.86,20.86
1997,20.84,20.84
1998,21.07,21.07
1999,20.77,20.77
2000,20.88,20.88
2001,20.76,20.76
2002,20.58,20.58
2003,20.45,20.45
2004,20.86,20.86
2005,21.17,21.17
2006,20.62,20.62
2007,21.01,21.01
2008,21.05,21.05
2009,21.10,21.10
2010,21.50,21.50
2011,21.08,21.08
2012,21.18,21.18
2013,21.29,21.29
2014,21.02,21.02
2015,21.00,21.00
2016,21.21,21.21
2017,21.23,21.23
2018,21.12,21.12
2019,21.31,21.31
2020,21.26,21.26
