Variable:,tasmax
,Bhutan,Bumthang,Chhukha,Gasa,Lhuentse,Monggar,Paro,Punakha,Thimphu,Trashiyangtse,Trashigang,Trongsa,Tsirang,Wangduephodrang,Dagana,Haa,Pemagatshel,Samdrupjongkhar,Samtse,Sarpang,Zhemgang
1901,16.93,13.24,20.20,8.17,16.37,22.11,9.04,11.04,9.51,17.15,19.62,17.33,21.79,15.18,18.70,12.81,25.13,24.37,20.67,23.41,22.14
1902,16.78,13.06,20.09,8.05,16.18,21.94,8.91,10.95,9.40,16.93,19.43,17.19,21.65,15.05,18.58,12.68,24.95,24.17,20.57,23.28,21.99
1903,16.87,13.20,20.13,8.13,16.33,22.06,8.97,11.01,9.46,17.10,19.58,17.28,21.73,15.14,18.64,12.74,25.06,24.31,20.60,23.35,22.07
1904,16.76,13.07,20.04,8.01,16.18,21.96,8.85,10.88,9.34,16.97,19.48,17.18,21.63,15.04,18.54,12.62,24.98,24.21,20.49,23.25,21.98
1905,16.22,12.54,19.50,7.48,15.66,21.40,8.32,10.36,8.81,16.44,18.93,16.63,21.09,14.49,18.00,12.09,24.41,23.66,19.97,22.71,21.42
1906,16.82,13.13,20.09,8.09,16.26,22.00,8.94,10.97,9.42,17.03,19.52,17.22,21.67,15.09,18.59,12.71,25.00,24.24,20.57,23.28,22.00
1907,16.80,13.10,20.10,8.02,16.23,21.98,8.91,10.91,9.38,16.99,19.51,17.20,21.67,15.06,18.59,12.70,24.99,24.24,20.57,23.29,22.00
1908,17.23,13.52,20.55,8.44,16.65,22.42,9.33,11.35,9.82,17.42,19.93,17.64,22.12,15.49,19.05,13.12,25.45,24.69,21.00,23.75,22.47
1909,17.14,13.46,20.38,8.37,16.58,22.37,9.20,11.23,9.69,17.38,19.88,17.55,21.99,15.40,18.90,12.96,25.37,24.62,20.83,23.62,22.36
1910,16.72,13.04,19.98,7.94,16.17,21.92,8.79,10.81,9.28,16.95,19.45,17.12,21.57,14.97,18.49,12.57,24.94,24.20,20.43,23.20,21.94
1911,16.58,12.87,19.87,7.82,16.02,21.77,8.66,10.70,9.16,16.80,19.30,16.98,21.44,14.84,18.38,12.43,24.79,24.06,20.31,23.07,21.79
1912,16.75,13.08,20.02,7.98,16.20,21.93,8.83,10.85,9.31,16.97,19.46,17.17,21.62,15.02,18.52,12.61,24.95,24.19,20.48,23.24,21.96
1913,16.49,12.80,19.75,7.75,15.96,21.70,8.57,10.62,9.07,16.74,19.22,16.89,21.33,14.76,18.26,12.34,24.70,23.93,20.22,22.95,21.68
1914,16.76,13.05,20.07,7.98,16.19,21.97,8.88,10.86,9.34,16.96,19.48,17.16,21.63,15.02,18.56,12.66,24.99,24.21,20.52,23.26,21.98
