Variable:,tasmax
,Turkmenistan,Chardzhou,"Administrative unit not available",Mary,Tashauz,Balkan,Ahal
2002,22.95,23.91,20.88,24.74,21.19,21.64,23.72
2003,21.82,22.70,19.81,23.61,19.94,20.62,22.63
2004,22.99,23.95,21.31,24.57,21.46,21.77,23.60
2005,22.80,23.64,21.21,24.18,21.31,21.75,23.44
2006,22.86,23.73,21.00,24.55,20.99,21.71,23.63
2007,22.68,23.60,21.20,24.15,21.14,21.56,23.28
2008,22.31,23.20,20.55,23.90,20.59,21.14,23.07
2009,22.41,23.38,20.60,24.03,20.68,21.16,23.16
2010,23.66,24.48,21.95,25.34,21.80,22.49,24.49
2011,21.81,22.84,19.94,23.61,19.94,20.45,22.57
2012,22.31,23.01,20.93,23.81,20.50,21.33,23.08
2013,23.25,24.12,21.35,24.94,21.54,22.00,24.02
2014,22.16,22.89,20.64,23.81,20.19,21.12,22.96
2015,22.64,23.56,20.94,24.28,20.89,21.44,23.35
2016,23.02,24.16,20.83,24.88,21.24,21.53,23.78
2017,22.86,23.71,21.15,24.50,21.03,21.76,23.59
2018,22.89,23.79,21.15,24.61,20.95,21.73,23.67
2019,23.06,24.03,21.27,24.73,21.37,21.77,23.80
2020,22.24,23.00,20.90,23.65,20.76,21.20,22.87
