Variable:,tasmax
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1973,27.37,31.27,31.52,25.32,25.68,23.75,17.44,17.05,31.01,26.87
1974,26.72,31.00,30.93,24.69,24.74,23.04,16.55,16.36,30.33,26.47
1975,27.15,31.38,31.39,25.36,25.18,23.27,16.80,16.80,30.80,27.17
1976,27.13,31.36,31.54,25.10,25.29,23.51,16.96,16.62,30.66,26.76
1977,27.11,31.27,31.24,25.19,25.14,23.38,17.01,16.88,30.72,27.05
1978,27.10,31.20,31.19,25.32,25.00,23.11,16.67,16.73,30.91,27.41
1979,27.22,31.46,31.41,25.30,25.35,23.51,17.21,17.01,30.74,27.13
1980,27.54,31.39,31.47,25.95,25.88,23.84,17.86,17.67,31.03,27.66
1981,27.00,31.13,31.13,25.16,25.17,23.30,17.11,16.87,30.53,26.90
1982,27.26,31.27,31.29,25.37,25.56,23.64,17.61,17.24,30.76,26.98
1983,27.93,31.80,31.99,26.25,26.62,24.66,18.85,18.10,31.10,27.54
1984,27.00,31.32,31.23,24.84,25.22,23.26,17.03,16.54,30.66,26.36
1985,27.45,31.56,31.58,25.62,25.66,23.53,17.34,17.10,31.16,27.20
1986,27.54,31.38,31.54,25.87,25.75,23.57,17.44,17.41,31.25,27.58
1987,28.12,32.16,32.31,26.34,26.58,24.50,18.37,17.99,31.54,27.73
1988,27.91,31.97,32.19,26.12,26.33,24.13,17.84,17.40,31.52,27.63
1989,27.20,31.22,31.29,25.54,25.40,23.33,17.14,17.11,30.75,27.52
1990,27.27,31.23,31.21,25.61,25.45,23.32,17.26,17.17,30.97,27.40
1991,27.83,31.42,31.70,26.37,26.25,23.79,17.93,17.80,31.55,27.99
1992,27.28,31.42,31.36,25.49,25.77,23.68,17.54,17.26,30.68,27.12
1993,27.71,31.56,31.71,26.16,26.16,23.84,17.85,17.68,31.26,27.87
1994,28.14,32.06,32.33,26.46,26.40,24.29,17.89,17.88,31.75,28.24
1995,27.61,31.82,31.79,25.89,25.66,23.68,17.25,17.29,31.27,27.67
1996,27.08,31.53,31.43,25.19,25.07,23.16,16.57,16.65,30.74,26.94
1997,27.66,31.75,31.74,25.83,25.67,23.72,17.44,17.53,31.36,27.69
1998,27.66,32.12,32.04,25.58,25.79,24.06,17.58,17.28,31.15,27.10
1999,27.00,31.17,31.21,24.89,24.96,23.01,16.63,16.52,30.87,26.48
2000,27.15,31.48,31.44,25.09,25.15,23.17,16.75,16.67,30.94,26.73
2001,27.43,31.44,31.47,25.80,25.65,23.33,17.12,17.09,31.26,27.38
2002,27.39,31.69,31.60,25.50,25.22,23.38,16.94,16.97,31.17,27.30
2003,27.21,31.37,31.30,25.48,25.12,23.48,17.11,17.12,30.75,27.54
2004,27.42,31.80,31.75,25.39,25.50,23.59,17.17,17.00,31.04,27.12
2005,27.15,31.68,31.42,25.35,25.01,23.16,16.64,16.82,30.80,27.25
2006,27.43,31.65,31.60,25.63,25.36,23.46,17.15,17.15,31.12,27.51
2007,27.08,31.52,31.35,25.18,25.06,23.15,16.68,16.66,30.75,26.91
2008,27.05,31.27,31.25,25.27,25.07,23.21,16.88,16.80,30.65,27.04
2009,27.12,31.48,31.18,25.35,25.00,23.38,17.01,16.99,30.69,27.34
2010,27.51,31.87,31.74,25.72,25.66,23.78,17.36,17.27,31.01,27.41
2011,27.19,31.66,31.51,25.22,25.15,23.26,16.68,16.69,30.91,26.99
2012,27.26,31.57,31.35,25.51,25.20,23.32,16.98,17.05,30.93,27.50
2013,26.91,31.38,30.97,25.25,24.72,23.00,16.53,16.77,30.55,27.34
2014,27.46,31.71,31.49,25.76,25.41,23.41,17.06,17.12,31.28,27.59
2015,27.80,32.19,31.98,25.85,25.73,23.92,17.44,17.34,31.56,27.50
2016,27.83,32.12,32.14,25.93,26.10,24.37,18.07,17.55,31.21,27.38
2017,27.54,31.76,31.54,25.84,25.55,23.64,17.42,17.34,31.22,27.72
2018,27.23,31.36,31.20,25.55,25.37,23.34,17.24,17.06,30.89,27.31
2019,27.49,31.86,31.72,25.59,25.48,23.66,17.23,17.08,31.17,27.22
2020,28.04,32.08,32.10,26.43,26.02,24.08,17.72,17.73,31.77,28.45
