Variable:,tas
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1946,8.62,10.09,10.34,8.36,5.76,11.07,8.96,10.73,5.19,11.43,9.29,8.43,12.24,10.29,9.49,10.37
1947,8.67,9.72,10.60,8.30,6.04,11.29,9.08,10.91,5.41,11.62,9.45,8.71,11.94,10.02,9.78,10.54
1948,8.57,10.04,10.21,8.44,5.86,10.96,8.95,10.71,5.06,11.28,9.29,8.42,11.98,10.05,9.40,10.36
1949,8.65,9.60,10.53,8.30,6.24,11.11,8.90,10.60,5.56,11.39,9.23,8.79,11.85,9.90,9.81,10.30
1950,8.47,9.76,10.13,8.47,5.65,10.93,9.04,10.78,5.03,11.38,9.39,8.23,11.77,9.83,9.28,10.46
1951,8.88,9.86,10.96,8.55,6.31,11.65,9.16,11.03,5.68,11.85,9.57,9.08,11.90,9.97,10.16,10.57
1952,9.01,9.70,11.28,8.51,6.72,11.90,9.18,10.93,6.02,11.82,9.50,9.36,11.97,10.08,10.44,10.52
1953,8.97,10.15,11.00,8.66,6.36,11.59,9.17,10.86,5.59,11.67,9.52,9.20,12.29,10.28,10.30,10.56
1954,8.58,9.59,10.81,8.17,6.09,11.34,8.69,10.45,5.26,11.29,9.03,9.07,11.85,9.87,10.12,10.07
1955,8.41,9.34,10.58,7.83,5.92,11.27,8.37,10.49,5.31,11.30,9.03,8.76,11.58,9.62,9.85,9.96
1956,8.35,8.91,10.55,7.55,6.17,11.17,8.10,10.18,5.86,11.02,8.69,8.80,11.34,9.48,9.85,9.64
1957,8.80,9.93,10.79,8.38,6.15,11.42,8.93,10.97,5.37,11.69,9.55,8.96,12.48,10.46,10.06,10.50
1958,8.80,10.05,10.68,8.39,6.26,11.22,8.90,10.74,5.33,11.48,9.33,9.07,12.45,10.63,10.10,10.36
1959,8.52,9.77,10.36,8.02,6.11,10.98,8.64,10.36,4.99,11.26,8.96,8.78,12.14,10.27,9.79,10.03
1960,8.84,9.74,10.82,8.55,6.46,11.38,9.09,10.92,5.70,11.74,9.50,9.12,11.72,9.80,10.16,10.54
1961,8.64,10.45,10.38,8.80,5.37,11.14,9.22,10.89,4.72,11.62,9.50,8.39,12.16,10.24,9.64,10.54
1962,8.94,9.73,10.95,8.49,6.84,11.32,8.94,10.75,6.11,11.50,9.30,9.50,11.70,9.82,10.43,10.32
1963,8.61,10.09,10.29,8.37,5.97,10.81,8.75,10.36,5.18,11.12,8.98,8.76,12.23,10.18,9.82,10.06
1964,8.46,9.70,10.20,8.08,5.94,10.77,8.64,10.38,5.21,11.11,8.92,8.72,11.77,9.91,9.71,10.00
1965,8.74,10.14,10.30,8.66,5.82,11.02,9.13,10.78,5.46,11.48,9.36,8.52,12.31,10.55,9.63,10.45
1966,8.55,9.78,10.07,8.21,6.42,10.61,8.58,10.23,5.41,10.93,8.82,8.56,11.99,10.33,9.51,9.91
1967,8.64,10.02,9.99,8.56,6.28,10.57,8.71,10.36,5.50,11.03,9.06,8.50,12.06,10.22,9.34,10.12
1968,8.88,9.86,10.58,8.49,6.71,11.12,8.95,10.67,6.01,11.38,9.31,8.95,11.95,10.07,9.98,10.39
1969,8.96,10.60,10.00,9.16,6.24,10.71,9.37,10.98,5.41,11.43,9.68,8.60,12.83,11.02,9.38,10.72
1970,8.78,10.10,10.25,8.75,6.23,10.87,9.08,10.63,5.55,11.29,9.35,8.56,12.18,10.41,9.54,10.43
1971,8.20,9.54,9.77,8.26,5.30,10.58,8.75,10.47,4.76,11.17,9.10,7.88,11.61,9.78,8.84,10.16
1972,8.54,10.18,10.06,8.60,5.50,10.70,8.88,10.36,5.07,11.05,9.04,8.24,12.44,10.63,9.34,10.14
1973,8.45,9.87,9.94,8.34,5.84,10.56,8.62,10.14,5.12,10.82,8.78,8.36,12.25,10.54,9.29,9.83
1974,8.36,9.53,9.96,7.97,5.85,10.65,8.35,10.18,5.57,10.91,8.77,8.19,11.78,9.90,9.20,9.80
1975,8.46,9.64,10.12,8.21,6.02,10.69,8.58,10.28,5.49,10.96,8.90,8.56,11.64,9.69,9.42,9.97
1976,8.24,9.55,9.84,8.00,5.66,10.50,8.43,10.21,5.01,10.89,8.79,8.19,11.71,9.84,9.12,9.84
1977,8.93,10.30,10.82,8.91,6.11,11.45,9.31,11.04,5.38,11.76,9.58,9.07,12.10,10.02,10.09,10.63
1978,8.94,10.12,10.61,8.72,6.55,11.23,9.09,10.82,5.95,11.54,9.35,9.14,11.79,9.73,9.92,10.39
1979,8.77,9.96,10.51,8.13,6.51,10.94,8.69,10.41,5.95,11.14,8.96,9.20,11.90,9.90,9.98,10.02
1980,8.85,10.38,10.52,8.78,6.06,11.25,9.17,10.95,5.29,11.67,9.41,8.78,12.31,10.20,9.74,10.45
1981,8.86,10.14,10.64,8.67,6.26,11.37,9.07,10.89,5.73,11.68,9.39,8.79,11.91,9.86,9.77,10.45
1982,8.86,10.36,10.50,8.92,5.89,11.19,9.33,10.88,5.49,11.52,9.48,8.64,12.35,10.33,9.63,10.57
1983,8.96,10.37,10.31,8.56,6.60,10.86,8.87,10.33,6.03,11.06,8.96,8.73,13.06,11.26,9.52,10.04
1984,8.24,9.74,9.68,8.03,5.58,10.33,8.44,9.90,5.05,10.57,8.54,8.06,12.00,10.21,8.95,9.63
1985,8.98,10.06,10.71,8.63,6.67,11.24,9.12,10.65,6.06,11.41,9.34,9.13,12.10,10.25,9.98,10.41
1986,8.84,10.43,10.29,9.12,5.89,11.09,9.52,10.95,5.30,11.54,9.70,8.43,12.16,10.08,9.33,10.79
1987,9.24,10.57,10.90,8.88,6.71,11.47,9.29,10.85,6.04,11.65,9.51,9.29,12.97,11.12,10.16,10.58
1988,8.62,9.82,9.96,8.31,6.22,10.65,8.84,10.41,5.83,11.04,9.18,8.36,11.99,10.32,9.08,10.28
1989,9.02,10.22,10.56,9.05,6.43,11.27,9.47,11.13,5.92,11.74,9.84,8.85,12.01,9.99,9.60,10.90
1990,8.84,10.10,10.43,8.57,6.48,11.11,8.99,10.68,5.79,11.40,9.37,8.67,12.03,10.13,9.42,10.45
1991,8.73,10.40,10.17,8.97,5.57,11.05,9.42,10.95,5.20,11.49,9.67,8.15,12.28,10.29,9.19,10.76
1992,8.63,10.23,10.21,8.38,5.79,10.97,8.85,10.64,5.29,11.32,9.30,8.29,12.27,10.30,9.33,10.39
1993,8.92,10.39,10.47,8.64,6.23,11.29,9.03,10.87,5.85,11.60,9.49,8.48,12.38,10.45,9.47,10.49
1994,9.18,10.80,10.73,9.48,6.19,11.58,9.86,11.51,5.36,12.02,10.20,8.83,12.51,10.57,9.78,11.15
1995,8.86,10.35,10.38,9.16,5.94,11.11,9.36,10.92,5.36,11.50,9.58,8.66,12.20,10.28,9.49,10.66
1996,8.84,9.99,10.45,8.71,6.35,11.11,9.15,10.79,5.91,11.46,9.43,8.83,11.71,9.76,9.66,10.46
1997,9.20,11.00,10.97,9.56,5.99,11.68,9.78,11.28,5.15,11.99,9.89,9.15,12.69,10.61,10.21,11.01
1998,9.32,10.39,10.88,8.76,7.23,11.40,9.24,10.88,6.47,11.63,9.45,9.60,12.69,10.86,10.30,10.54
1999,8.80,9.84,10.74,8.25,6.46,11.32,8.82,10.63,5.86,11.49,9.17,9.15,11.79,9.81,10.07,10.26
2000,8.42,9.91,10.16,8.11,5.49,10.87,8.61,10.40,5.08,11.15,8.99,8.44,11.96,10.06,9.47,10.09
2001,8.74,10.19,10.55,8.63,5.83,11.29,9.14,10.90,5.27,11.60,9.54,8.77,11.92,9.90,9.80,10.59
2002,8.61,10.31,10.29,8.66,5.62,10.88,9.04,10.65,4.88,11.25,9.31,8.68,12.04,10.01,9.65,10.41
2003,9.05,10.48,10.49,9.14,6.26,11.32,9.57,11.44,5.74,11.90,10.11,8.84,11.92,9.89,9.66,11.04
2004,9.19,10.27,10.83,8.90,6.86,11.41,9.24,10.98,6.44,11.65,9.52,9.26,12.21,10.30,10.07,10.54
2005,8.75,10.13,10.30,8.69,6.06,10.94,9.12,10.72,5.66,11.32,9.29,8.64,11.87,9.89,9.52,10.37
2006,9.17,10.69,10.54,9.49,6.20,11.33,9.84,11.40,5.83,11.88,10.09,8.78,12.34,10.21,9.67,11.11
2007,8.37,9.72,9.73,8.26,5.96,10.37,8.55,10.06,5.39,10.67,8.72,8.25,11.61,9.66,8.99,9.81
2008,9.12,10.05,11.13,8.87,6.85,11.71,9.37,11.16,5.99,11.97,9.75,9.55,11.65,9.59,10.46,10.79
2009,9.02,10.41,10.38,9.23,6.36,11.22,9.69,11.26,5.63,11.75,9.98,8.65,12.06,10.06,9.54,11.01
2010,8.70,10.14,10.04,8.60,6.06,10.77,9.04,10.65,5.65,11.21,9.33,8.37,11.98,10.11,9.27,10.37
2011,8.95,10.11,10.53,8.69,6.65,11.15,9.18,10.81,6.00,11.50,9.46,8.97,11.84,9.90,9.84,10.50
2012,9.16,10.61,10.73,9.35,6.48,11.43,9.80,11.29,5.72,11.89,9.97,9.00,11.97,9.92,9.97,11.01
2013,9.18,10.28,10.94,9.10,6.84,11.52,9.60,11.22,6.10,11.87,9.86,9.34,11.66,9.67,10.24,10.86
2014,9.07,10.49,10.75,8.95,6.41,11.42,9.42,11.22,5.64,11.89,9.82,8.96,12.20,10.25,9.96,10.81
2015,9.35,10.84,11.11,9.24,6.74,11.70,9.63,11.31,5.76,12.02,9.93,9.41,12.60,10.62,10.40,10.97
2016,9.33,10.46,11.10,8.85,6.88,11.74,9.49,11.29,6.27,12.03,9.88,9.40,12.64,10.76,10.41,10.98
2017,9.37,10.72,10.99,9.26,6.71,11.68,9.75,11.43,6.10,12.13,10.06,9.28,12.51,10.55,10.25,11.13
2018,9.07,10.29,10.69,8.81,6.51,11.42,9.44,11.18,5.95,11.87,9.82,8.97,12.19,10.25,9.92,10.84
2019,9.17,10.42,10.96,8.76,6.52,11.69,9.48,11.47,5.89,12.14,10.07,9.12,12.37,10.46,10.17,11.06
2020,9.46,10.84,11.13,9.25,6.73,11.86,9.87,11.69,6.17,12.31,10.36,9.29,12.63,10.69,10.32,11.34
