Variable:,tasmin
,Tonga,"Administrative unit not available"
1901,21.63,21.85
1902,21.64,21.85
1903,21.58,21.73
1904,21.51,21.63
1905,21.53,21.66
1906,21.65,21.88
1907,21.53,21.67
1908,21.53,21.65
1909,21.48,21.57
1910,21.40,21.41
1911,21.54,21.66
1912,21.68,21.91
1913,21.61,21.80
1914,21.75,22.02
1915,21.60,21.78
1916,21.53,21.66
1917,21.46,21.56
1918,21.50,21.59
1919,21.73,21.97
1920,21.64,21.82
1921,21.97,22.20
1922,22.13,22.39
1923,21.47,21.63
1924,21.93,22.11
1925,21.65,21.86
1926,21.67,21.91
1927,21.81,22.06
1928,21.63,21.88
1929,21.43,21.69
1930,21.40,21.68
1931,21.58,21.79
1932,21.75,21.96
1933,21.72,21.86
1934,21.69,21.87
1935,21.98,22.19
1936,21.71,21.91
1937,21.64,21.84
1938,22.01,22.19
1939,21.54,21.69
1940,21.52,21.80
1941,21.68,21.99
1942,21.75,22.03
1943,21.70,21.95
1944,21.28,21.57
1945,21.53,21.82
1946,21.48,21.77
1947,21.64,21.93
1948,21.54,21.76
1949,21.62,21.91
1950,21.93,22.21
1951,21.36,21.73
1952,21.90,22.24
1953,21.65,21.99
1954,21.92,22.27
1955,21.99,22.24
1956,21.66,21.91
1957,21.58,21.89
1958,21.78,22.10
1959,22.07,22.38
1960,21.78,22.08
1961,21.97,22.26
1962,21.67,21.97
1963,21.61,21.93
1964,21.80,22.07
1965,21.05,21.39
1966,21.43,21.76
1967,21.81,22.04
1968,21.36,21.66
1969,21.43,21.76
1970,21.94,22.18
1971,21.73,21.91
1972,21.69,21.98
1973,22.21,22.42
1974,21.86,21.99
1975,22.01,22.18
1976,21.43,21.67
1977,21.55,21.84
1978,21.46,21.74
1979,21.66,21.91
1980,21.69,21.99
1981,21.48,21.75
1982,21.53,21.85
1983,21.81,22.11
1984,21.98,22.21
1985,21.86,22.13
1986,21.59,21.88
1987,21.43,21.73
1988,22.58,22.79
1989,21.97,22.20
1990,22.12,22.40
1991,21.78,22.12
1992,21.86,22.20
1993,21.86,22.23
1994,22.00,22.33
1995,22.04,22.34
1996,22.18,22.48
1997,21.78,22.14
1998,22.33,22.62
1999,22.29,22.51
2000,22.27,22.54
2001,22.40,22.69
2002,21.80,22.23
2003,21.81,22.23
2004,21.92,22.30
2005,22.07,22.50
2006,21.88,22.28
2007,22.01,22.48
2008,21.87,22.28
2009,21.82,22.22
2010,21.94,22.34
2011,22.18,22.42
2012,21.84,22.21
2013,21.97,22.37
2014,21.86,22.22
2015,21.63,22.06
2016,22.33,22.68
2017,22.26,22.60
2018,21.95,22.34
2019,22.05,22.48
2020,22.43,22.73
