Variable:,tasmax
,Mali,Bamako,Gao,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou
1901,35.06,34.18,35.89,35.15,34.53,34.63,35.19,34.77,33.59,35.21
1902,35.42,34.50,36.13,35.54,34.75,35.09,35.84,35.42,33.85,35.55
1903,35.60,34.28,36.63,35.31,35.22,34.85,35.90,35.20,33.67,35.84
1904,35.62,34.30,36.53,35.17,35.21,34.91,36.06,35.40,33.73,35.89
1905,35.20,34.15,35.86,35.20,34.72,34.71,35.47,35.01,33.57,35.41
1906,35.34,34.04,36.70,35.17,35.00,34.59,35.76,34.98,33.53,35.38
1907,35.17,33.85,36.62,34.71,34.82,34.39,35.63,34.83,33.40,35.24
1908,35.66,34.42,37.03,35.46,35.09,35.03,36.14,35.42,33.79,35.73
1909,35.65,34.40,36.74,35.29,35.09,35.01,36.06,35.41,33.78,35.87
1910,35.43,34.31,36.65,35.36,34.94,34.87,35.95,35.25,33.75,35.43
1911,34.92,33.90,35.82,35.03,34.41,34.45,35.32,34.76,33.39,34.98
1912,35.51,34.49,36.51,35.49,34.97,35.05,36.08,35.46,33.90,35.55
1913,35.48,34.17,36.94,35.27,35.08,34.73,35.88,35.08,33.60,35.52
1914,35.64,34.19,37.30,35.15,35.32,34.78,36.26,35.33,33.73,35.64
1915,34.85,34.07,35.78,35.26,34.28,34.53,34.86,34.51,33.42,34.89
1916,34.22,33.70,35.11,34.85,33.62,34.03,34.04,33.83,33.03,34.20
1917,34.47,33.80,35.39,34.85,33.92,34.17,34.41,34.10,33.16,34.52
1918,34.25,33.67,35.02,34.92,33.68,34.04,34.13,33.85,32.95,34.27
1919,35.65,34.30,36.57,35.46,35.21,34.93,36.04,35.36,33.66,35.89
1920,35.62,34.18,36.70,35.05,35.22,34.82,36.05,35.36,33.70,35.89
1921,35.62,34.16,36.71,35.06,35.22,34.81,36.04,35.35,33.66,35.89
1922,35.02,33.91,36.08,34.80,34.55,34.46,35.20,34.71,33.39,35.18
1923,34.98,33.92,36.23,35.09,34.54,34.48,35.20,34.74,33.39,34.96
1924,35.49,34.03,36.71,34.95,35.17,34.67,35.87,35.19,33.54,35.69
1925,35.33,34.12,36.24,35.04,34.84,34.71,35.61,35.07,33.44,35.59
1926,35.21,33.80,36.45,34.94,34.84,34.44,35.41,34.81,33.33,35.36
1927,34.62,33.17,35.93,34.42,34.49,33.79,34.64,34.08,32.65,34.74
1928,34.79,33.24,36.20,34.40,34.74,33.84,34.77,34.13,32.69,34.96
1929,34.64,33.10,35.93,34.28,34.50,33.75,34.82,34.16,32.61,34.80
1930,35.04,33.40,36.60,34.41,35.06,34.04,35.29,34.56,32.97,35.12
1931,35.70,34.29,37.19,35.25,35.49,34.95,36.03,35.40,33.74,35.74
1932,35.28,33.98,36.64,35.00,34.82,34.57,35.73,35.02,33.47,35.36
1933,35.32,33.90,37.03,35.05,34.91,34.47,35.83,34.94,33.42,35.28
1934,35.36,34.09,37.00,35.12,34.90,34.70,35.98,35.22,33.65,35.25
1935,36.23,34.38,38.07,35.24,35.93,35.15,36.91,35.87,33.92,36.36
1936,35.86,34.27,37.43,35.31,35.50,34.93,36.15,35.31,33.61,36.04
1937,36.33,34.65,37.92,35.53,36.02,35.33,37.16,36.08,34.24,36.44
1938,36.44,34.87,38.28,35.60,36.13,35.55,37.24,36.25,34.39,36.42
1939,36.09,34.73,37.42,35.44,35.70,35.39,36.81,36.01,34.19,36.19
1940,35.68,34.35,36.63,35.25,35.27,34.95,36.06,35.40,33.80,35.94
1941,36.09,34.59,37.36,35.56,36.02,35.23,36.52,35.77,34.08,36.19
