Variable:,pr
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
1973,488.96,536.12,686.08,327.69,532.16,952.66,594.09,856.55,544.69,259.06
1974,652.58,815.87,718.25,472.68,870.69,942.12,613.02,765.61,678.79,469.14
1975,577.69,705.50,851.50,381.02,598.98,1061.82,695.45,926.05,723.72,308.27
1976,675.06,824.87,831.07,497.06,847.45,1075.43,680.91,796.27,800.98,439.56
1977,556.42,597.61,688.14,535.28,681.61,924.26,723.63,740.34,600.18,291.92
1978,496.09,593.97,727.93,279.99,589.79,1027.95,708.70,815.89,549.15,200.96
1979,418.51,525.67,631.66,316.67,598.06,704.09,459.87,624.75,467.59,185.98
1980,443.27,515.94,710.93,377.33,456.80,709.59,645.64,772.51,536.68,196.05
1981,538.19,680.30,657.41,516.82,718.84,894.06,606.40,778.14,553.95,245.88
1982,391.31,499.92,576.48,390.79,492.41,652.29,393.37,507.52,457.43,193.22
1983,423.13,499.86,634.84,369.05,513.69,820.29,438.12,727.03,399.59,206.45
1984,402.22,449.96,453.76,356.52,462.69,975.58,478.91,805.47,324.84,145.36
1985,504.31,524.53,634.64,499.74,732.25,893.62,587.00,712.98,399.98,253.56
1986,429.60,528.30,678.35,376.30,597.51,801.20,470.74,678.92,463.30,161.60
1987,473.83,618.61,764.18,364.90,502.29,1068.32,537.22,827.30,479.72,193.57
1988,593.84,846.55,615.88,354.63,739.41,1020.48,556.96,742.49,680.45,375.52
1989,514.35,590.28,726.52,451.28,677.42,963.91,556.58,774.55,559.03,236.85
1990,389.46,461.50,539.76,368.80,434.72,711.13,426.29,661.53,396.89,195.94
1991,508.01,677.24,625.61,378.38,611.22,900.47,521.64,671.91,538.31,299.70
1992,314.15,357.14,459.55,397.86,397.07,563.91,362.14,493.28,308.89,114.47
1993,450.47,546.74,694.23,435.52,587.65,836.48,495.10,723.14,410.02,194.96
1994,389.60,441.50,666.31,355.44,525.48,738.39,371.51,589.23,355.69,198.66
1995,502.24,590.45,819.81,454.01,613.48,903.78,569.94,767.01,552.47,233.54
1996,569.18,726.79,798.44,494.39,668.45,1059.17,698.95,895.49,605.77,243.88
1997,488.63,584.91,737.72,351.39,552.26,1055.67,599.27,813.47,550.59,201.77
1998,496.93,647.29,677.84,392.09,657.75,917.78,546.59,830.25,554.64,195.61
