Variable:,tasmin
,"American Samoa","Administrative unit not available"
1901,23.59,23.59
1902,23.44,23.44
1903,23.10,23.10
1904,22.94,22.94
1905,23.03,23.03
1906,23.72,23.72
1907,23.16,23.16
1908,22.92,22.92
1909,22.93,22.93
1910,22.68,22.68
1911,23.09,23.09
1912,23.59,23.59
1913,23.52,23.52
1914,23.88,23.88
1915,23.31,23.31
1916,23.09,23.09
1917,22.92,22.92
1918,22.97,22.97
1919,23.73,23.73
1920,23.45,23.45
1921,23.85,23.85
1922,24.21,24.21
1923,23.19,23.19
1924,23.78,23.78
1925,23.56,23.56
1926,23.76,23.76
1927,24.01,24.01
1928,23.74,23.74
1929,23.60,23.60
1930,23.70,23.70
1931,23.37,23.37
1932,23.64,23.64
1933,23.41,23.41
1934,23.45,23.45
1935,23.95,23.95
1936,23.59,23.59
1937,23.58,23.58
1938,23.93,23.93
1939,23.36,23.36
1940,23.70,23.70
1941,24.00,24.00
1942,23.89,23.89
1943,23.68,23.68
1944,23.53,23.53
1945,23.78,23.78
1946,23.38,23.38
1947,23.61,23.61
1948,23.24,23.24
1949,23.62,23.62
1950,23.87,23.87
1951,23.69,23.69
1952,24.04,24.04
1953,23.82,23.82
1954,24.12,24.12
1955,23.83,23.83
1956,23.59,23.59
1957,23.82,23.82
1958,23.89,23.89
1959,24.13,24.13
1960,23.88,23.88
1961,23.93,23.93
1962,23.88,23.88
1963,23.80,23.80
1964,23.69,23.69
1965,23.41,23.41
1966,23.64,23.64
1967,23.40,23.40
1968,23.47,23.47
1969,23.71,23.71
1970,23.71,23.71
1971,23.13,23.13
1972,23.68,23.68
1973,23.84,23.84
1974,23.03,23.03
1975,23.51,23.51
1976,23.23,23.23
1977,23.71,23.71
1978,23.63,23.63
1979,23.69,23.69
1980,23.93,23.93
1981,23.68,23.68
1982,23.78,23.78
1983,23.96,23.96
1984,23.77,23.77
1985,23.83,23.83
1986,23.87,23.87
1987,23.75,23.75
1988,24.14,24.14
1989,23.64,23.64
1990,24.33,24.33
1991,24.39,24.39
1992,24.56,24.56
1993,24.46,24.46
1994,24.33,24.33
1995,24.63,24.63
1996,24.58,24.58
1997,24.73,24.73
1998,24.89,24.89
1999,24.26,24.26
2000,24.52,24.52
2001,25.09,25.09
2002,25.34,25.34
2003,24.95,24.95
2004,24.91,24.91
2005,25.23,25.23
2006,24.81,24.81
2007,25.09,25.09
2008,24.86,24.86
2009,24.66,24.66
2010,24.53,24.53
2011,24.20,24.20
2012,24.58,24.58
2013,24.80,24.80
2014,24.61,24.61
2015,24.79,24.79
2016,25.23,25.23
2017,25.02,25.02
2018,24.79,24.79
2019,25.12,25.12
2020,24.94,24.94
