Variable:,pr
,Uganda,Abim,Amudat,Amuru,Apac,Budaka,Bugiri,Buikwe,Bukomansimbi,Bukwo,Bulambuli,Buliisa,Bundibugyo,Bushenyi,Buyende,Butambala,Iganga,Kalungu,Kamuli,Kapchorwa,Sheema,Kitgum,Kole,Kotido,Kween,Lamwo,Luuka,Manafwa,Masaka,Masindi,Moroto,Nakapiripirit,Namutumba,Napak,Nebbi,Ngora,Buhweju,Ntoroko,Maracha,Otuke,Oyam,Pader,Rubirizi,Sironko,Soroti,Zombo,Bukedea,Dokolo,Agago,Alebtong,Arua,Bududa,Buvuma,Gomba,Gulu,Kiboga,Kibuku,Kiryandongo,Kumi,Kyankwanzi,Mitooma,Kyegegwa,Kyenjojo,Mpigi,Nwoya,Serere,Lwengo,Mukono,Namayingo,Pallisa,Lira,Rakai,Lyantonde,Adjumani,Busia,Hoima,Jinja,Kabale,Kalangala,Kasese,Kibaale,Kisoro,Moyo,Ntungamo,Ssembabule,Kabarole,Kaberamaido,Kampala,Kamwenge,Kanungu,Kayunga,Mayuge,Nakasongola,Rukungiri,Wakiso,Yumbe,Amolatar,Amuria,Butaleja,Ibanda,Isingiro,Kaabong,Kaliro,Katakwi,Kiruhura,Koboko,Luwero,Mbale,Mbarara,Mityana,Mubende,Nakaseke,Tororo
1901,984.05,868.14,714.61,1133.53,1097.54,982.59,1036.87,1057.91,989.85,841.60,882.88,1037.74,1052.35,910.71,1029.22,961.69,1050.47,980.31,1033.34,898.77,878.95,971.50,1185.41,757.45,819.71,1068.01,1040.31,1130.98,1134.70,1080.53,635.05,739.84,1056.74,764.17,1064.15,998.32,950.28,1029.28,1322.76,1063.20,1199.03,1170.28,917.72,901.90,993.89,1359.70,899.36,1074.56,1034.78,1096.68,1167.78,916.20,1043.04,884.95,1226.28,855.41,1025.68,1120.00,953.87,926.32,898.86,845.81,910.47,986.94,1140.91,1034.27,926.38,1006.25,1062.38,1008.25,1163.42,1150.48,877.00,1051.73,1055.06,971.99,1048.62,1051.98,1009.96,984.23,888.91,1201.30,1000.90,852.00,862.46,981.77,1052.43,1017.10,877.88,981.41,993.05,1058.91,992.97,936.33,990.25,1102.14,1050.33,972.82,1069.83,897.44,860.71,752.74,1036.21,869.41,862.81,1207.56,958.97,991.28,835.62,924.82,837.98,918.42,1118.85
1902,1256.31,1010.71,993.53,1417.11,1407.36,1325.21,1355.76,1393.47,1297.12,1248.30,1216.98,1253.75,1226.15,1089.96,1383.59,1315.33,1399.06,1290.04,1391.13,1243.14,1045.66,1151.81,1463.35,867.04,1187.78,1329.79,1399.02,1509.47,1428.90,1370.53,791.24,1011.67,1402.42,969.77,1270.19,1330.71,1157.35,1211.48,1752.37,1277.47,1462.62,1399.11,1066.15,1242.85,1313.76,1594.55,1234.38,1371.39,1208.54,1342.91,1487.73,1263.69,1374.03,1221.53,1493.82,1211.38,1369.04,1391.60,1280.18,1267.55,1030.46,1156.64,1192.36,1333.45,1394.04,1370.57,1224.08,1355.48,1376.31,1351.59,1422.89,1417.57,1179.40,1374.27,1373.18,1222.99,1402.11,1120.00,1316.60,1135.70,1193.11,1252.70,1367.46,993.49,1177.82,1176.31,1366.86,1360.10,1110.41,1061.51,1352.59,1373.09,1337.73,1028.69,1341.89,1511.63,1373.75,1233.70,1423.46,1141.95,1082.04,842.83,1387.63,1150.55,1143.05,1643.85,1322.83,1346.42,1061.48,1280.10,1178.82,1271.46,1489.98
1903,1307.79,1002.81,1028.90,1272.52,1407.91,1464.96,1516.61,1569.93,1462.26,1257.00,1305.81,1217.64,1412.38,1209.07,1520.50,1461.66,1560.74,1449.89,1540.49,1337.16,1143.47,1083.29,1414.60,856.81,1215.51,1189.32,1556.34,1687.97,1640.17,1342.48,790.35,1054.78,1566.92,987.10,1176.22,1454.85,1291.51,1360.76,1428.46,1263.15,1397.37,1323.01,1224.41,1341.56,1394.28,1447.23,1333.84,1407.42,1170.00,1333.70,1282.01,1363.55,1551.38,1331.04,1387.98,1302.62,1533.54,1343.68,1400.42,1333.72,1153.49,1257.71,1320.57,1493.65,1288.77,1487.51,1357.17,1513.65,1546.12,1508.66,1383.97,1622.42,1291.70,1184.77,1535.41,1265.42,1565.20,1263.30,1491.18,1316.32,1278.99,1424.60,1154.20,1086.34,1284.90,1344.46,1435.91,1526.90,1243.78,1233.97,1475.41,1543.49,1414.57,1192.15,1500.32,1261.78,1407.37,1265.06,1587.97,1263.64,1182.14,807.62,1543.33,1205.60,1247.88,1360.54,1444.49,1476.68,1149.91,1410.11,1269.12,1364.15,1666.89
1904,1129.92,918.12,812.32,1234.47,1231.41,1142.73,1215.99,1289.22,1195.03,990.50,1007.01,1151.06,1167.05,1025.72,1226.22,1217.93,1247.73,1188.40,1242.83,1024.95,976.80,1035.02,1299.21,798.23,954.10,1148.14,1252.62,1315.14,1330.25,1241.74,686.67,838.30,1243.53,838.65,1143.42,1162.18,1095.03,1148.14,1452.66,1122.60,1310.87,1255.31,1014.46,1026.84,1138.78,1429.49,1026.38,1189.27,1094.41,1150.67,1267.84,1047.03,1232.25,1126.91,1332.12,1123.16,1206.67,1243.46,1108.58,1167.01,966.56,1081.82,1121.27,1225.00,1243.40,1201.94,1146.22,1244.76,1245.32,1183.44,1253.57,1346.82,1107.90,1161.29,1230.06,1137.19,1264.22,1046.77,1186.16,1083.84,1115.32,1176.40,1132.68,926.21,1097.29,1115.28,1187.31,1262.40,1047.28,1004.19,1213.52,1248.25,1194.39,973.34,1236.09,1245.86,1193.75,1067.62,1253.29,1077.92,1043.78,787.76,1229.12,982.96,1080.26,1357.92,1200.44,1139.09,1009.75,1185.11,1095.00,1162.74,1305.41
1905,1158.37,915.46,825.96,1246.92,1266.45,1168.38,1266.13,1365.38,1231.03,1004.80,1031.57,1170.11,1171.32,1072.53,1274.40,1255.51,1307.21,1224.85,1312.83,1050.33,1036.09,1024.80,1319.01,795.18,970.27,1122.93,1329.80,1338.24,1367.13,1266.32,691.87,854.24,1285.57,846.57,1168.93,1174.74,1133.80,1150.16,1461.75,1133.31,1331.93,1258.13,1035.86,1052.82,1151.10,1446.01,1051.31,1215.92,1094.39,1170.51,1290.15,1072.14,1296.31,1166.49,1345.96,1155.84,1228.29,1272.83,1125.17,1194.35,1016.74,1111.50,1144.65,1265.67,1269.80,1232.31,1187.89,1320.79,1297.81,1202.78,1272.13,1387.72,1151.90,1169.08,1271.31,1152.57,1343.52,1127.23,1247.78,1102.25,1136.84,1259.20,1111.35,994.05,1136.37,1124.73,1214.75,1339.90,1073.11,1041.75,1286.90,1306.38,1242.44,1006.60,1289.17,1223.45,1234.97,1078.42,1291.88,1115.80,1100.77,776.74,1270.98,996.95,1125.11,1330.57,1272.03,1164.02,1066.71,1222.82,1127.19,1202.68,1334.04
1906,1250.51,1042.82,1036.15,1361.24,1429.60,1467.78,1510.59,1504.46,1248.58,1286.70,1320.67,1185.71,1068.71,964.38,1546.25,1232.07,1551.65,1237.65,1543.57,1349.97,935.05,1134.80,1538.42,880.28,1238.68,1271.70,1550.24,1679.75,1404.27,1295.32,799.25,1067.30,1558.08,1006.78,1203.34,1478.12,1019.92,1072.54,1585.54,1322.12,1468.69,1390.45,916.80,1353.43,1439.99,1496.37,1346.28,1465.50,1217.22,1406.00,1375.30,1374.87,1525.64,1129.49,1468.98,1139.53,1532.31,1336.02,1416.41,1172.67,898.53,1042.50,1066.30,1278.41,1348.45,1516.54,1158.90,1441.04,1535.10,1511.65,1481.20,1391.00,1101.50,1285.86,1537.64,1125.45,1550.05,976.02,1380.97,973.64,1080.48,1062.80,1244.49,898.08,1091.59,1033.28,1480.45,1420.00,982.30,886.01,1487.82,1528.01,1354.62,865.65,1330.47,1365.53,1439.64,1316.76,1579.61,1015.71,1011.69,847.83,1551.12,1237.53,1040.22,1485.43,1402.05,1480.64,962.32,1205.73,1084.33,1213.78,1657.73
1907,1039.51,875.12,741.97,1163.77,1116.63,1013.50,1048.50,1078.71,1223.76,893.50,915.57,1087.30,1059.80,930.88,1057.53,1108.80,1073.60,1211.41,1061.42,933.49,902.80,998.48,1212.90,768.80,862.99,1087.44,1067.56,1170.09,1393.89,1151.64,650.00,765.48,1079.88,775.59,1081.30,1021.50,978.81,1058.92,1304.37,1039.43,1233.27,1199.91,901.14,935.68,1002.12,1331.92,931.86,1056.83,1048.59,1043.34,1167.12,951.39,1082.90,1074.89,1266.82,986.48,1056.20,1160.18,980.75,1056.13,885.38,988.95,1018.41,1147.75,1173.12,1047.73,1139.60,1017.22,1061.36,1040.40,1163.98,1404.59,1077.70,1076.87,1066.36,1064.87,1075.03,1019.08,1166.97,964.26,1021.83,1123.50,1038.87,884.71,1057.60,1010.47,1040.51,1033.50,945.30,907.37,1026.57,1062.76,1054.46,876.76,1086.93,1133.38,1052.65,956.18,1096.68,977.87,1016.58,763.34,1064.67,883.62,1012.94,1223.84,1015.57,1027.02,944.01,1062.23,1006.81,1026.22,1153.74
1908,1115.57,936.41,951.71,1245.73,1223.87,1237.64,1241.16,1257.94,1154.42,1172.60,1152.93,1104.83,1009.31,901.05,1261.71,1133.40,1276.00,1144.32,1261.37,1178.80,874.74,1069.17,1296.78,826.97,1120.36,1181.94,1268.50,1434.27,1307.13,1179.23,759.84,963.14,1286.93,912.59,1117.07,1231.37,944.83,1012.63,1416.07,1158.24,1312.87,1287.51,876.02,1179.13,1204.80,1376.85,1168.89,1227.68,1120.91,1194.41,1242.62,1198.42,1267.75,1042.18,1354.37,1027.93,1269.34,1210.62,1192.75,1071.73,862.58,958.42,984.00,1163.23,1235.45,1253.74,1069.72,1219.80,1261.02,1257.63,1272.06,1305.68,1012.50,1165.46,1274.98,1052.76,1269.94,973.35,1207.73,928.16,1002.40,1082.20,1140.67,847.98,1003.27,966.02,1233.76,1221.50,908.00,888.59,1208.21,1254.61,1160.94,858.57,1179.96,1241.34,1205.77,1122.71,1318.97,935.81,947.93,801.42,1274.94,1072.06,956.14,1343.65,1165.00,1278.32,893.37,1099.46,993.28,1087.31,1403.57
1909,1200.85,983.48,831.95,1267.03,1371.13,1238.90,1339.99,1433.15,1308.15,1028.60,1065.25,1213.10,1189.80,1073.18,1337.39,1321.51,1372.79,1301.98,1362.01,1087.46,1038.11,1078.08,1425.27,834.97,991.09,1169.82,1376.10,1395.49,1451.88,1359.87,695.85,862.72,1367.85,864.53,1173.62,1259.98,1136.05,1186.67,1400.20,1212.57,1412.17,1319.10,1026.80,1090.68,1228.01,1451.35,1090.56,1303.23,1164.91,1256.58,1262.05,1110.71,1309.98,1239.08,1386.58,1238.16,1321.15,1358.87,1194.52,1282.15,1002.24,1162.95,1192.01,1347.20,1303.14,1310.78,1243.55,1376.75,1292.54,1290.88,1363.08,1453.19,1200.30,1156.82,1333.59,1204.80,1390.63,1061.91,1320.08,1092.66,1193.80,1164.90,1079.35,987.67,1193.99,1150.25,1299.05,1423.40,1096.69,993.37,1321.91,1322.07,1331.03,971.39,1364.89,1172.16,1323.51,1144.31,1364.69,1133.10,1112.17,816.28,1344.80,1034.79,1154.77,1277.85,1314.64,1209.50,1074.89,1295.90,1196.20,1300.06,1397.81
1910,1102.99,913.01,848.86,1114.35,1225.91,1150.18,1169.58,1246.05,1256.16,1048.50,1054.42,1122.28,1194.22,1015.58,1196.94,1227.52,1204.22,1247.00,1198.16,1075.35,966.70,963.33,1262.48,796.57,1006.00,980.07,1203.04,1311.38,1405.52,1219.76,711.80,875.61,1209.52,869.13,1067.09,1159.85,1084.02,1178.67,1114.58,1126.99,1268.16,1199.89,1006.69,1076.82,1143.31,1287.56,1070.93,1189.59,1066.39,1174.11,1070.67,1093.31,1202.19,1153.65,1256.37,1104.36,1191.13,1218.71,1115.74,1170.98,958.79,1099.36,1149.46,1243.17,1171.83,1188.57,1175.04,1217.37,1178.02,1177.27,1237.32,1401.47,1122.20,980.91,1184.39,1147.40,1210.57,1052.48,1216.74,1088.39,1137.07,1188.50,872.02,916.45,1119.58,1139.50,1184.41,1251.70,1055.57,1001.96,1165.51,1182.92,1181.95,968.84,1232.30,938.32,1190.17,1082.22,1229.24,1073.06,1024.69,734.08,1201.49,1008.49,1076.07,1015.03,1150.32,1168.14,986.64,1181.44,1104.62,1147.22,1291.86
