Variable:,tasmax
,Monaco,"Administrative unit not available"
1901,15.56,15.56
1902,15.91,15.91
1903,16.13,16.13
1904,16.82,16.82
1905,15.93,15.93
1906,16.18,16.18
1907,16.09,16.09
1908,15.97,15.97
1909,15.64,15.64
1910,15.93,15.93
1911,16.99,16.99
1912,15.83,15.83
1913,16.18,16.18
1914,15.88,15.88
1915,15.85,15.85
1916,16.25,16.25
1917,15.47,15.47
1918,16.13,16.13
1919,15.78,15.78
1920,16.95,16.95
1921,17.22,17.22
1922,15.89,15.89
1923,16.73,16.73
1924,16.33,16.33
1925,16.26,16.26
1926,16.98,16.98
1927,16.84,16.84
1928,16.98,16.98
1929,16.46,16.46
1930,16.68,16.68
1931,15.99,15.99
1932,16.05,16.05
1933,15.95,15.95
1934,17.00,17.00
1935,16.41,16.41
1936,16.47,16.47
1937,16.88,16.88
1938,16.38,16.38
1939,15.91,15.91
1940,15.44,15.44
1941,15.54,15.54
1942,16.53,16.53
1943,17.60,17.60
1944,16.23,16.23
1945,17.51,17.51
1946,16.73,16.73
1947,17.45,17.45
1948,17.11,17.11
1949,17.42,17.42
1950,17.16,17.16
1951,16.28,16.28
1952,16.56,16.56
1953,16.56,16.56
1954,15.93,15.93
1955,16.52,16.52
1956,15.38,15.38
1957,16.48,16.48
1958,16.55,16.55
1959,16.88,16.88
1960,16.04,16.04
1961,17.33,17.33
1962,16.14,16.14
1963,15.50,15.50
1964,16.43,16.43
1965,15.83,15.83
1966,16.19,16.19
1967,16.51,16.51
1968,16.01,16.01
1969,15.72,15.72
1970,16.26,16.26
1971,16.40,16.40
1972,15.83,15.83
1973,16.58,16.58
1974,16.28,16.28
1975,16.41,16.41
1976,16.27,16.27
1977,15.93,15.93
1978,15.65,15.65
1979,16.15,16.15
1980,15.60,15.60
1981,16.33,16.33
1982,16.93,16.93
1983,16.67,16.67
1984,15.60,15.60
1985,16.10,16.10
1986,16.50,16.50
1987,16.22,16.22
1988,16.88,16.88
1989,17.33,17.33
1990,17.28,17.28
1991,16.62,16.62
1992,16.81,16.81
1993,16.54,16.54
1994,17.44,17.44
1995,16.83,16.83
1996,16.40,16.40
1997,17.66,17.66
1998,17.17,17.17
1999,17.22,17.22
2000,17.52,17.52
2001,17.20,17.20
2002,17.28,17.28
2003,17.89,17.89
2004,17.12,17.12
2005,16.83,16.83
2006,17.71,17.71
2007,17.65,17.65
2008,17.13,17.13
2009,17.70,17.70
2010,16.51,16.51
2011,18.04,18.04
2012,17.59,17.59
2013,16.94,16.94
2014,18.04,18.04
2015,18.05,18.05
2016,17.79,17.79
2017,17.98,17.98
2018,18.42,18.42
2019,18.18,18.18
2020,18.41,18.41
