Variable:,tasmin
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1911,12.90,13.58,4.54,-0.01,3.20,2.34,8.20,4.34,6.28,0.05,10.39,11.27,8.25,8.27,15.62,4.21,20.77,18.13,2.81,11.15,15.13,2.47,15.75,5.48,17.12,19.47
1912,13.24,13.87,5.09,0.38,3.66,2.73,8.61,4.85,6.67,0.45,10.89,11.67,8.67,8.80,16.00,4.67,20.93,18.43,3.35,11.61,15.36,2.93,16.22,6.01,17.22,19.86
1913,13.25,14.04,5.36,0.23,3.31,2.64,8.85,4.49,6.53,0.46,11.08,11.65,8.71,9.11,16.21,4.77,21.02,18.32,2.85,11.71,15.49,2.53,16.48,5.48,17.27,19.94
1914,13.26,13.87,5.09,0.40,3.71,2.76,8.61,4.87,6.70,0.47,10.89,11.69,8.68,8.80,15.99,4.68,20.93,18.45,3.44,11.62,15.36,2.99,16.21,6.06,17.22,19.87
1915,13.48,13.95,5.28,0.77,4.28,3.08,8.72,5.47,7.04,0.74,11.10,11.97,8.93,8.95,16.09,4.92,20.97,18.72,4.17,11.85,15.42,3.60,16.35,6.82,17.24,20.07
1916,12.77,13.59,4.45,-0.36,3.09,1.98,8.20,4.37,5.95,-0.35,10.21,10.89,7.90,8.26,15.63,3.92,20.77,17.71,2.99,10.87,15.14,2.41,15.73,5.65,17.12,19.22
1917,12.99,13.97,5.14,-0.20,2.89,2.21,8.75,3.84,6.08,0.01,10.80,11.20,8.30,8.97,16.12,4.39,20.97,17.85,2.19,11.35,15.43,1.93,16.36,4.77,17.25,19.62
1918,13.35,13.93,5.21,0.64,3.85,2.96,8.69,4.80,6.92,0.64,11.00,11.85,8.84,8.91,16.06,4.80,20.96,18.68,3.33,11.75,15.40,3.04,16.31,5.90,17.23,20.01
1919,13.35,13.74,4.89,0.80,4.09,3.08,8.42,5.20,7.11,0.73,10.79,11.93,8.87,8.56,15.82,4.71,20.86,18.93,3.82,11.67,15.25,3.47,16.01,6.45,17.17,19.99
1920,12.92,13.36,4.15,0.28,3.66,2.53,7.89,4.81,6.61,0.10,10.08,11.32,8.23,7.87,15.34,4.02,20.65,18.49,3.52,11.00,14.96,3.10,15.38,6.19,17.05,19.43
1921,12.64,13.04,3.55,0.01,3.43,2.23,7.42,4.62,6.36,-0.23,9.55,10.99,7.86,7.27,14.92,3.58,20.48,18.31,3.36,10.57,14.71,2.95,14.85,6.05,16.95,19.07
1922,13.37,13.87,5.13,0.74,3.96,3.06,8.61,4.96,7.00,0.71,10.95,11.92,8.87,8.81,16.00,4.80,20.93,18.77,3.51,11.74,15.36,3.18,16.23,6.08,17.22,20.02
1923,13.39,13.87,5.13,0.84,4.07,3.14,8.61,5.03,7.10,0.78,10.96,11.99,8.92,8.81,16.00,4.82,20.88,18.86,3.61,11.76,15.36,3.29,16.23,6.19,17.22,20.06
1924,13.38,13.87,5.11,0.78,4.03,3.08,8.61,5.03,7.04,0.71,10.93,11.92,8.87,8.81,16.00,4.77,20.92,18.81,3.61,11.72,15.36,3.27,16.23,6.22,17.22,20.02
1925,13.41,13.87,5.12,0.89,4.13,3.19,8.61,5.10,7.15,0.81,10.95,12.02,8.94,8.81,16.00,4.82,20.86,18.92,3.69,11.77,15.36,3.37,16.23,6.30,17.22,20.07
1926,13.69,13.88,5.14,1.56,4.85,3.71,8.61,5.64,7.82,1.13,11.00,12.34,9.17,8.81,16.00,4.94,20.98,19.60,4.43,11.88,15.36,4.15,16.23,6.97,17.22,20.27
1927,13.63,13.87,5.14,1.50,4.67,3.66,8.61,5.30,7.75,1.10,10.99,12.31,9.16,8.81,16.00,4.93,20.92,19.54,4.07,11.87,15.36,3.88,16.23,6.53,17.22,20.25
1928,13.65,13.87,5.14,1.50,4.75,3.66,8.61,5.49,7.76,1.11,11.00,12.32,9.15,8.81,16.00,4.93,20.92,19.55,4.26,11.87,15.36,4.02,16.23,6.78,17.22,20.25
1929,13.59,13.87,5.14,1.37,4.55,3.56,8.61,5.26,7.63,1.04,10.99,12.25,9.11,8.81,16.00,4.91,20.93,19.41,3.97,11.85,15.36,3.77,16.23,6.48,17.22,20.21
1930,13.45,13.88,5.14,0.92,4.18,3.20,8.61,5.17,7.20,0.82,10.98,12.03,8.96,8.81,16.00,4.86,20.93,18.98,3.78,11.79,15.36,3.46,16.23,6.38,17.22,20.09
1931,13.61,13.88,5.14,1.28,4.82,3.45,8.61,5.69,7.52,0.91,10.99,12.16,9.01,8.81,16.00,4.88,21.01,19.20,4.50,11.81,15.36,4.08,16.23,6.97,17.22,20.15
1932,13.45,13.87,5.14,0.96,4.21,3.26,8.61,5.21,7.23,0.87,10.98,12.11,8.98,8.81,16.00,4.88,20.89,19.01,3.82,11.80,15.36,3.49,16.23,6.39,17.22,20.10
1933,13.29,13.87,5.14,0.54,3.50,2.94,8.61,4.59,6.87,0.72,10.98,11.90,8.89,8.81,16.00,4.83,20.87,18.80,2.97,11.77,15.36,2.80,16.23,5.59,17.22,20.05
1934,13.31,13.87,5.14,0.67,3.72,3.02,8.61,4.79,6.97,0.75,10.98,11.95,8.91,8.81,16.00,4.84,20.80,18.83,3.22,11.77,15.36,3.04,16.23,5.83,17.22,20.05
1935,13.38,13.87,5.14,0.79,3.91,3.11,8.61,4.97,7.09,0.79,10.98,11.99,8.94,8.81,16.00,4.85,20.85,18.95,3.47,11.79,15.36,3.22,16.23,6.09,17.22,20.09
1936,13.47,13.88,5.14,1.01,4.17,3.30,8.61,5.15,7.29,0.90,10.99,12.12,9.01,8.81,16.00,4.88,20.90,19.12,3.69,11.81,15.36,3.48,16.23,6.26,17.22,20.13
1937,13.66,13.90,5.63,1.05,4.20,3.39,8.68,5.34,7.39,1.14,11.66,12.29,9.44,9.04,16.00,5.40,20.98,19.24,3.78,12.45,15.36,3.54,16.52,6.32,17.22,20.69
1938,13.47,13.90,5.62,0.59,3.59,2.98,8.68,4.88,6.98,0.85,11.62,11.98,9.23,9.03,16.00,5.26,20.93,18.94,3.13,12.33,15.36,2.97,16.51,5.75,17.22,20.56
1939,13.65,13.90,5.65,1.11,4.06,3.53,8.68,5.15,7.45,1.35,11.68,12.51,9.59,9.04,16.00,5.52,20.89,19.35,3.49,12.52,15.36,3.35,16.53,6.09,17.22,20.75
1940,13.82,13.92,5.85,1.33,4.23,3.75,8.71,5.37,7.67,1.61,11.96,12.75,9.88,9.15,16.01,5.80,20.99,19.57,3.67,12.83,15.36,3.55,16.66,6.27,17.22,21.04
1941,14.12,13.95,6.06,1.83,4.85,4.26,8.74,5.83,8.11,2.12,12.29,13.24,10.37,9.23,16.01,6.20,21.18,19.84,4.28,13.28,15.36,4.02,16.79,6.80,17.22,21.45
1942,13.81,13.94,6.11,1.10,3.94,3.55,8.74,5.11,7.47,1.53,12.31,12.60,9.95,9.26,16.01,5.96,21.03,19.43,3.30,13.11,15.36,3.22,16.81,5.84,17.22,21.27
1943,14.56,15.54,7.17,1.72,4.53,4.23,10.42,5.95,8.04,2.28,12.97,13.35,10.67,10.73,17.77,6.80,21.61,19.84,4.02,13.72,17.11,3.76,18.08,6.67,18.92,21.72
1944,14.41,15.58,6.78,1.49,4.36,4.00,10.38,5.73,7.79,1.98,12.52,13.08,10.31,10.52,17.78,6.38,21.67,19.54,3.87,13.30,17.20,3.58,17.92,6.47,19.04,21.31
1945,14.22,14.96,6.43,1.43,4.50,3.80,9.75,5.89,7.77,1.72,12.30,12.84,10.05,10.00,17.11,6.10,21.45,19.57,4.17,13.06,16.52,3.91,17.45,6.77,18.36,21.16
1946,13.75,14.58,5.97,0.81,3.91,3.20,9.37,5.29,7.15,1.06,11.76,12.20,9.37,9.60,16.74,5.41,21.22,18.97,3.62,12.41,16.09,3.24,17.02,6.29,17.95,20.58
1947,13.46,13.87,5.40,0.70,3.79,3.09,8.60,5.07,7.00,0.93,11.39,12.08,9.21,8.88,15.95,5.17,20.95,18.82,3.44,12.19,15.35,3.06,16.38,6.10,17.22,20.41
1948,13.34,14.06,5.18,0.41,3.61,2.79,8.74,5.04,6.73,0.59,11.01,11.74,8.86,8.89,16.14,4.80,20.99,18.54,3.42,11.79,15.56,2.98,16.31,6.21,17.45,20.04
1949,12.94,13.48,4.60,0.28,3.47,2.58,8.16,4.79,6.57,0.15,10.46,11.39,8.33,8.30,15.54,4.21,20.54,18.42,3.18,11.23,14.93,2.79,15.77,5.92,16.80,19.62
1950,12.50,12.86,3.98,-0.03,3.16,2.23,7.50,4.58,6.29,-0.29,9.89,10.98,7.84,7.64,14.86,3.65,20.08,18.20,2.99,10.70,14.25,2.63,15.15,5.81,16.17,19.18
1951,12.98,13.71,4.88,0.27,3.36,2.65,8.46,4.91,6.46,0.36,10.61,11.63,8.47,8.61,15.92,4.50,20.53,18.24,3.12,11.37,15.33,2.71,15.94,5.94,17.19,19.53
1952,12.77,13.34,4.55,0.08,3.33,2.47,8.05,4.94,6.27,0.05,10.32,11.39,8.20,8.24,15.44,4.21,20.39,18.01,3.22,11.07,14.84,2.59,15.63,6.07,16.73,19.28
1953,13.18,13.91,5.23,0.38,3.61,2.69,8.70,4.93,6.60,0.44,10.93,11.71,8.64,8.91,16.15,4.77,20.74,18.35,3.35,11.58,15.54,2.89,16.25,6.05,17.35,19.69
1954,12.55,13.04,4.11,-0.27,2.78,2.12,7.72,4.17,6.10,-0.15,10.03,11.00,8.02,7.86,15.07,3.83,20.28,18.02,2.68,10.78,14.43,2.31,15.39,5.41,16.32,19.30
