Variable:,tasmin
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1930,-0.67,4.41,-0.62,0.76,5.68,4.06,-1.17,2.94,4.07,3.57,-5.06,1.93,3.36,4.60,3.59,4.39,3.86,1.21,-2.76,-0.73,2.54,3.32
1931,-2.67,2.74,-3.02,-1.83,3.55,2.44,-3.63,1.09,2.12,1.84,-6.45,-0.33,1.23,3.06,1.23,1.95,1.36,-0.91,-4.76,-3.22,0.09,1.43
1932,-1.33,3.93,-1.57,-0.36,4.77,3.63,-2.21,2.35,3.33,3.06,-5.27,1.04,2.52,4.19,2.52,3.22,2.68,0.52,-3.30,-1.69,1.47,2.77
1933,-1.74,3.72,-1.66,-0.57,4.36,3.38,-2.44,2.08,3.08,2.81,-6.02,0.86,2.28,3.96,2.31,2.98,2.47,0.36,-3.94,-2.13,1.27,2.54
1934,-0.12,5.31,-0.09,1.16,6.19,4.97,-0.90,3.83,4.83,4.49,-4.52,2.60,4.09,5.48,4.11,4.80,4.28,1.94,-2.27,-0.39,3.05,4.15
1935,-1.55,4.16,-1.56,-0.38,5.06,3.72,-2.61,2.57,3.67,3.27,-5.90,1.36,2.89,4.27,2.93,3.63,3.03,0.62,-3.90,-2.07,1.77,2.88
1936,-1.55,4.13,-1.38,-0.23,5.23,3.80,-2.35,2.60,3.67,3.27,-6.14,1.41,2.91,4.34,2.98,3.70,3.10,0.70,-3.99,-1.99,1.86,2.98
1937,-1.12,4.29,-1.33,-0.04,5.27,3.84,-2.00,2.69,3.79,3.38,-5.17,1.48,3.03,4.47,3.08,3.76,3.18,0.62,-3.20,-1.50,1.93,2.91
1938,-0.30,4.79,-0.86,0.45,5.72,4.31,-1.50,3.16,4.19,3.86,-3.66,1.85,3.42,4.90,3.47,4.20,3.64,1.15,-2.08,-0.76,2.34,3.44
1939,-1.84,4.14,-2.04,-0.69,5.12,3.52,-2.88,2.39,3.54,3.12,-6.28,0.97,2.69,4.23,2.70,3.39,2.72,0.07,-4.02,-2.27,1.44,2.53
1940,-3.94,1.49,-4.39,-3.33,2.30,1.17,-5.16,-0.15,0.85,0.59,-7.59,-1.49,0.04,1.74,0.03,0.66,0.03,-2.06,-5.98,-4.78,-1.18,0.35
1941,-4.10,1.90,-4.51,-3.49,2.34,1.37,-5.28,0.05,1.13,0.87,-7.94,-1.56,0.17,2.05,-0.05,0.53,-0.16,-2.25,-6.33,-5.07,-1.30,0.31
1942,-4.24,1.30,-4.54,-3.54,1.80,1.05,-5.24,-0.39,0.55,0.41,-8.08,-1.85,-0.35,1.69,-0.44,0.17,-0.40,-2.34,-6.30,-4.97,-1.55,0.03
1943,-1.10,4.50,-1.32,0.02,5.45,4.00,-2.20,2.84,3.97,3.58,-5.21,1.57,3.15,4.60,3.21,3.99,3.38,0.77,-3.21,-1.49,2.03,3.07
1944,-1.54,4.08,-1.86,-0.59,5.09,3.67,-2.75,2.45,3.58,3.19,-5.53,1.07,2.71,4.29,2.73,3.48,2.85,0.35,-3.69,-2.05,1.53,2.75
1945,-1.85,4.19,-1.96,-0.87,5.00,3.87,-2.96,2.57,3.60,3.31,-6.32,1.03,2.69,4.51,2.56,3.23,2.56,0.40,-4.18,-2.48,1.31,2.86
1946,-1.85,3.52,-2.19,-1.05,4.40,3.18,-2.88,1.95,2.99,2.65,-5.73,0.59,2.16,3.79,2.14,2.87,2.24,0.00,-3.81,-2.38,0.97,2.30
1947,-3.13,2.72,-3.41,-2.20,3.39,2.31,-4.27,0.96,2.01,1.76,-7.22,-0.59,1.11,2.98,1.09,1.78,1.09,-1.25,-5.29,-3.74,-0.16,1.24
1948,-1.82,3.97,-2.27,-1.02,4.63,3.58,-2.99,2.15,3.16,3.02,-5.67,0.51,2.23,4.28,2.16,2.88,2.23,-0.11,-3.86,-2.46,0.93,2.41
1949,-0.94,4.89,-1.10,0.05,5.74,4.48,-2.24,3.26,4.26,3.98,-5.11,1.81,3.43,5.08,3.42,4.15,3.51,1.21,-3.19,-1.57,2.24,3.58
1950,-1.90,4.13,-2.40,-1.11,4.90,3.66,-3.27,2.29,3.43,3.17,-5.76,0.63,2.47,4.35,2.45,3.16,2.43,-0.14,-4.15,-2.69,1.10,2.46
1951,-2.36,4.01,-2.41,-1.39,4.58,3.68,-3.72,2.32,3.27,3.09,-6.83,0.73,2.41,4.33,2.32,2.94,2.22,-0.01,-4.98,-3.27,1.08,2.54
1952,-3.14,3.05,-3.48,-2.33,3.67,2.53,-4.53,1.11,2.28,2.02,-7.19,-0.42,1.30,3.27,1.32,2.02,1.27,-1.11,-5.50,-3.94,0.05,1.39
1953,-0.97,4.62,-1.26,-0.21,5.18,4.23,-2.07,2.92,3.91,3.70,-4.83,1.50,3.08,4.81,3.07,3.74,3.13,0.90,-3.06,-1.67,1.92,3.26
