Variable:,tasmin
,"Federated States of Micronesia","Administrative unit not available"
1901,22.90,23.54
1902,22.90,23.54
1903,22.90,23.54
1904,22.90,23.54
1905,22.90,23.54
1906,22.90,23.54
1907,22.90,23.54
1908,22.90,23.54
1909,22.90,23.54
1910,22.90,23.54
1911,22.90,23.54
1912,22.90,23.54
1913,22.90,23.54
1914,22.90,23.54
1915,22.90,23.54
1916,22.90,23.54
1917,22.90,23.54
1918,22.90,23.54
1919,22.90,23.54
1920,22.90,23.54
1921,22.90,23.51
1922,22.90,23.49
1923,22.90,23.47
1924,22.90,23.45
1925,22.90,23.49
1926,22.36,23.18
1927,23.13,23.69
1928,22.78,23.42
1929,22.81,23.35
1930,22.83,23.42
1931,22.87,23.43
1932,22.72,23.28
1933,22.48,23.14
1934,22.87,23.43
1935,22.93,23.52
1936,22.90,23.51
1937,22.67,23.34
1938,22.90,23.51
1939,22.90,23.51
1940,22.90,23.50
1941,22.52,23.19
1942,22.33,23.04
1943,22.09,22.84
1944,22.90,23.54
1945,22.90,23.51
1946,22.92,23.59
1947,22.92,23.58
1948,22.92,23.54
1949,22.91,23.52
1950,22.78,23.42
1951,22.75,23.46
1952,22.78,23.47
1953,22.95,23.61
1954,22.73,23.42
1955,22.38,23.12
1956,22.43,23.18
1957,23.14,23.76
1958,23.30,23.83
1959,22.97,23.59
1960,23.00,23.60
1961,22.84,23.48
1962,22.85,23.51
1963,22.69,23.37
1964,22.65,23.32
1965,22.90,23.50
1966,22.92,23.56
1967,22.48,23.21
1968,22.39,23.13
1969,22.45,23.24
1970,23.07,23.72
1971,22.46,23.23
1972,22.78,23.46
1973,23.24,23.79
1974,22.58,23.28
1975,22.89,23.43
1976,22.59,23.25
1977,23.08,23.68
1978,22.84,23.48
1979,22.92,23.55
1980,23.00,23.60
1981,23.23,23.78
1982,23.34,23.83
1983,23.37,23.88
1984,23.30,23.85
1985,23.02,23.66
1986,23.20,23.82
1987,23.19,23.82
1988,22.91,23.64
1989,22.75,23.44
1990,22.69,23.40
1991,22.50,23.24
1992,22.82,23.46
1993,22.41,23.17
1994,22.62,23.34
1995,23.15,23.64
1996,22.56,23.29
1997,22.23,23.05
1998,22.33,23.16
1999,22.08,22.95
2000,22.72,23.43
2001,23.10,23.73
2002,23.28,23.92
2003,23.18,23.87
2004,23.54,24.12
2005,23.45,24.06
2006,23.40,24.02
2007,23.23,23.88
2008,22.95,23.63
2009,22.80,23.60
2010,22.72,23.49
2011,23.00,23.71
2012,23.24,23.97
2013,23.58,24.26
2014,22.89,23.73
2015,23.19,23.98
2016,24.00,24.53
2017,24.28,24.77
2018,23.97,24.54
2019,24.00,24.57
2020,24.07,24.57
