Variable:,tasmax
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
1901,25.00,26.46,25.79,23.50,24.92,23.48
1902,25.02,26.47,25.80,23.53,24.93,23.52
1903,25.00,26.46,25.80,23.50,24.91,23.48
1904,24.67,26.04,25.41,23.16,24.63,23.25
1905,24.34,25.72,25.07,22.88,24.25,22.94
1906,24.00,25.35,24.73,22.55,23.92,22.61
1907,24.27,25.68,25.04,22.78,24.20,22.81
1908,24.75,26.20,25.54,23.27,24.67,23.26
1909,23.88,25.15,24.55,22.36,23.88,22.60
1910,23.89,25.15,24.56,22.39,23.89,22.59
1911,24.06,25.41,24.77,22.56,24.00,22.67
1912,23.94,25.22,24.62,22.43,23.93,22.63
1913,23.90,25.15,24.56,22.39,23.91,22.61
1914,24.15,25.46,24.86,22.65,24.12,22.81
1915,24.09,25.39,24.79,22.59,24.07,22.76
1916,23.83,25.06,24.49,22.32,23.85,22.57
1917,23.55,24.72,24.18,22.04,23.59,22.35
1918,23.78,25.01,24.44,22.28,23.80,22.52
1919,23.93,25.19,24.61,22.43,23.93,22.64
1920,23.91,25.17,24.58,22.41,23.91,22.62
1921,24.68,26.12,25.46,23.19,24.59,23.19
1922,24.62,26.05,25.40,23.12,24.54,23.15
1923,25.09,26.57,25.90,23.61,25.01,23.56
1924,24.77,26.23,25.56,23.29,24.68,23.28
1925,24.69,26.14,25.49,23.20,24.60,23.21
1926,25.04,26.56,25.88,23.55,24.91,23.49
1927,25.40,26.94,26.25,23.92,25.29,23.81
1928,25.19,26.72,26.04,23.72,25.07,23.61
1929,24.23,25.49,24.90,22.72,24.25,22.91
1930,24.06,25.33,24.75,22.56,24.06,22.76
1931,24.42,25.82,25.18,22.93,24.36,22.99
1932,24.15,25.51,24.88,22.66,24.11,22.77
1933,24.03,25.40,24.76,22.57,23.95,22.64
1934,24.04,25.42,24.78,22.57,23.96,22.64
1935,24.27,25.63,25.00,22.78,24.22,22.87
1936,24.09,25.44,24.82,22.61,24.05,22.71
1937,24.18,25.56,24.93,22.70,24.11,22.77
1938,24.48,25.88,25.23,23.01,24.42,23.03
1939,24.40,25.82,25.18,22.93,24.32,22.96
1940,24.73,26.17,25.52,23.26,24.64,23.25
1941,24.99,26.44,25.77,23.54,24.88,23.51
1942,24.43,25.85,25.21,23.01,24.30,22.98
1943,24.65,26.10,25.46,23.19,24.55,23.17
1944,24.58,26.02,25.35,23.11,24.47,23.10
1945,24.52,25.97,25.31,23.06,24.40,23.04
1946,24.38,25.80,25.15,22.92,24.29,22.94
1947,24.18,25.56,24.94,22.74,24.08,22.79
1948,24.58,25.99,25.34,23.12,24.48,23.13
1949,24.76,26.17,25.52,23.27,24.68,23.30
1950,24.19,25.60,24.96,22.74,24.08,22.76
1951,24.67,26.13,25.46,23.19,24.56,23.17
1952,24.82,26.30,25.62,23.34,24.72,23.32
1953,24.93,26.42,25.74,23.44,24.83,23.41
1954,24.77,26.24,25.57,23.29,24.66,23.26
1955,24.67,26.15,25.48,23.18,24.58,23.16
1956,24.59,26.04,25.37,23.09,24.50,23.10
1957,24.54,25.95,25.30,23.09,24.44,23.11
1958,24.79,26.20,25.55,23.36,24.68,23.37
1959,24.45,25.86,25.20,23.01,24.33,23.03
1960,24.35,25.78,25.12,22.92,24.23,22.90
1961,24.47,25.92,25.26,22.97,24.40,22.97
1962,24.41,25.86,25.20,22.93,24.30,22.93
1963,24.52,25.97,25.32,23.05,24.40,23.03
1964,24.54,25.99,25.33,23.05,24.44,23.04
1965,24.71,26.17,25.51,23.24,24.61,23.22
1966,24.79,26.24,25.58,23.29,24.70,23.30
1967,24.50,25.94,25.29,23.00,24.42,23.02
1968,24.32,25.73,25.08,22.84,24.23,22.87
1969,25.09,26.54,25.86,23.58,25.00,23.61
1970,24.63,26.09,25.43,23.16,24.53,23.13
1971,24.54,25.99,25.32,23.06,24.43,23.05
1972,24.65,26.11,25.43,23.15,24.56,23.16
1973,24.99,26.48,25.80,23.51,24.88,23.46
1974,24.65,26.09,25.43,23.16,24.56,23.15
1975,24.46,25.92,25.25,22.96,24.37,22.94
1976,24.72,26.20,25.52,23.24,24.61,23.19
1977,24.72,26.16,25.51,23.22,24.65,23.23
1978,24.74,26.20,25.53,23.25,24.64,23.25
1979,24.77,26.22,25.57,23.29,24.67,23.28
1980,24.83,26.27,25.61,23.35,24.75,23.35
1981,24.92,26.39,25.73,23.45,24.83,23.41
1982,25.00,26.47,25.80,23.53,24.90,23.50
1983,25.16,26.61,25.96,23.65,25.08,23.66
1984,25.08,26.53,25.86,23.62,24.98,23.59
1985,24.79,26.23,25.58,23.31,24.71,23.31
1986,24.88,26.35,25.68,23.41,24.78,23.38
1987,25.53,26.98,26.32,24.03,25.45,24.02
1988,25.33,26.80,26.14,23.84,25.24,23.82
1989,24.73,26.17,25.51,23.23,24.66,23.25
1990,25.27,26.72,26.07,23.79,25.19,23.78
1991,25.49,26.97,26.28,23.96,25.40,23.96
1992,25.21,26.65,26.00,23.69,25.14,23.73
1993,25.31,26.78,26.12,23.83,25.21,23.80
1994,25.44,26.87,26.20,23.90,25.38,23.96
1995,25.68,27.16,26.48,24.16,25.59,24.15
1996,25.67,27.13,26.48,24.15,25.60,24.14
1997,25.56,27.00,26.34,24.04,25.50,24.08
1998,25.51,26.97,26.31,23.99,25.44,24.01
1999,25.62,27.14,26.45,24.12,25.52,24.03
2000,25.78,27.26,26.59,24.29,25.67,24.25
2001,25.59,27.04,26.40,24.14,25.47,24.10
2002,25.83,27.31,26.66,24.40,25.70,24.29
2003,26.02,27.51,26.84,24.55,25.91,24.48
2004,25.57,27.08,26.41,24.18,25.40,24.04
2005,25.74,27.25,26.58,24.32,25.58,24.19
2006,25.48,26.98,26.30,24.05,25.34,23.95
2007,25.62,27.10,26.45,24.17,25.50,24.10
2008,25.56,27.04,26.38,24.14,25.41,24.04
2009,25.91,27.42,26.76,24.49,25.75,24.36
2010,26.06,27.56,26.88,24.58,25.95,24.51
2011,25.35,26.83,26.15,23.88,25.22,23.82
2012,25.38,26.86,26.18,23.87,25.28,23.86
2013,25.57,27.06,26.39,24.09,25.47,24.04
2014,25.02,26.50,25.82,23.53,24.91,23.50
2015,25.11,26.58,25.90,23.59,25.03,23.59
2016,25.50,27.03,26.35,24.02,25.38,23.93
2017,25.61,27.12,26.44,24.09,25.52,24.04
2018,25.18,26.69,26.01,23.70,25.07,23.60
2019,25.43,27.01,26.30,23.94,25.29,23.80
2020,25.01,26.54,25.86,23.53,24.88,23.43
