Variable:,tasmin
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1901,2.83,1.62,1.17,2.70,2.41,1.97,5.59,2.58,3.95,3.90,3.32,3.85,3.17
1902,2.93,1.79,1.38,2.84,2.46,2.13,5.79,2.71,3.91,3.78,3.41,3.96,3.27
1903,3.19,1.97,1.51,3.08,2.74,2.36,5.98,2.94,4.31,4.24,3.67,4.21,3.52
1904,3.73,2.52,2.08,3.64,3.29,2.88,6.52,3.49,4.85,4.77,4.21,4.76,4.06
1905,3.20,1.96,1.49,3.07,2.82,2.32,5.93,2.93,4.39,4.36,3.69,4.23,3.53
1906,3.10,1.85,1.38,2.97,2.70,2.23,5.83,2.83,4.27,4.27,3.60,4.12,3.44
1907,3.07,1.81,1.34,2.93,2.70,2.19,5.80,2.82,4.28,4.23,3.59,4.09,3.43
1908,2.76,1.53,1.06,2.64,2.38,1.89,5.50,2.51,3.92,3.86,3.28,3.80,3.12
1909,2.96,1.65,1.15,2.82,2.64,2.07,5.65,2.70,4.23,4.17,3.52,4.00,3.35
1910,3.75,2.45,1.91,3.60,3.44,2.84,6.40,3.49,5.03,5.00,4.32,4.80,4.14
1911,3.94,2.65,2.15,3.82,3.59,3.04,6.61,3.69,5.14,5.12,4.48,4.99,4.33
1912,3.37,2.13,1.59,3.25,3.01,2.50,6.04,3.14,4.54,4.46,3.92,4.42,3.77
1913,3.59,2.32,1.78,3.46,3.27,2.71,6.20,3.35,4.81,4.77,4.14,4.64,3.98
1914,3.24,2.03,1.62,3.09,2.83,2.37,6.01,2.97,4.35,4.28,3.74,4.27,3.59
1915,3.42,2.15,1.68,3.25,3.11,2.51,6.12,3.13,4.66,4.65,3.94,4.43,3.77
1916,4.27,2.96,2.42,4.12,3.98,3.38,6.91,4.02,5.55,5.52,4.82,5.31,4.66
1917,3.13,1.86,1.37,2.97,2.80,2.23,5.83,2.85,4.37,4.33,3.64,4.16,3.48
1918,3.79,2.52,1.94,3.64,3.48,2.91,6.39,3.54,5.07,5.01,4.35,4.85,4.18
1919,3.15,1.84,1.37,2.99,2.88,2.23,5.82,2.87,4.44,4.45,3.68,4.18,3.51
1920,4.42,3.21,2.74,4.31,4.03,3.56,7.15,4.19,5.52,5.43,4.95,5.47,4.81
1921,3.99,2.73,2.25,3.86,3.62,3.08,6.68,3.73,5.17,5.16,4.52,5.04,4.37
1922,3.24,2.00,1.53,3.10,2.90,2.36,5.98,3.00,4.40,4.32,3.79,4.28,3.65
1923,3.93,2.66,2.18,3.79,3.61,3.03,6.63,3.67,5.16,5.13,4.46,4.97,4.29
1924,3.32,2.12,1.72,3.20,2.89,2.47,6.14,3.09,4.38,4.32,3.84,4.36,3.71
1925,3.55,2.28,1.79,3.39,3.20,2.64,6.26,3.28,4.78,4.79,4.07,4.58,3.92
1926,4.35,3.08,2.60,4.20,4.00,3.45,7.06,4.09,5.57,5.52,4.89,5.38,4.72
1927,4.01,2.74,2.26,3.87,3.66,3.14,6.74,3.77,5.20,5.14,4.56,5.09,4.41
1928,3.87,2.61,2.13,3.72,3.55,3.00,6.54,3.62,5.05,5.00,4.39,4.90,4.24
1929,3.10,1.90,1.45,2.99,2.69,2.25,5.85,2.86,4.17,4.11,3.60,4.13,3.46
1930,4.22,2.97,2.46,4.08,3.86,3.37,6.93,3.98,5.38,5.36,4.75,5.24,4.59
1931,3.04,1.77,1.29,2.91,2.65,2.17,5.83,2.79,4.21,4.16,3.56,4.09,3.41
1932,3.54,2.35,1.91,3.41,3.11,2.70,6.28,3.30,4.66,4.61,4.03,4.56,3.88
