Variable:,tasmin
,"Solomon Islands","Administrative unit not available"
1901,21.33,21.61
1902,21.33,21.61
1903,21.33,21.61
1904,21.33,21.61
1905,21.33,21.61
1906,21.33,21.61
1907,21.33,21.61
1908,21.33,21.61
1909,21.33,21.62
1910,21.33,21.62
1911,21.33,21.61
1912,21.33,21.62
1913,21.33,21.61
1914,21.33,21.61
1915,21.33,21.61
1916,21.33,21.62
1917,21.33,21.61
1918,21.33,21.61
1919,21.33,21.61
1920,21.33,21.61
1921,21.33,21.61
1922,21.33,21.61
1923,21.33,21.61
1924,21.33,21.62
1925,21.33,21.61
1926,21.33,21.62
1927,21.33,21.61
1928,21.33,21.62
1929,21.33,21.61
1930,21.33,21.61
1931,21.33,21.61
1932,21.46,21.73
1933,21.38,21.66
1934,21.29,21.59
1935,21.24,21.54
1936,21.13,21.44
1937,21.18,21.48
1938,21.37,21.65
1939,21.33,21.62
1940,21.50,21.76
1941,21.40,21.67
1942,21.21,21.51
1943,21.20,21.50
1944,21.33,21.61
1945,21.79,22.02
1946,21.53,21.79
1947,21.67,21.91
1948,21.48,21.75
1949,21.60,21.85
1950,21.28,21.60
1951,21.67,21.93
1952,21.91,22.16
1953,21.56,21.82
1954,21.63,21.94
1955,21.39,21.70
1956,21.53,21.85
1957,21.47,21.77
1958,21.36,21.67
1959,21.37,21.68
1960,21.09,21.39
1961,21.00,21.30
1962,21.07,21.38
1963,21.07,21.36
1964,21.11,21.40
1965,20.97,21.23
1966,21.33,21.60
1967,21.16,21.43
1968,21.11,21.40
1969,21.37,21.66
1970,21.39,21.67
1971,20.91,21.19
1972,21.10,21.37
1973,21.66,21.93
1974,21.20,21.50
1975,20.94,21.24
1976,21.03,21.31
1977,21.16,21.46
1978,20.95,21.27
1979,21.33,21.63
1980,21.36,21.66
1981,21.44,21.72
1982,21.49,21.74
1983,21.72,21.98
1984,21.55,21.84
1985,21.55,21.82
1986,21.62,21.90
1987,21.79,22.05
1988,21.72,22.01
1989,21.62,21.91
1990,21.96,22.24
1991,21.58,21.85
1992,21.42,21.71
1993,21.53,21.83
1994,21.43,21.72
1995,21.38,21.66
1996,21.28,21.57
1997,21.38,21.66
1998,21.70,21.99
1999,21.51,21.80
2000,21.41,21.69
2001,21.33,21.61
2002,21.35,21.64
2003,21.37,21.65
2004,21.41,21.69
2005,21.40,21.68
2006,21.39,21.67
2007,21.36,21.64
2008,21.33,21.61
2009,21.40,21.68
2010,21.46,21.74
2011,21.33,21.61
2012,21.33,21.61
2013,21.33,21.61
2014,21.33,21.61
2015,21.33,21.61
2016,21.33,21.62
2017,21.33,21.62
2018,21.33,21.61
2019,21.33,21.61
2020,21.33,21.62
