Variable:,tasmax
,"New Caledonia","Administrative unit not available"
1901,25.24,25.40
1902,24.51,24.68
1903,25.26,25.43
1904,24.25,24.41
1905,24.48,24.65
1906,24.87,25.04
1907,25.35,25.52
1908,24.85,25.02
1909,25.51,25.68
1910,26.23,26.39
1911,24.78,24.95
1912,24.78,24.95
1913,24.78,24.95
1914,24.78,24.95
1915,25.09,25.26
1916,25.09,25.26
1917,24.91,25.08
1918,24.78,24.95
1919,24.76,24.93
1920,24.82,24.99
1921,24.80,24.96
1922,25.04,25.21
1923,24.78,24.95
1924,24.67,24.84
1925,24.58,24.75
1926,24.71,24.87
1927,25.06,25.23
1928,24.82,24.99
1929,25.10,25.27
1930,24.65,24.82
1931,24.98,25.15
1932,24.72,24.89
1933,25.12,25.29
1934,24.81,24.98
1935,24.84,25.01
1936,24.90,25.07
1937,24.88,25.05
1938,25.14,25.31
1939,24.94,25.11
1940,24.46,24.62
1941,25.25,25.41
1942,25.79,25.95
1943,25.09,25.25
1944,24.85,25.02
1945,24.65,24.81
1946,25.47,25.64
1947,25.24,25.41
1948,25.28,25.44
1949,25.03,25.20
1950,25.24,25.40
1951,24.59,24.76
1952,25.07,25.23
1953,24.70,24.86
1954,24.50,24.66
1955,24.78,24.93
1956,24.88,25.05
1957,24.63,24.80
1958,24.95,25.12
1959,24.60,24.77
1960,24.64,24.81
1961,24.51,24.68
1962,24.94,25.11
1963,24.62,24.79
1964,25.12,25.29
1965,24.12,24.28
1966,24.29,24.46
1967,24.70,24.86
1968,24.31,24.47
1969,24.48,24.65
1970,24.92,25.08
1971,24.70,24.87
1972,24.42,24.58
1973,25.45,25.61
1974,24.77,24.94
1975,24.85,25.01
1976,24.73,24.89
1977,24.54,24.70
1978,24.80,24.97
1979,24.68,24.84
1980,24.87,25.03
1981,25.08,25.25
1982,24.38,24.55
1983,25.07,25.23
1984,24.86,25.03
1985,24.88,25.05
1986,24.91,25.08
1987,24.93,25.10
1988,25.39,25.56
1989,25.12,25.30
1990,25.27,25.43
1991,24.95,25.12
1992,24.87,25.04
1993,24.89,25.06
1994,24.64,24.81
1995,25.60,25.78
1996,25.60,25.78
1997,24.94,25.11
1998,25.92,26.08
1999,25.22,25.39
2000,25.05,25.22
2001,25.36,25.53
2002,25.24,25.40
2003,25.11,25.27
2004,25.42,25.58
2005,25.29,25.45
2006,25.01,25.18
2007,25.47,25.63
2008,25.28,25.44
2009,25.38,25.54
2010,25.74,25.90
2011,25.24,25.41
2012,25.03,25.19
2013,25.06,25.22
2014,25.11,25.28
2015,25.16,25.33
2016,25.97,26.13
2017,25.75,25.91
2018,25.32,25.49
2019,25.29,25.46
2020,25.76,25.93
