Variable:,tasmax
,"Cayman Islands","Grand Cayman","Cayman Brac","Little Cayman"
1901,29.92,29.92,29.92,29.92
1902,30.64,30.64,30.64,30.64
1903,30.53,30.53,30.53,30.53
1904,30.42,30.42,30.42,30.42
1905,30.89,30.89,30.89,30.89
1906,30.39,30.39,30.39,30.39
1907,30.78,30.78,30.78,30.78
1908,30.72,30.72,30.72,30.72
1909,30.66,30.66,30.66,30.66
1910,29.83,29.83,29.83,29.83
1911,31.03,31.03,31.03,31.03
1912,31.06,31.06,31.06,31.06
1913,30.91,30.91,30.91,30.91
1914,30.53,30.53,30.53,30.53
1915,30.48,30.48,30.48,30.48
1916,30.57,30.57,30.57,30.57
1917,30.31,30.31,30.31,30.31
1918,30.77,30.77,30.77,30.77
1919,30.84,30.84,30.84,30.84
1920,30.62,30.62,30.62,30.62
1921,31.03,31.03,31.03,31.03
1922,31.03,31.03,31.03,31.03
1923,30.87,30.87,30.87,30.87
1924,31.01,31.01,31.01,31.01
1925,31.13,31.13,31.13,31.13
1926,30.93,30.93,30.93,30.93
1927,30.98,30.98,30.98,30.98
1928,30.64,30.64,30.64,30.64
1929,31.18,31.18,31.18,31.18
1930,30.68,30.68,30.68,30.68
1931,30.56,30.56,30.56,30.56
1932,31.13,31.13,31.13,31.13
1933,31.13,31.13,31.13,31.13
1934,30.83,30.83,30.83,30.83
1935,30.77,30.77,30.77,30.77
1936,31.01,31.01,31.01,31.01
1937,31.00,31.00,31.00,31.00
1938,30.89,30.89,30.89,30.89
1939,31.06,31.06,31.06,31.06
1940,30.34,30.34,30.34,30.34
1941,30.91,30.91,30.91,30.91
1942,30.82,30.82,30.82,30.82
1943,30.64,30.64,30.64,30.64
1944,30.78,30.78,30.78,30.78
1945,30.83,30.83,30.83,30.83
1946,31.07,31.07,31.07,31.07
1947,31.02,31.02,31.02,31.02
1948,31.38,31.38,31.38,31.38
1949,30.93,30.93,30.93,30.93
1950,30.47,30.47,30.47,30.47
1951,31.00,31.00,31.00,31.00
1952,31.14,31.14,31.14,31.14
1953,31.23,31.23,31.23,31.23
1954,31.00,31.00,31.00,31.00
1955,31.03,31.03,31.03,31.03
1956,30.98,30.98,30.98,30.98
1957,31.38,31.38,31.38,31.38
1958,31.03,31.03,31.03,31.03
1959,31.41,31.41,31.41,31.41
1960,31.00,31.00,31.00,31.00
1961,31.34,31.34,31.34,31.34
1962,31.32,31.32,31.32,31.32
1963,31.17,31.17,31.17,31.17
1964,31.18,31.18,31.18,31.18
1965,31.36,31.36,31.36,31.36
1966,30.64,30.64,30.64,30.64
1967,30.92,30.92,30.92,30.92
1968,30.48,30.48,30.48,30.48
1969,30.66,30.66,30.66,30.66
1970,30.60,30.60,30.60,30.60
1971,30.76,30.76,30.76,30.76
1972,30.83,30.83,30.83,30.83
1973,30.76,30.76,30.76,30.76
1974,30.69,30.69,30.69,30.69
1975,31.14,31.14,31.14,31.14
1976,30.56,30.56,30.56,30.56
1977,30.86,30.86,30.86,30.86
1978,30.72,30.72,30.72,30.72
1979,30.71,30.71,30.71,30.71
1980,30.96,30.96,30.96,30.96
1981,30.91,30.91,30.91,30.91
1982,31.20,31.20,31.20,31.20
1983,30.94,30.94,30.94,30.94
1984,30.72,30.72,30.72,30.72
1985,30.93,30.93,30.93,30.93
1986,30.93,30.93,30.93,30.93
1987,31.29,31.29,31.29,31.29
1988,30.95,30.95,30.95,30.95
1989,31.12,31.12,31.12,31.12
1990,31.20,31.20,31.20,31.20
1991,31.42,31.42,31.42,31.42
1992,31.09,31.09,31.09,31.09
1993,31.15,31.15,31.15,31.15
1994,31.54,31.54,31.54,31.54
1995,31.33,31.33,31.33,31.33
1996,30.71,30.71,30.71,30.71
1997,31.35,31.35,31.35,31.35
1998,31.48,31.48,31.48,31.48
1999,31.05,31.05,31.05,31.05
2000,31.08,31.08,31.08,31.08
2001,31.12,31.12,31.12,31.12
2002,31.34,31.34,31.34,31.34
2003,31.48,31.48,31.48,31.48
2004,31.25,31.25,31.25,31.25
2005,31.13,31.13,31.13,31.13
2006,31.26,31.26,31.26,31.26
2007,31.42,31.42,31.42,31.42
2008,31.00,31.00,31.00,31.00
2009,31.18,31.18,31.18,31.18
2010,30.64,30.64,30.64,30.64
2011,31.18,31.18,31.18,31.18
2012,31.09,31.09,31.09,31.09
2013,31.25,31.25,31.25,31.25
2014,31.43,31.43,31.43,31.43
2015,31.92,31.92,31.92,31.92
2016,31.61,31.61,31.61,31.61
2017,31.54,31.54,31.54,31.54
2018,31.42,31.42,31.42,31.42
2019,31.82,31.82,31.82,31.82
2020,31.74,31.74,31.74,31.74
