Variable:,tasmax
,Aruba,"Administrative unit not available"
1901,32.09,32.09
1902,31.66,31.66
1903,31.76,31.76
1904,31.49,31.49
1905,31.54,31.54
1906,31.45,31.45
1907,31.43,31.43
1908,31.33,31.33
1909,31.38,31.38
1910,31.38,31.38
1911,31.46,31.46
1912,31.52,31.52
1913,31.39,31.39
1914,31.43,31.43
1915,32.22,32.22
1916,31.98,31.98
1917,31.69,31.69
1918,31.68,31.68
1919,31.49,31.49
1920,31.38,31.38
1921,31.53,31.53
1922,31.39,31.39
1923,31.80,31.80
1924,31.96,31.96
1925,31.68,31.68
1926,32.22,32.22
1927,31.71,31.71
1928,31.88,31.88
1929,31.69,31.69
1930,31.85,31.85
1931,32.18,32.18
1932,32.38,32.38
1933,32.23,32.23
1934,32.36,32.36
1935,32.06,32.06
1936,32.28,32.28
1937,32.21,32.21
1938,32.03,32.03
1939,32.21,32.21
1940,32.80,32.80
1941,32.91,32.91
1942,32.67,32.67
1943,32.33,32.33
1944,32.39,32.39
1945,31.67,31.67
1946,31.98,31.98
1947,32.54,32.54
1948,32.13,32.13
1949,32.10,32.10
1950,31.49,31.49
1951,32.35,32.35
1952,32.80,32.80
1953,32.88,32.88
1954,32.43,32.43
1955,32.28,32.28
1956,32.26,32.26
1957,32.50,32.50
1958,33.43,33.43
1959,32.87,32.87
1960,32.67,32.67
1961,32.56,32.56
1962,32.70,32.70
1963,32.65,32.65
1964,32.54,32.54
1965,32.43,32.43
1966,32.53,32.53
1967,32.17,32.17
1968,32.41,32.41
1969,32.87,32.87
1970,32.38,32.38
1971,31.93,31.93
1972,32.31,32.31
1973,32.43,32.43
1974,31.68,31.68
1975,31.63,31.63
1976,31.53,31.53
1977,32.42,32.42
1978,32.41,32.41
1979,32.49,32.49
1980,32.59,32.59
1981,32.22,32.22
1982,32.15,32.15
1983,33.00,33.00
1984,32.12,32.12
1985,31.80,31.80
1986,32.18,32.18
1987,32.99,32.99
1988,32.23,32.23
1989,32.11,32.11
1990,32.49,32.49
1991,32.70,32.70
1992,32.73,32.73
1993,32.71,32.71
1994,32.67,32.67
1995,32.90,32.90
1996,32.59,32.59
1997,32.94,32.94
1998,33.08,33.08
1999,32.22,32.22
2000,32.41,32.41
2001,33.34,33.34
2002,33.20,33.20
2003,33.16,33.16
2004,32.72,32.72
2005,32.71,32.71
2006,32.55,32.55
2007,32.71,32.71
2008,32.51,32.51
2009,33.14,33.14
2010,33.30,33.30
2011,32.49,32.49
2012,32.69,32.69
2013,33.03,33.03
2014,33.10,33.10
2015,33.33,33.33
2016,33.43,33.43
2017,33.06,33.06
2018,32.72,32.72
2019,33.09,33.09
2020,33.14,33.14
