Variable:,tasmin
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1901,1.24,1.33,1.22,1.22,1.22,1.22,1.22,1.31,1.22,1.22,1.22,1.22
1902,1.59,1.68,1.57,1.57,1.57,1.57,1.57,1.66,1.57,1.57,1.57,1.57
1903,1.61,1.70,1.59,1.59,1.59,1.59,1.59,1.68,1.59,1.59,1.59,1.59
1904,2.20,2.29,2.19,2.18,2.18,2.18,2.18,2.27,2.18,2.18,2.18,2.18
1905,1.50,1.59,1.48,1.48,1.48,1.48,1.48,1.57,1.48,1.48,1.48,1.48
1906,1.46,1.55,1.45,1.44,1.44,1.44,1.44,1.53,1.44,1.44,1.44,1.44
1907,1.45,1.54,1.44,1.43,1.43,1.43,1.43,1.52,1.43,1.43,1.43,1.43
1908,1.15,1.25,1.14,1.13,1.13,1.13,1.13,1.22,1.13,1.13,1.13,1.13
1909,0.92,1.02,0.91,0.90,0.90,0.90,0.90,0.99,0.90,0.90,0.90,0.90
1910,1.74,1.83,1.73,1.72,1.72,1.72,1.72,1.81,1.72,1.72,1.72,1.72
1911,2.31,2.40,2.29,2.29,2.29,2.29,2.29,2.38,2.29,2.29,2.29,2.29
1912,1.65,1.74,1.63,1.63,1.63,1.63,1.63,1.72,1.63,1.63,1.63,1.63
1913,2.03,2.11,2.01,2.01,2.01,2.01,2.01,2.09,2.01,2.01,2.01,2.01
1914,1.75,1.84,1.73,1.73,1.73,1.73,1.73,1.82,1.73,1.73,1.73,1.73
1915,1.68,1.77,1.66,1.66,1.66,1.66,1.66,1.75,1.66,1.66,1.66,1.66
1916,2.02,2.11,2.00,2.00,2.00,2.00,2.00,2.09,2.00,2.00,2.00,2.00
1917,1.04,1.13,1.02,1.02,1.02,1.02,1.02,1.11,1.02,1.02,1.02,1.02
1918,2.03,2.11,2.01,2.01,2.01,2.01,2.01,2.09,2.01,2.01,2.01,2.01
1919,1.25,1.34,1.24,1.23,1.23,1.23,1.23,1.32,1.23,1.23,1.23,1.23
1920,2.52,2.61,2.50,2.50,2.50,2.50,2.50,2.59,2.50,2.50,2.50,2.50
1921,2.43,2.52,2.41,2.41,2.41,2.41,2.41,2.50,2.41,2.41,2.41,2.41
1922,1.23,1.32,1.21,1.21,1.21,1.21,1.21,1.30,1.21,1.21,1.21,1.21
1923,2.11,2.20,2.10,2.09,2.09,2.09,2.09,2.18,2.09,2.09,2.09,2.09
1924,1.53,1.63,1.52,1.51,1.51,1.51,1.51,1.60,1.51,1.51,1.51,1.51
1925,1.71,1.80,1.69,1.69,1.69,1.69,1.69,1.78,1.69,1.69,1.69,1.69
1926,2.44,2.53,2.42,2.42,2.42,2.42,2.42,2.51,2.42,2.42,2.42,2.42
1927,2.10,2.19,2.09,2.08,2.08,2.08,2.08,2.17,2.08,2.08,2.08,2.08
1928,2.40,2.49,2.38,2.38,2.38,2.38,2.38,2.47,2.38,2.38,2.38,2.38
1929,1.34,1.43,1.32,1.32,1.32,1.32,1.32,1.41,1.32,1.32,1.32,1.32
1930,2.34,2.43,2.32,2.32,2.32,2.32,2.32,2.41,2.32,2.32,2.32,2.32
1931,0.91,1.01,0.90,0.89,0.89,0.89,0.89,0.98,0.89,0.89,0.89,0.89
1932,1.60,1.69,1.58,1.58,1.58,1.58,1.58,1.67,1.58,1.58,1.58,1.58
1933,1.15,1.24,1.14,1.13,1.13,1.13,1.13,1.22,1.13,1.13,1.13,1.13
1934,2.30,2.38,2.28,2.28,2.28,2.28,2.28,2.36,2.28,2.28,2.28,2.28
1935,1.61,1.70,1.59,1.59,1.59,1.59,1.59,1.68,1.59,1.59,1.59,1.59
1936,2.01,2.10,1.99,1.99,1.99,1.99,1.99,2.08,1.99,1.99,1.99,1.99
1937,2.23,2.32,2.21,2.21,2.21,2.21,2.21,2.30,2.21,2.21,2.21,2.21
1938,1.69,1.78,1.67,1.67,1.67,1.67,1.67,1.76,1.67,1.67,1.67,1.67
1939,1.82,1.91,1.80,1.80,1.80,1.80,1.80,1.89,1.80,1.80,1.80,1.80
1940,0.66,0.75,0.64,0.64,0.64,0.64,0.64,0.73,0.64,0.64,0.64,0.64
1941,0.96,1.05,0.94,0.94,0.94,0.94,0.94,1.03,0.94,0.94,0.94,0.94
1942,1.46,1.55,1.44,1.44,1.44,1.44,1.44,1.53,1.44,1.44,1.44,1.44
1943,2.52,2.61,2.50,2.50,2.50,2.50,2.50,2.59,2.50,2.50,2.50,2.50
1944,1.63,1.72,1.61,1.61,1.61,1.61,1.61,1.70,1.61,1.61,1.61,1.61
1945,2.18,2.27,2.16,2.16,2.16,2.16,2.16,2.25,2.16,2.16,2.16,2.16
1946,2.11,2.20,2.09,2.09,2.09,2.09,2.09,2.18,2.09,2.09,2.09,2.09
1947,2.59,2.67,2.57,2.57,2.57,2.57,2.57,2.65,2.57,2.57,2.57,2.57
1948,2.44,2.52,2.42,2.42,2.42,2.42,2.42,2.50,2.42,2.42,2.42,2.42
1949,2.57,2.66,2.55,2.55,2.55,2.55,2.55,2.64,2.55,2.55,2.55,2.55
1950,2.37,2.46,2.35,2.35,2.35,2.35,2.35,2.44,2.35,2.35,2.35,2.35
1951,2.38,2.46,2.36,2.36,2.36,2.36,2.36,2.44,2.36,2.36,2.36,2.36
1952,1.74,1.83,1.72,1.72,1.72,1.72,1.72,1.81,1.72,1.72,1.72,1.72
1953,2.26,2.34,2.24,2.24,2.24,2.24,2.24,2.32,2.24,2.24,2.24,2.24
1954,1.48,1.57,1.46,1.46,1.46,1.46,1.46,1.55,1.46,1.46,1.46,1.46
1955,1.70,1.79,1.69,1.69,1.69,1.69,1.69,1.77,1.69,1.69,1.69,1.69
1956,0.83,0.92,0.81,0.81,0.81,0.81,0.81,0.90,0.81,0.81,0.81,0.81
1957,2.24,2.33,2.23,2.23,2.23,2.23,2.23,2.31,2.23,2.23,2.23,2.23
1958,2.24,2.32,2.22,2.22,2.22,2.22,2.22,2.30,2.22,2.22,2.22,2.22
1959,2.50,2.58,2.48,2.48,2.48,2.48,2.48,2.56,2.48,2.48,2.48,2.48
1960,2.05,2.13,2.03,2.03,2.03,2.03,2.03,2.11,2.03,2.03,2.03,2.03
1961,2.72,2.81,2.70,2.70,2.70,2.70,2.70,2.79,2.70,2.70,2.70,2.70
1962,1.05,1.13,1.03,1.03,1.03,1.03,1.03,1.11,1.03,1.03,1.03,1.03
1963,1.28,1.36,1.26,1.26,1.26,1.26,1.26,1.34,1.26,1.26,1.26,1.26
1964,2.25,2.34,2.23,2.23,2.23,2.23,2.23,2.32,2.23,2.23,2.23,2.23
