Variable:,tasmin
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1978,13.34,13.92,11.69,13.73,7.75,17.48,18.88,8.19,-5.33
1979,13.28,13.89,11.51,13.62,7.69,17.37,18.83,8.07,-5.38
1980,13.79,14.71,11.72,13.73,7.84,17.68,19.30,8.26,-5.18
1981,13.47,14.14,11.64,13.55,7.70,17.52,19.14,8.03,-5.47
1982,12.93,13.62,10.95,13.06,7.07,16.91,18.67,7.50,-5.83
1983,12.84,13.63,10.91,12.78,6.95,16.71,18.56,7.28,-6.05
1984,13.25,13.97,11.76,13.66,7.77,17.25,18.65,8.06,-5.58
1985,13.68,14.49,12.03,13.92,8.02,17.64,19.06,8.32,-5.22
1986,13.11,14.07,11.15,13.00,7.19,16.87,18.70,7.47,-5.91
1987,13.83,14.70,12.18,13.97,8.03,17.71,19.49,8.25,-5.55
1988,14.29,15.30,12.49,14.23,8.28,18.14,19.82,8.64,-5.08
1989,13.07,14.06,11.01,13.05,6.97,16.81,18.75,7.49,-6.07
1990,13.83,14.77,12.08,13.96,7.96,17.76,19.14,8.36,-5.23
1991,13.46,14.51,11.41,13.28,7.26,17.35,18.96,7.66,-5.95
1992,13.26,14.19,11.13,13.18,7.11,17.22,18.84,7.60,-5.90
1993,13.91,14.83,11.87,13.83,7.75,17.84,19.67,8.19,-5.48
1994,13.64,14.66,11.41,13.45,7.39,17.58,19.17,7.89,-5.60
1995,13.46,14.42,10.94,13.15,7.02,17.43,19.23,7.65,-5.80
1996,13.36,14.23,11.19,13.25,7.17,17.36,19.03,7.73,-5.78
1997,12.91,14.10,10.43,12.43,6.46,16.59,18.54,6.94,-6.32
1998,13.99,15.02,11.74,13.79,7.82,17.76,19.66,8.22,-5.14
1999,14.36,15.22,12.49,14.51,8.51,18.35,19.67,9.01,-4.48
2000,14.11,14.91,12.21,14.22,8.24,18.13,19.58,8.71,-4.73
2001,14.19,15.16,12.09,14.16,8.15,18.03,19.61,8.66,-4.66
2002,14.29,15.27,12.01,14.11,8.11,18.18,19.82,8.64,-4.69
2003,13.90,15.04,11.68,13.53,7.74,17.38,19.46,8.12,-4.83
2004,14.53,15.55,12.40,14.23,8.42,18.20,20.09,8.77,-4.26
2005,13.70,14.85,11.33,13.35,7.54,17.24,19.15,7.96,-4.90
2006,14.40,15.55,12.13,14.10,8.22,17.98,19.77,8.66,-4.31
2007,14.33,15.40,12.11,13.98,8.13,17.97,19.88,8.55,-4.42
2008,14.24,15.36,12.28,14.10,8.24,17.83,19.57,8.64,-4.54
2009,14.65,15.88,12.25,14.15,8.17,18.20,20.33,8.69,-4.47
2010,14.65,15.75,12.28,14.25,8.31,18.36,20.30,8.81,-4.42
2011,14.44,15.66,12.18,14.08,8.18,18.00,19.83,8.65,-4.47
2012,13.88,15.03,11.53,13.57,7.55,17.54,19.35,8.17,-5.05
2013,14.36,15.44,12.17,14.23,8.25,18.07,19.74,8.79,-4.42
2014,13.99,14.98,11.88,13.85,7.93,17.68,19.58,8.44,-4.72
2015,14.27,15.43,11.89,13.77,7.98,17.73,19.92,8.42,-4.45
2016,14.82,15.88,12.54,14.42,8.49,18.58,20.38,9.01,-4.13
2017,14.55,15.56,12.34,14.25,8.31,18.37,20.10,8.85,-4.45
2018,14.86,15.95,12.72,14.56,8.63,18.61,20.44,9.09,-4.36
2019,14.09,15.25,11.71,13.48,7.71,17.65,19.76,8.12,-4.86
2020,13.90,14.91,11.49,13.46,7.57,17.60,19.71,8.06,-4.95
