Variable:,tasmin
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1901,2.22,3.03,2.72,2.37,2.29,2.57,1.83,1.21
1902,0.50,1.16,0.90,0.61,0.57,0.83,0.16,-0.29
1903,3.17,3.61,3.38,3.25,3.36,3.63,2.83,2.65
1904,1.50,2.18,1.85,1.65,1.62,1.87,1.11,0.70
1905,2.31,2.88,2.66,2.43,2.41,2.63,1.91,1.60
1906,2.87,3.33,3.15,3.00,3.02,3.26,2.52,2.23
1907,0.88,1.75,1.16,1.19,0.98,1.15,0.32,0.03
1908,1.36,2.18,1.50,1.72,1.55,1.73,0.71,0.64
1909,1.73,2.47,2.08,1.86,1.87,2.09,1.29,0.93
1910,3.18,3.78,3.43,3.38,3.35,3.54,2.71,2.52
1911,1.89,2.81,2.01,2.41,1.99,2.03,1.22,1.08
1912,1.47,2.12,1.81,1.65,1.57,1.72,1.05,0.73
1913,2.80,3.32,3.22,2.88,2.86,3.05,2.49,2.08
1914,2.78,3.36,3.14,2.93,2.88,3.10,2.44,2.04
1915,1.46,2.29,2.08,1.53,1.46,1.58,1.12,0.37
1916,2.55,3.44,2.89,2.77,2.69,2.96,2.00,1.62
1917,0.92,1.77,1.35,1.10,1.00,1.25,0.43,0.00
1918,2.31,3.14,2.84,2.39,2.39,2.54,1.91,1.31
1919,1.11,1.90,1.59,1.19,1.17,1.37,0.66,0.21
1920,2.45,3.19,2.64,2.64,2.57,2.76,1.88,1.84
1921,1.97,2.77,2.40,2.07,2.05,2.23,1.57,1.07
1922,1.42,2.02,2.03,1.36,1.39,1.61,1.25,0.55
1923,2.32,3.20,2.88,2.39,2.36,2.54,1.94,1.26
1924,1.55,2.32,1.89,1.72,1.62,1.75,1.05,0.79
1925,3.31,3.93,3.75,3.39,3.37,3.57,2.99,2.50
1926,2.37,3.36,2.70,2.73,2.43,2.59,1.81,1.41
1927,1.91,2.83,2.24,2.16,1.99,2.15,1.37,1.00
1928,1.65,2.60,1.79,2.06,1.76,1.92,1.01,0.89
1929,0.75,1.51,1.13,0.88,0.78,0.97,0.35,-0.04
1930,2.90,3.73,3.23,3.12,2.93,3.12,2.40,2.09
1931,1.32,2.23,1.67,1.58,1.32,1.53,0.83,0.43
1932,2.75,3.43,3.15,2.82,2.79,3.03,2.41,2.00
1933,0.82,1.65,1.13,1.08,0.84,0.99,0.33,0.02
1934,3.48,4.39,3.67,3.88,3.57,3.71,2.84,2.72
1935,2.21,2.99,2.49,2.47,2.26,2.45,1.73,1.44
1936,3.28,4.10,3.50,3.57,3.34,3.51,2.78,2.52
1937,2.93,3.75,3.23,3.20,2.99,3.17,2.46,2.11
1938,3.33,4.02,3.56,3.57,3.38,3.61,2.89,2.69
1939,2.93,3.78,3.23,3.24,3.02,3.17,2.42,2.03
1940,0.05,0.66,0.53,0.08,0.05,0.28,-0.16,-0.77
1941,0.10,1.09,0.66,0.31,0.13,0.33,-0.34,-1.09
1942,-0.42,0.66,-0.31,0.03,-0.33,-0.09,-1.10,-1.27
1943,2.66,3.40,2.67,3.09,2.80,2.97,1.98,2.17
1944,2.65,3.44,2.97,2.90,2.71,2.94,2.18,1.86
1945,1.64,2.71,1.54,2.18,1.76,1.97,0.91,0.96
1946,1.99,2.93,2.24,2.28,2.00,2.19,1.49,1.18
1947,1.33,2.21,1.78,1.38,1.32,1.57,1.01,0.42
1948,2.67,3.56,2.85,2.93,2.75,2.97,2.21,1.89
1949,3.19,3.99,3.28,3.47,3.28,3.46,2.69,2.59
1950,2.30,3.20,2.51,2.58,2.39,2.59,1.84,1.45
1951,2.20,3.34,2.55,2.52,2.25,2.43,1.63,1.15
1952,1.67,2.48,2.04,1.83,1.70,1.88,1.30,0.79
1953,2.04,2.95,2.15,2.40,2.13,2.30,1.50,1.31
1954,1.71,2.44,1.81,1.94,1.83,2.02,1.25,1.11
1955,1.71,2.61,2.12,1.92,1.72,1.87,1.30,0.76
1956,0.53,1.39,0.83,0.78,0.59,0.78,0.05,-0.32
1957,2.92,3.57,3.12,3.06,3.00,3.18,2.55,2.33
1958,2.27,3.23,2.68,2.43,2.33,2.53,1.80,1.26
1959,2.52,3.39,2.65,2.87,2.63,2.82,1.95,1.81
1960,2.44,3.31,2.95,2.52,2.49,2.68,2.06,1.44
1961,3.04,3.75,3.13,3.25,3.17,3.40,2.51,2.52
1962,2.11,2.80,2.62,2.03,2.16,2.42,1.80,1.29
1963,0.74,1.85,1.10,1.05,0.83,1.05,0.12,-0.33
1964,1.62,2.38,1.92,1.74,1.74,2.00,1.16,0.88
1965,1.01,1.90,1.33,1.22,1.10,1.32,0.47,0.15
1966,2.53,3.36,3.36,2.40,2.51,2.75,2.35,1.26
1967,2.62,3.58,2.95,2.83,2.69,2.91,2.17,1.66
1968,1.63,2.72,2.09,1.86,1.63,1.83,1.11,0.53
1969,0.44,1.31,0.95,0.51,0.42,0.65,0.08,-0.52
1970,1.82,2.55,2.52,1.67,1.78,2.00,1.59,0.83
1971,2.45,3.13,2.88,2.55,2.46,2.68,2.12,1.68
1972,2.66,3.34,2.99,2.79,2.74,2.97,2.30,1.90
1973,2.17,2.95,2.47,2.39,2.23,2.44,1.73,1.40
1974,3.07,3.67,3.44,3.08,3.11,3.35,2.76,2.42
1975,3.73,4.42,4.16,3.88,3.78,3.95,3.35,2.88
1976,0.81,1.69,1.23,0.97,0.81,0.99,0.37,-0.07
1977,2.35,3.18,2.77,2.49,2.38,2.63,1.92,1.47
1978,1.42,2.13,1.84,1.54,1.43,1.64,1.05,0.63
1979,1.83,2.38,2.43,1.68,1.81,2.02,1.60,1.10
1980,1.27,1.91,1.74,1.33,1.28,1.45,0.93,0.51
1981,2.65,3.08,3.24,2.48,2.64,2.84,2.50,1.94
1982,2.73,3.25,3.21,2.70,2.79,3.01,2.46,1.99
1983,3.40,4.00,3.78,3.48,3.45,3.68,3.07,2.69
1984,2.58,3.27,2.79,2.89,2.66,2.87,2.09,1.92
