Variable:,tasmin
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
1901,9.68,7.47,9.20,9.19,8.69,11.04,12.97,10.06,10.02,9.47
1902,9.54,7.31,9.18,9.00,8.51,10.89,13.07,10.08,9.93,9.26
1903,9.43,7.29,9.30,8.59,8.33,10.94,13.22,10.19,9.99,9.00
1904,9.47,7.35,9.01,8.92,8.57,10.98,12.68,9.89,9.78,9.21
1905,9.61,7.40,9.26,9.00,8.51,10.94,13.14,10.12,10.05,9.35
1906,9.32,7.14,8.87,8.79,8.36,10.70,12.64,9.76,9.63,9.09
1907,9.19,6.97,8.66,8.75,8.25,10.51,12.40,9.54,9.41,9.03
1908,9.43,7.22,9.11,8.79,8.33,10.77,12.97,9.97,9.86,9.17
1909,9.55,7.27,8.92,9.21,8.58,10.71,12.72,9.76,9.78,9.48
1910,9.20,6.89,8.28,9.09,8.33,10.04,12.00,8.86,9.43,9.34
1911,9.49,7.24,8.63,9.30,8.68,10.55,12.29,9.27,9.68,9.55
1912,9.71,7.53,9.01,9.31,8.81,10.77,12.78,9.63,10.12,9.64
1913,9.84,7.71,9.22,9.36,8.95,11.05,13.02,9.91,10.27,9.69
1914,9.94,7.82,9.42,9.36,9.01,11.21,13.27,10.15,10.40,9.73
1915,9.76,7.56,9.05,9.37,8.89,10.90,12.88,9.77,10.05,9.67
1916,9.64,7.45,8.85,9.30,8.78,10.61,12.71,9.45,10.03,9.60
1917,9.36,7.06,8.70,9.06,8.39,10.44,12.64,9.47,9.62,9.28
1918,9.57,7.36,8.73,9.35,8.76,10.69,12.38,9.40,9.75,9.58
1919,9.86,7.69,9.09,9.55,9.02,10.97,12.67,9.71,10.14,9.87
1920,9.84,7.64,9.07,9.54,9.01,10.90,12.89,9.73,10.14,9.79
1921,9.35,7.13,8.63,9.02,8.49,10.46,12.50,9.32,9.66,9.26
1922,9.99,7.82,9.55,9.37,8.96,11.24,13.42,10.29,10.50,9.79
1923,9.98,7.85,9.34,9.48,9.10,11.16,13.06,10.00,10.40,9.87
1924,9.44,7.17,8.76,9.11,8.52,10.51,12.59,9.47,9.74,9.37
1925,9.76,7.58,8.98,9.46,8.96,10.99,12.67,9.72,9.96,9.70
1926,9.79,7.67,9.13,9.30,8.93,11.00,12.86,9.81,10.16,9.67
1927,10.18,7.99,9.18,10.03,9.42,11.09,12.77,9.74,10.43,10.32
1928,9.90,7.70,9.29,9.42,8.95,10.96,13.07,9.95,10.37,9.82
1929,10.01,7.81,9.37,9.59,9.08,11.20,13.09,10.10,10.33,9.93
1930,9.83,7.59,9.01,9.63,8.99,10.87,12.65,9.66,10.04,9.88
1931,10.24,8.06,9.60,9.79,9.30,11.46,13.36,10.33,10.62,10.14
1932,10.42,8.32,9.65,10.08,9.61,11.59,13.16,10.24,10.75,10.40
1933,10.21,8.12,9.32,9.83,9.38,11.22,12.87,9.81,10.68,10.32
1934,10.38,8.27,9.63,10.06,9.61,11.61,13.34,10.30,10.67,10.26
